Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags,Cov Num,Date Added
Out-of-Hospital Cardiac Arrest during the Covid-19 Outbreak in Italy,"Baldi, Enrico; Sechi, Giuseppe M.; Mare, Claudio; Canevari, Fabrizio; Brancaglione, Antonella; Primi, Roberto; Klersy, Catherine; Palo, Alessandra; Contri, Enrico; Ronchi, Vincenza; Beretta, Giorgio; Reali, Francesca; Parogni, Pierpaolo; Facchin, Fabio; Bua, Davide; Rizzi, Ugo; Bussi, Daniele; Ruggeri, Simone; Oltrona Visconti, Luigi; Savastano, Simone","Out-of-Hospital Cardiac Arrest and Covid-19 From February 21 through April 1, 2019, a total of 229 cases of out-of-hospital cardiac arrest were reported in four provinces of Lombardy, Italy. During...",2020,,New England Journal of Medicine,,,NEJMc2010418-NEJMc2010418,,10.1056/NEJMc2010418,25969,#141502,Baldi 2020,,,141502,30-04-20
Does lockdown reduce air pollution? Evidence from 44 cities in northern China,"Bao, Rui; Zhang, Achen","Responding to the ongoing novel coronavirus (agent of COVID-19) outbreak, China implemented “the largest quarantine in human history” in an attempt to prevent the spread of the virus on 23 January 2020. Human mobility and relevant production and consumption activities have since decreased significantly. As a likely side effect of this decrease, many regions have recorded significant reductions in air pollution. We employed daily air pollution data and Intracity Migration Index (IMI) data form Baidu between 1 January and 21 March 2020 for 44 cities in northern China to examine whether, how, and to what extent travel restrictions affected air quality. On the basis of this quantitative analysis, we reached the following conclusions: (1) The reduction of air pollution was strongly associated with travel restrictions during this pandemic—on average, the air quality index (AQI) decreased by 7.80%, and five air pollutants (i.e., SO2, PM2.5, PM10, NO2, and CO) decreased by 6.76%, 5.93%, 13.66%, 24.67%, and 4.58%, respectively. (2) Mechanism analysis illustrated that the lockdowns of 44 cities reduced human movements by 69.85%, and a reduction in the AQI, PM2.5, and CO was partially mediated by human mobility, and SO2, PM10, and NO2 were completely mediated. (3) Our findings highlight the importance of understanding the role of green production and consumption.",2020,,Science of The Total Environment,,,139052-139052,,https://doi.org/10.1016/j.scitotenv.2020.139052,25970,#141503,Bao 2020,,,141503,30-04-20
COVID-19: Infection prevention and control guidance for all ultrasound practitioners,"Basseal, Jocelyne M.; Campbell Westerway, Susan; McAuley, Terry","Abstract The severe acute respiratory syndrome coronavirus (SARS-CoV-2), an enveloped virus, is the causative agent of the disease known as COVID-19 (Coronavirus Disease 2019). The virus is transmitted via the droplet and contact route1 and there is a higher risk of virus transmission when aerosol generating procedures are performed. The median incubation period for COVID-19 is approximately 5 days2 with symptoms appearing 2-14 days post exposure.",2020,,Australasian Journal of Ultrasound in Medicine,n/a,n/a,,,10.1002/ajum.12210,25973,#141506,Basseal 2020,,,141506,30-04-20
Will participation restrictions related to the COVID-19 lockdown boost inclusivity?,"Bayen, Eleonore; Stefanescu, François; Robert, Hélène; Weil-Chounlamountry, Agnès; Villain, Marie; Gouriou, Clémentine; Gueorguieva, Sofia; Picq, Christine; Bruguière, Pascale; Pradat-Diehl, Pascale",,2020,,Annals of Physical and Rehabilitation Medicine,,,,,https://doi.org/10.1016/j.rehab.2020.04.004,25974,#141507,Bayen 2020,,,141507,30-04-20
Impact of COVID-19 pandemic on Subarachnoid Hemorrhage,"Bernat, Anne L.; Giammattei, Lorenzo; Abbritti, Rosaria; Froelich, Sebastien",,2020,,Journal of neurosurgical sciences,,,,,10.23736/S0390-5616.20.04963-2,25975,#141508,Bernat 2020,,,141508,30-04-20
COVID-19: An Early Review of Its Global Impact and Considerations for Parkinson's Disease Patient Care,"Bhidayasiri, Roongroj; Virameteekul, Sasivimol; Kim, Jong-Min; Pal, Pramod Kr; Chung, Sun-Ju","While many infectious disorders are unknown to most neurologists, COVID-19 is very different. It has impacted neurologists and other health care workers, not only in our professional lives but also through the fear and panic within our own families, colleagues, patients and their families, and even in the wider public. COVID-19 affects all sorts of individuals, but the elderly with underlying chronic conditions are particularly at risk of severe disease, or even death. Parkinson's disease (PD) shares a common profile as an age-dependent degenerative disorder, frequently associated with comorbidities, particularly cardiovascular diseases, so PD patients will almost certainly fall into the high-risk group. Therefore, the aim of this review is to explore the risk of COVID-19 in PD based on the susceptibility to severe disease, its impact on PD disease severity, potential long-term sequelae, and difficulties of PD management during this outbreak, where neurologists face various challenges on how we can maintain effective care for PD patients without exposing them, or ourselves, to the risk of infection. It is less than six months since the identification of the original COVID-19 case on New Year's Eve 2019, so it is still too early to fully understand the natural history of COVID-19 and the evidence on COVID-19-related PD is scant. Though the possibilities presented are speculative, they are theory-based, and supported by prior evidence from other neurotrophic viruses closely related to SARS-CoV-2. Neurologists should be on high alert and vigilant for potential acute and chronic complications when encountering PD patients who are suspected of having COVID-19.",2020,,Journal of movement disorders,,,,,10.14802/jmd.20042,25977,#141510,Bhidayasiri 2020,,,141510,30-04-20
Developing Vaccines for SARS-CoV-2 and Future Epidemics and Pandemics: Applying Lessons from Past Outbreaks,"Billington, John; Deschamps, Isabelle; Erck, Stanley C.; Gerberding, Julie L.; Hanon, Emmanuel; Ivol, Sabrina; Shiver, John W.; Spencer, Julia A.; Van Hoof, Johan","The COVID-19 pandemic is a stark reminder of the heavy toll that emerging infectious diseases (EIDs) with epidemic and pandemic potential can inflict. Vaccine development, scale-up, and commerciali...",2020,,Health Security,,,hs.2020.0043-hs.2020.0043,,10.1089/hs.2020.0043,25978,#141511,Billington 2020,,,141511,30-04-20
Cancer at the time of the COVID-19 hurricane,"Blandino, Giovanni",,2020,,Journal of Experimental & Clinical Cancer Research,39,1,74-74,,10.1186/s13046-020-01575-1,25981,#141514,Blandino 2020,,,141514,30-04-20
"[Left behind populations, COVID-19 and risks of health inequities : a guide of the local social-health network (Vaud, Switzerland)]","Bodenmann, Patrick; Pahud-Vermeulen, Brigitte; Bouche, Laurence; Sanchis Zozaya, Javier; Bauermeister, Murielle; Berzig, Ahmed","Since the emergence of the COVID-19 pandemic, the Confederation has referred to « vulnerable populations » over the age of 65 and/or with co-morbidities as potentially at risk. This group should not overshadow other highly vulnerable populations such as forced migrants, people deprived of their liberty, and the homeless. In the context of the current pandemic, there is a risk of increasing inequities in care among these populations. In this practical article, we list the marginalized and disadvantaged left behind populations in the canton of Vaud and the issues of inequities in care in the context of the pandemic; we also present the implementation of procedures sometimes original, always inter-professional and interdisciplinary, specifying who the partners are and what the resources are for front-line caregivers.",2020,,Revue medicale suisse,16,N° 691-2,859-862,,,25982,#141515,Bodenmann 2020,,,141515,30-04-20
Effectiveness of a ‘fast lung ultrasound teaching program’ for gynecologists/obstetricians dealing with pregnant women with suspicion of COVID-19 infection,"Buonsenso, D.; Moro, F.; Inchingolo, R.; Smargiassi, A.; Demi, L.; Soldati, G.; Moroni, R.; Lanzone, A.; Scambia, G.; Testa, A. C.",,2020,,Ultrasound in Obstetrics & Gynecology,n/a,n/a,,,10.1002/uog.22066,25984,#141517,Buonsenso 2020,,,141517,30-04-20
Is there a role for lung perfusion [99mTc]-MAA SPECT/CT to rule out pulmonary embolism in COVID-19 patients with contraindications for iodine contrast?,"Burger, Irene A.; Niemann, Tilo; Patriki, Dimitri; Fontana, François; Beer, Jürg-Hans",,2020,,European Journal of Nuclear Medicine and Molecular Imaging,,,01-Feb,,10.1007/s00259-020-04837-4,25985,#141518,Burger 2020,,,141518,30-04-20
Hernia in the time of COVID-19,"Campanelli, G.",,2020,,Hernia,,,01-Jan,,10.1007/s10029-020-02197-4,25986,#141519,Campanelli 2020,,,141519,30-04-20
"NSAIDs in patients with viral infections, including Covid-19: victims or perpetrators?","Capuano, Annalisa; Scavone, Cristina; Racagni, Giorgio; Scaglione, Francesco","Taking anti-inflammatory drugs, including non-steroidal (NSAIDs), during Covid-19 infection, how much is risky? The French Minister of Health, who has raised an alarm on a possible risk deriving from the use of ibuprofen for the control of fever and other symptoms during the disease, opened the debate a few days ago. In this paper we examine available evidence from preclinical and clinical studies that had analysed the role of COX in the inflammatory process and the effects of NSAIDs in patients with infections. Most of the published studies that suggested not protective effects of NSAIDs were mainly performed in vitro or on animals. Therefore, their meaning in humans is to be considered with great caution. Based also on data suggesting protective effects of NSAIDs, we concluded that currently there is no evidence suggesting a correlation between NSAIDs and a worsening of infections. Further studies will be certainly needed to better define the role of NSAIDs and particularly COX2 inhibitors in patients with infections. In the meantime, we must wait for results of the revision started by the PRAC on May 2019 on the association ibuprofen/ketoprofen​​​​​​ and worsening of infections. Since nowadays no scientific evidence establishes a correlation between NSAIDS and worsening of COVID-19, patients should be advice against any NSAIDs self-medication when COVID-19 like symptoms are present.",2020,,Pharmacological Research,,,104849-104849,,https://doi.org/10.1016/j.phrs.2020.104849,25987,#141520,Capuano 2020,,,141520,30-04-20
Skull base surgery during the Covid-19 pandemic: The Italian skull base society recommendations,"Castelnuovo, Paolo; Turri-Zanoni, Mario; Karligkiotis, Apostolos; Battaglia, Paolo; Pozzi, Fabio; Locatelli, Davide on behalf of the Italian Skull Base Society Board; Bernucci, Claudio; Iacoangeli, Maurizio; Krengli, Marco; Marchetti, Marcello; Pareschi, Roberto; Pompucci, Angelo; Rabbiosi, Dimitri","Severe acute respiratory syndrome-coronavirus-2 (SARS-CoV-2), which causes coronavirus disease 2019 (Covid-19), is highly contagious with devastating impacts for healthcare systems worldwide. Medical staff are at high risk of viral contamination and it is imperative to know what personal protective equipment is appropriate for each situation. Furthermore, elective clinics and operations have been reduced in order to mobilize manpower to the acute specialties combatting the outbreak; appropriate differentiation between patients who require immediate care and those who can receive telephone consultation or whose treatment might viably be postponed is therefore crucial. Italy was one of the earliest and hardest-hit European countries and therefore the Italian Skull Base Society board has promulgated specific recommendations based on consensus best practices and the literature, where available. Only urgent surgical operations are recommended and all patients should be tested at least twice (on days 4 and 2 prior to surgery). For positive patients, procedures should be postponed until after swab test negativization. If the procedure is vital to the survival of the patient, FFP3 and/or PAPRs devices, goggles, full-face visor, double gloves, water-resistant gowns and protective caps, are mandatory. For negative patients, use of at least FFP2 mask is recommended. In all cases the use of drills, which promote the aerosolization of potentially infected mucous particles, should be avoided. Given the potential neurotropism of SARS-CoV-2, dura handling should be minimized. It is only through widely-agreed protocols and teamwork that we will be able to deal with the evolving and complex implications of this new pandemic. This article is protected by copyright. All rights reserved.",2020,,International forum of allergy & rhinology,,,,,10.1002/alr.22596,25988,#141521,Castelnuovo 2020,,,141521,30-04-20
Statin therapy in COVID-19 infection,"Castiglione, Vincenzo; Chiriacò, Martina; Emdin, Michele; Taddei, Stefano; Vergaro, Giuseppe",,2020,,European Heart Journal - Cardiovascular Pharmacotherapy,,,,,10.1093/ehjcvp/pvaa042,25990,#141522,Castiglione 2020,,,141522,30-04-20
Which Dermatology Patients Attend to Dermatology Outpatient Clinics During the SARS-CoV-2 Outbreak in Turkey and What Happened to Them?,"Cengiz, Fatma Pelin; Emiroglu, Nazan; Bahali, Anil Gulsel; Dizman, Didem; Taslidere, Nazan; Akarslan, Tahsin Cagdas; Gunes, Begum; Mert, Omer; Su Kucuk, Ozlem; Onsun, Nahide","Coronavirus disease, first emerged in Wuhan, rapidly spread all over the World since December 2019. There are concerns about elective dermatology appointments and its results. Herein, we aimed to find out which type of dermatologic patients attended to dermatology outpatient clinic. The patients visiting the clinics for elective dermatologic diseases between 11 and March 18, 2020 were included in this study. Their age, sex, diagnosis of disease, requirement for emergent intervention, and their medical records about COVID-19 were obtained. There were 390 patients attending to the dermatology outpatient clinic in this period. The most common disease was acne (N:94, 24%), only 19% of patients need emergent interventions or dose adjustment. There were 40 (10%) patients over the age of 65. After their visits, 5 patients were diagnosed as COVID-19 in two weeks. Dermatologic examinations may be a vector for SARS-CoV-2 transmission since being closed to the patient. Five of our patients were diagnosed as COVID-19 after their elective visit to hospital. Since the asymptomatic course of some young patients, most of the our patients weren't screened for COVID-19. Our findings support the concerns of elective physician examinations. This article is protected by copyright. All rights reserved.",2020,,Dermatologic therapy,,,e13470-e13470,,10.1111/dth.13470,25992,#141525,Cengiz 2020,,,141525,30-04-20
Gynecological malignancies with asymptomatic SARS-CoV-2 infection during the convalescence of outbreak,"Chen, Yeshan; Li, Guiling",,2020,,Gynecologic Oncology,,,,,https://doi.org/10.1016/j.ygyno.2020.04.709,25993,#141526,Chen 2020,,,141526,30-04-20
Cardiovascular Risks in Patients with COVID-19: Potential Mechanisms and Areas of Uncertainty,"Cheng, Paul; Zhu, Han; Witteles, Ronald M.; Wu, Joseph C.; Quertermous, Thomas; Wu, Sean M.; Rhee, June-Wha","COronaVirus Disease 2019 (COVID-19) has spread at unprecedented speed and scale into a global pandemic with cardiovascular risk factors and complications emerging as important disease modifiers. We aim to review available clinical and biomedical literature on cardiovascular risks of COVID-19. SARS-CoV2, the virus responsible for COVID-19, enters the cell via ACE2 expressed in select organs. Emerging epidemiological evidence suggest cardiovascular risk factors are associated with increased disease severity and mortality in COVID-19 patients. Patients with a more severe form of COVID-19 are also more likely to develop cardiac complications such as myocardial injury and arrhythmia. The true incidence of and mechanism underlying these events remain elusive. Cardiovascular diseases appear intricately linked with COVID-19, with cardiac complications contributing to the elevated morbidity/mortality of COVID-19. Robust epidemiologic and biologic studies are urgently needed to better understand the mechanism underlying these associations to develop better therapies.",2020,,Current Cardiology Reports,22,5,34-34,,10.1007/s11886-020-01293-2,25995,#141528,Cheng 2020,,,141528,30-04-20
Pharmacological (or Synthetic) and Nutritional Agonists of PPAR-γ as Candidates for Cytokine Storm Modulation in COVID-19 Disease,"Ciavarella, Carmen; Motta, Ilenia; Valente, Sabrina; Pasquinelli, Gianandrea","The cytokine storm is an abnormal production of inflammatory cytokines, due to the over-activation of the innate immune response. This mechanism has been recognized as a critical mediator of influenza-induced lung disease, and it could be pivotal for COVID-19 infections. Thus, an immunomodulatory approach targeting the over-production of cytokines could be proposed for viral aggressive pulmonary disease treatment. In this regard, the peroxisome proliferator-activated receptor (PPAR)-γ, a member of the PPAR transcription factor family, could represent a potential target. Beside the well-known regulatory role on lipid and glucose metabolism, PPAR-γ also represses the inflammatory process. Similarly, the PPAR-γ agonist thiazolidinediones (TZDs), like pioglitazone, are anti-inflammatory drugs with ameliorating effects on severe viral pneumonia. In addition to the pharmacological agonists, also nutritional ligands of PPAR-γ, like curcuma, lemongrass, and pomegranate, possess anti-inflammatory properties through PPAR-γ activation. Here, we review the main synthetic and nutritional PPAR-γ ligands, proposing a dual approach based on the strengthening of the immune system using pharmacological and dietary strategies as an attempt to prevent/treat cytokine storm in the case of coronavirus infection.",2020,,Molecules,25,9,2076-2076,,10.3390/molecules25092076,25997,#141530,Ciavarella 2020,,,141530,30-04-20
COVID-19: Is Everything Appropriate to Create an Effective Vaccine?,"Cioffi, Andrea",,2020,,The Journal of Infectious Diseases,,,,,10.1093/infdis/jiaa216,25998,#141531,Cioffi 2020,,,141531,30-04-20
