Facility ID,Facility Name,Address,City,State,ZIP Code,County Name,HAI-1 Achievement Threshold,HAI-1 Benchmark,HAI-1 Baseline Rate,HAI-1 Performance Rate,HAI-1 Achievement Points,HAI-1 Improvement Points,HAI-1 Measure Score,HAI-2 Achievement Threshold,HAI-2 Benchmark,HAI-2 Baseline Rate,HAI-2 Performance Rate,HAI-2 Achievement Points,HAI-2 Improvement Points,HAI-2 Measure Score,Combined SSI Measure Score,HAI-3 Achievement Threshold,HAI-3 Benchmark,HAI-3 Baseline Rate,HAI-3 Performance Rate,HAI-3 Achievement Points,HAI-3 Improvement Points,HAI-3 Measure Score,HAI-4 Achievement Threshold,HAI-4 Benchmark,HAI-4 Baseline Rate,HAI-4 Performance Rate,HAI-4 Achievement Points,HAI-4 Improvement Points,HAI-4 Measure Score,HAI-5 Achievement Threshold,HAI-5 Benchmark,HAI-5 Baseline Rate,HAI-5 Performance Rate,HAI-5 Achievement Points,HAI-5 Improvement Points,HAI-5 Measure Score,HAI-6 Achievement Threshold,HAI-6 Benchmark,HAI-6 Baseline Rate,HAI-6 Performance Rate,HAI-6 Achievement Points,HAI-6 Improvement Points,HAI-6 Measure Score,PC-01 Achievement Threshold,PC-01 Benchmark,PC-01 Baseline Rate,PC-01 Performance Rate,PC-01 Achievement Points,PC-01 Improvement Points,PC-01 Measure Score
010024,JACKSON HOSPITAL & CLINIC INC,1725 PINE STREET,MONTGOMERY,AL,36106,Montgomery,0.784,0.000,1.596,1.365,0 out of 10,1 out of 9,1 out of 10,0.828,0.000,1.011,1.189,0 out of 10,0 out of 9,0 out of 10,5 out of 10,0.781,0.000,0.710,0.211,7 out of 10,7 out of 9,7 out of 10,0.722,0.000,0.769,2.562,0 out of 10,0 out of 9,0 out of 10,0.815,0.000,1.267,2.129,0 out of 10,0 out of 9,0 out of 10,0.852,0.091,1.189,1.083,0 out of 10,0 out of 9,0 out of 10,0.000000,0.000000,0.000000,0.000000,10 out of 10,0 out of 9,10 out of 10
010029,EAST ALABAMA MEDICAL CENTER,2000 PEPPERELL PARKWAY,OPELIKA,AL,36801,Lee,0.784,0.000,0.808,1.091,0 out of 10,0 out of 9,0 out of 10,0.828,0.000,1.316,1.068,0 out of 10,1 out of 9,1 out of 10,2 out of 10,0.781,0.000,0.000,0.449,4 out of 10,0 out of 9,4 out of 10,0.722,0.000,0.701,0.924,0 out of 10,0 out of 9,0 out of 10,0.815,0.000,1.710,0.582,3 out of 10,6 out of 9,6 out of 10,0.852,0.091,0.564,0.547,4 out of 10,0 out of 9,4 out of 10,0.000000,0.000000,0.000000,0.000000,10 out of 10,0 out of 9,10 out of 10
010033,UNIVERSITY OF ALABAMA HOSPITAL,619 SOUTH 19TH STREET,BIRMINGHAM,AL,35233,Jefferson,0.784,0.000,0.729,0.546,3 out of 10,2 out of 9,3 out of 10,0.828,0.000,0.309,0.188,7 out of 10,3 out of 9,7 out of 10,2 out of 10,0.781,0.000,0.879,0.670,2 out of 10,2 out of 9,2 out of 10,0.722,0.000,0.792,1.400,0 out of 10,0 out of 9,0 out of 10,0.815,0.000,1.371,0.890,0 out of 10,3 out of 9,3 out of 10,0.852,0.091,0.642,0.412,6 out of 10,4 out of 9,6 out of 10,0.000000,0.000000,0.070175,0.000000,10 out of 10,9 out of 9,10 out of 10
010034,COMMUNITY HOSPITAL INC,805 FRIENDSHIP ROAD,TALLASSEE,AL,36078,Elmore,0.784,0.000,Not Available,Not Available,Not Available,Not Available,Not Available,0.828,0.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.781,0.000,Not Available,Not Available,Not Available,Not Available,Not Available,0.722,0.000,Not Available,Not Available,Not Available,Not Available,Not Available,0.815,0.000,Not Available,Not Available,Not Available,Not Available,Not Available,0.852,0.091,1.128,0.668,3 out of 10,4 out of 9,4 out of 10,0.000000,0.000000,Not Available,Not Available,Not Available,Not Available,Not Available
010035,CULLMAN REGIONAL MEDICAL CENTER,1912 ALABAMA HIGHWAY 157,CULLMAN,AL,35058,Cullman,0.784,0.000,0.407,0.000,10 out of 10,9 out of 9,10 out of 10,0.828,0.000,0.362,0.535,4 out of 10,0 out of 9,4 out of 10,4 out of 10,0.781,0.000,0.000,0.498,4 out of 10,0 out of 9,4 out of 10,0.722,0.000,Not Available,Not Available,Not Available,Not Available,Not Available,0.815,0.000,0.797,0.605,3 out of 10,2 out of 9,3 out of 10,0.852,0.091,0.388,0.194,8 out of 10,6 out of 9,8 out of 10,0.000000,0.000000,0.000000,0.012500,0 out of 10,0 out of 9,0 out of 10
010036,ANDALUSIA HEALTH,849 SOUTH THREE NOTCH STREET,ANDALUSIA,AL,36420,Covington,0.784,0.000,Not Available,Not Available,Not Available,Not Available,Not Available,0.828,0.000,0.000,0.000,10 out of 10,0 out of 9,10 out of 10,Not Available,0.781,0.000,Not Available,Not Available,Not Available,Not Available,Not Available,0.722,0.000,Not Available,Not Available,Not Available,Not Available,Not Available,0.815,0.000,Not Available,Not Available,Not Available,Not Available,Not Available,0.852,0.091,0.687,0.864,0 out of 10,0 out of 9,0 out of 10,0.000000,0.000000,0.000000,0.027027,0 out of 10,0 out of 9,0 out of 10
010038,STRINGFELLOW MEMORIAL HOSPITAL,301 EAST 18TH ST,ANNISTON,AL,36201,Calhoun,0.784,0.000,Not Available,Not Available,Not Available,Not Available,Not Available,0.828,0.000,0.663,Not Available,Not Available,Not Available,Not Available,Not Available,0.781,0.000,Not Available,Not Available,Not Available,Not Available,Not Available,0.722,0.000,Not Available,Not Available,Not Available,Not Available,Not Available,0.815,0.000,Not Available,Not Available,Not Available,Not Available,Not Available,0.852,0.091,0.598,0.654,3 out of 10,0 out of 9,3 out of 10,0.000000,0.000000,Not Available,Not Available,Not Available,Not Available,Not Available
010039,HUNTSVILLE HOSPITAL,101 SIVLEY RD,HUNTSVILLE,AL,35801,Madison,0.784,0.000,1.233,0.562,3 out of 10,5 out of 9,5 out of 10,0.828,0.000,1.138,0.744,1 out of 10,3 out of 9,3 out of 10,1 out of 10,0.781,0.000,0.870,0.649,2 out of 10,2 out of 9,2 out of 10,0.722,0.000,0.611,1.003,0 out of 10,0 out of 9,0 out of 10,0.815,0.000,2.005,1.122,0 out of 10,4 out of 9,4 out of 10,0.852,0.091,0.435,0.555,4 out of 10,0 out of 9,4 out of 10,0.000000,0.000000,0.009434,0.022901,0 out of 10,0 out of 9,0 out of 10
010040,GADSDEN REGIONAL MEDICAL CENTER,1007 GOODYEAR AVENUE,GADSDEN,AL,35903,Etowah,0.784,0.000,0.260,0.833,0 out of 10,0 out of 9,0 out of 10,0.828,0.000,0.431,0.454,5 out of 10,0 out of 9,5 out of 10,10 out of 10,0.781,0.000,0.000,0.000,10 out of 10,0 out of 9,10 out of 10,0.722,0.000,Not Available,Not Available,Not Available,Not Available,Not Available,0.815,0.000,1.977,1.804,0 out of 10,0 out of 9,0 out of 10,0.852,0.091,0.791,0.910,0 out of 10,0 out of 9,0 out of 10,0.000000,0.000000,0.085714,0.135135,0 out of 10,0 out of 9,0 out of 10
010045,FAYETTE MEDICAL CENTER,1653 TEMPLE AVENUE NORTH,FAYETTE,AL,35555,Fayette,0.784,0.000,Not Available,Not Available,Not Available,Not Available,Not Available,0.828,0.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.781,0.000,Not Available,Not Available,Not Available,Not Available,Not Available,0.722,0.000,Not Available,Not Available,Not Available,Not Available,Not Available,0.815,0.000,Not Available,Not Available,Not Available,Not Available,Not Available,0.852,0.091,2.472,0.743,2 out of 10,7 out of 9,7 out of 10,0.000000,0.000000,Not Available,Not Available,Not Available,Not Available,Not Available
010046,RIVERVIEW REGIONAL MEDICAL CENTER,600 SOUTH THIRD STREET,GADSDEN,AL,35901,Etowah,0.784,0.000,1.227,0.384,5 out of 10,6 out of 9,6 out of 10,0.828,0.000,1.449,0.000,10 out of 10,9 out of 9,10 out of 10,10 out of 10,0.781,0.000,0.000,0.000,10 out of 10,0 out of 9,10 out of 10,0.722,0.000,Not Available,Not Available,Not Available,Not Available,Not Available,0.815,0.000,3.167,0.787,1 out of 10,7 out of 9,7 out of 10,0.852,0.091,0.367,0.504,5 out of 10,0 out of 9,5 out of 10,0.000000,0.000000,Not Available,Not Available,Not Available,Not Available,Not Available
010049,MEDICAL CENTER ENTERPRISE,400 N EDWARDS STREET,ENTERPRISE,AL,36330,Coffee,0.784,0.000,Not Available,Not Available,Not Available,Not Available,Not Available,0.828,0.000,1.807,Not Available,Not Available,Not Available,Not Available,Not Available,0.781,0.000,Not Available,Not Available,Not Available,Not Available,Not Available,0.722,0.000,Not Available,Not Available,Not Available,Not Available,Not Available,0.815,0.000,Not Available,Not Available,Not Available,Not Available,Not Available,0.852,0.091,0.389,0.397,6 out of 10,0 out of 9,6 out of 10,0.000000,0.000000,0.000000,0.000000,10 out of 10,0 out of 9,10 out of 10
010055,FLOWERS HOSPITAL,4370 WEST MAIN STREET,DOTHAN,AL,36305,Houston,0.784,0.000,0.434,0.000,10 out of 10,9 out of 9,10 out of 10,0.828,0.000,1.322,0.454,5 out of 10,6 out of 9,6 out of 10,10 out of 10,0.781,0.000,0.903,0.000,10 out of 10,9 out of 9,10 out of 10,0.722,0.000,0.000,0.000,10 out of 10,0 out of 9,10 out of 10,0.815,0.000,0.810,0.000,10 out of 10,9 out of 9,10 out of 10,0.852,0.091,0.467,0.364,6 out of 10,2 out of 9,6 out of 10,0.000000,0.000000,0.000000,0.000000,10 out of 10,0 out of 9,10 out of 10
010056,ST VINCENT'S BIRMINGHAM,810 ST VINCENT'S DRIVE,BIRMINGHAM,AL,35205,Jefferson,0.784,0.000,1.852,1.105,0 out of 10,4 out of 9,4 out of 10,0.828,0.000,1.017,0.771,1 out of 10,2 out of 9,2 out of 10,4 out of 10,0.781,0.000,0.480,0.467,4 out of 10,0 out of 9,4 out of 10,0.722,0.000,1.374,0.884,0 out of 10,3 out of 9,3 out of 10,0.815,0.000,1.060,1.154,0 out of 10,0 out of 9,0 out of 10,0.852,0.091,0.488,0.454,5 out of 10,0 out of 9,5 out of 10,0.000000,0.000000,0.032787,0.000000,10 out of 10,9 out of 9,10 out of 10
010058,BIBB MEDICAL CENTER,208 PIERSON AVE,CENTREVILLE,AL,35042,Bibb,0.784,0.000,Not Available,Not Available,Not Available,Not Available,Not Available,0.828,0.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.781,0.000,Not Available,Not Available,Not Available,Not Available,Not Available,0.722,0.000,Not Available,Not Available,Not Available,Not Available,Not Available,0.815,0.000,Not Available,Not Available,Not Available,Not Available,Not Available,0.852,0.091,Not Available,0.734,2 out of 10,Not Available,2 out of 10,0.000000,0.000000,0.000000,0.375000,0 out of 10,0 out of 9,0 out of 10
010061,HIGHLANDS MEDICAL CENTER,380 WOODS COVE ROAD,SCOTTSBORO,AL,35768,Jackson,0.784,0.000,Not Available,Not Available,Not Available,Not Available,Not Available,0.828,0.000,1.403,Not Available,Not Available,Not Available,Not Available,Not Available,0.781,0.000,Not Available,Not Available,Not Available,Not Available,Not Available,0.722,0.000,Not Available,Not Available,Not Available,Not Available,Not Available,0.815,0.000,Not Available,Not Available,Not Available,Not Available,Not Available,0.852,0.091,0.996,0.784,1 out of 10,2 out of 9,2 out of 10,0.000000,0.000000,0.020408,0.037037,0 out of 10,0 out of 9,0 out of 10
010062,WIREGRASS MEDICAL CENTER,1200 W MAPLE AVENUE,GENEVA,AL,36340,Geneva,0.784,0.000,Not Available,Not Available,Not Available,Not Available,Not Available,0.828,0.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.781,0.000,Not Available,Not Available,Not Available,Not Available,Not Available,0.722,0.000,Not Available,Not Available,Not Available,Not Available,Not Available,0.815,0.000,Not Available,Not Available,Not Available,Not Available,Not Available,0.852,0.091,0.000,1.380,0 out of 10,0 out of 9,0 out of 10,0.000000,0.000000,Not Available,Not Available,Not Available,Not Available,Not Available
010065,RUSSELL MEDICAL CENTER,3316 HIGHWAY 280,ALEXANDER CITY,AL,35010,Tallapoosa,0.784,0.000,Not Available,Not Available,Not Available,Not Available,Not Available,0.828,0.000,0.191,0.000,10 out of 10,9 out of 9,10 out of 10,Not Available,0.781,0.000,Not Available,Not Available,Not Available,Not Available,Not Available,0.722,0.000,Not Available,Not Available,Not Available,Not Available,Not Available,0.815,0.000,Not Available,Not Available,Not Available,Not Available,Not Available,0.852,0.091,0.829,1.621,0 out of 10,0 out of 9,0 out of 10,0.000000,0.000000,0.023529,0.047619,0 out of 10,0 out of 9,0 out of 10
010069,MEDICAL CENTER BARBOUR,820 W WASHINGTON ST,EUFAULA,AL,36027,Barbour,0.784,0.000,Not Available,Not Available,Not Available,Not Available,Not Available,0.828,0.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.781,0.000,Not Available,Not Available,Not Available,Not Available,Not Available,0.722,0.000,Not Available,Not Available,Not Available,Not Available,Not Available,0.815,0.000,Not Available,Not Available,Not Available,Not Available,Not Available,0.852,0.091,0.634,0.748,2 out of 10,0 out of 9,2 out of 10,0.000000,0.000000,Not Available,Not Available,Not Available,Not Available,Not Available
010073,CLAY COUNTY HOSPITAL,83825 HIGHWAY 9    P O BOX 1270,ASHLAND,AL,36251,Clay,0.784,0.000,Not Available,Not Available,Not Available,Not Available,Not Available,0.828,0.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.781,0.000,Not Available,Not Available,Not Available,Not Available,Not Available,0.722,0.000,Not Available,Not Available,Not Available,Not Available,Not Available,0.815,0.000,Not Available,Not Available,Not Available,Not Available,Not Available,0.852,0.091,Not Available,2.841,0 out of 10,Not Available,0 out of 10,0.000000,0.000000,Not Available,Not Available,Not Available,Not Available,Not Available
010078,NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,400 EAST 10TH STREET,ANNISTON,AL,36207,Calhoun,0.784,0.000,1.686,3.774,0 out of 10,0 out of 9,0 out of 10,0.828,0.000,1.081,0.198,7 out of 10,8 out of 9,8 out of 10,10 out of 10,0.781,0.000,0.000,0.000,10 out of 10,0 out of 9,10 out of 10,0.722,0.000,Not Available,Not Available,Not Available,Not Available,Not Available,0.815,0.000,1.532,1.419,0 out of 10,0 out of 9,0 out of 10,0.852,0.091,0.290,0.631,3 out of 10,0 out of 9,3 out of 10,0.000000,0.000000,0.042553,0.027027,0 out of 10,3 out of 9,3 out of 10
010079,ATHENS LIMESTONE HOSPITAL,700 WEST MARKET STREET,ATHENS,AL,35611,Limestone,0.784,0.000,1.794,0.000,10 out of 10,9 out of 9,10 out of 10,0.828,0.000,0.000,1.647,0 out of 10,0 out of 9,0 out of 10,Not Available,0.781,0.000,Not Available,Not Available,Not Available,Not Available,Not Available,0.722,0.000,Not Available,Not Available,Not Available,Not Available,Not Available,0.815,0.000,Not Available,Not Available,Not Available,Not Available,Not Available,0.852,0.091,0.625,0.865,0 out of 10,0 out of 9,0 out of 10,0.000000,0.000000,0.026316,0.015873,0 out of 10,3 out of 9,3 out of 10
010083,SOUTH BALDWIN REGIONAL MEDICAL CENTER,1613 NORTH MCKENZIE STREET,FOLEY,AL,36535,Baldwin,0.784,0.000,0.000,0.000,10 out of 10,0 out of 9,10 out of 10,0.828,0.000,0.741,0.000,10 out of 10,9 out of 9,10 out of 10,10 out of 10,0.781,0.000,1.953,0.000,10 out of 10,9 out of 9,10 out of 10,0.722,0.000,Not Available,Not Available,Not Available,Not Available,Not Available,0.815,0.000,0.000,Not Available,Not Available,Not Available,Not Available,0.852,0.091,0.737,0.304,7 out of 10,6 out of 9,7 out of 10,0.000000,0.000000,0.016949,0.037736,0 out of 10,0 out of 9,0 out of 10
010085,DECATUR MORGAN HOSPITAL-DECATUR CAMPUS,1201 7TH STREET SE,DECATUR,AL,35601,Morgan,0.784,0.000,0.000,0.593,3 out of 10,0 out of 9,3 out of 10,0.828,0.000,0.500,0.695,2 out of 10,0 out of 9,2 out of 10,10 out of 10,0.781,0.000,0.000,0.000,10 out of 10,0 out of 9,10 out of 10,0.722,0.000,Not Available,Not Available,Not Available,Not Available,Not Available,0.815,0.000,0.814,1.370,0 out of 10,0 out of 9,0 out of 10,0.852,0.091,0.335,0.563,4 out of 10,0 out of 9,4 out of 10,0.000000,0.000000,0.068966,0.000000,10 out of 10,9 out of 9,10 out of 10
010086,NORTHWEST MEDICAL CENTER,1530 U S HIGHWAY 43,WINFIELD,AL,35594,Fayette,0.784,0.000,Not Available,Not Available,Not Available,Not Available,Not Available,0.828,0.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.781,0.000,Not Available,Not Available,Not Available,Not Available,Not Available,0.722,0.000,Not Available,Not Available,Not Available,Not Available,Not Available,0.815,0.000,Not Available,Not Available,Not Available,Not Available,Not Available,0.852,0.091,0.836,0.000,10 out of 10,9 out of 9,10 out of 10,0.000000,0.000000,Not Available,Not Available,Not Available,Not Available,Not Available
010087,UNIVERSITY OF SOUTH ALABAMA MEDICAL CENTER,2451 FILLINGIM STREET,MOBILE,AL,36617,Mobile,0.784,0.000,1.702,0.981,0 out of 10,4 out of 9,4 out of 10,0.828,0.000,1.460,1.194,0 out of 10,1 out of 9,1 out of 10,5 out of 10,0.781,0.000,2.531,1.129,0 out of 10,5 out of 9,5 out of 10,0.722,0.000,Not Available,Not Available,Not Available,Not Available,Not Available,0.815,0.000,1.673,0.000,10 out of 10,9 out of 9,10 out of 10,0.852,0.091,1.035,0.822,1 out of 10,2 out of 9,2 out of 10,0.000000,0.000000,Not Available,Not Available,Not Available,Not Available,Not Available
010089,WALKER BAPTIST MEDICAL CENTER,3400 HIGHWAY 78 EAST,JASPER,AL,35502,Walker,0.784,0.000,1.704,0.000,10 out of 10,9 out of 9,10 out of 10,0.828,0.000,0.000,0.000,10 out of 10,0 out of 9,10 out of 10,Not Available,0.781,0.000,Not Available,Not Available,Not Available,Not Available,Not Available,0.722,0.000,Not Available,Not Available,Not Available,Not Available,Not Available,0.815,0.000,1.257,Not Available,Not Available,Not Available,Not Available,0.852,0.091,0.897,0.212,8 out of 10,8 out of 9,8 out of 10,0.000000,0.000000,0.011494,0.000000,10 out of 10,9 out of 9,10 out of 10
010090,PROVIDENCE HOSPITAL,6801 AIRPORT BOULEVARD,MOBILE,AL,36608,Mobile,0.784,0.000,0.897,0.891,0 out of 10,0 out of 9,0 out of 10,0.828,0.000,0.613,0.000,10 out of 10,9 out of 9,10 out of 10,5 out of 10,0.781,0.000,1.495,0.968,0 out of 10,3 out of 9,3 out of 10,0.722,0.000,0.000,0.000,10 out of 10,0 out of 9,10 out of 10,0.815,0.000,1.010,1.552,0 out of 10,0 out of 9,0 out of 10,0.852,0.091,0.564,0.419,6 out of 10,3 out of 9,6 out of 10,0.000000,0.000000,0.000000,0.004785,0 out of 10,0 out of 9,0 out of 10
010091,GROVE HILL MEMORIAL HOSPITAL,295 JACKSON HWY S,GROVE HILL,AL,36451,Clarke,0.784,0.000,Not Available,Not Available,Not Available,Not Available,Not Available,0.828,0.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.781,0.000,Not Available,Not Available,Not Available,Not Available,Not Available,0.722,0.000,Not Available,Not Available,Not Available,Not Available,Not Available,0.815,0.000,Not Available,Not Available,Not Available,Not Available,Not Available,0.852,0.091,Not Available,Not Available,Not Available,Not Available,Not Available,0.000000,0.000000,0.046512,0.000000,10 out of 10,9 out of 9,10 out of 10
010092,D C H REGIONAL MEDICAL CENTER,809 UNIVERSITY BOULEVARD EAST,TUSCALOOSA,AL,35401,Tuscaloosa,0.784,0.000,1.480,0.688,2 out of 10,5 out of 9,5 out of 10,0.828,0.000,0.760,0.631,3 out of 10,1 out of 9,3 out of 10,0 out of 10,0.781,0.000,0.898,1.861,0 out of 10,0 out of 9,0 out of 10,0.722,0.000,0.682,0.775,0 out of 10,0 out of 9,0 out of 10,0.815,0.000,0.968,1.234,0 out of 10,0 out of 9,0 out of 10,0.852,0.091,0.789,0.794,1 out of 10,0 out of 9,1 out of 10,0.000000,0.000000,0.036364,0.000000,10 out of 10,9 out of 9,10 out of 10
