"Facility Name","Facility ID","NPI","City","State","ZIP Code","Year","ASC-1 Measure Rate","ASC-1 Footnote","ASC-2 Measure Rate","ASC-2 Footnote","ASC-3 Measure Rate","ASC-3 Footnote","ASC-4 Measure Rate","ASC-4 Footnote","ASC-9 Rate","ASC-9 Footnote","ASC-10 Rate","ASC-10 Footnote","ASC-11 Rate","ASC-11 Footnote","ASC-13 Rate","ASC-13 Footnote","ASC-14 Rate","ASC-14 Footnote","ASC-12 Total Cases","ASC-12 Performance Category","ASC-12 RSHV Rate","ASC-12 Interval Lower Limit","ASC-12 Interval Upper Limit","ASC-12 Footnote"
SILVER SPRING OPHTHALMOLOGY LLC,21C0001177,1003853136,SILVER SPRING,MD,20910,2018,0,,0,,0,,0,,N/A,5,N/A,5,N/A,5,N/A,5,0.14,,N/A,N/A,N/A,N/A,N/A,5
OHIO EYE ASSOCIATES INC,36C0001024,1003855594,MANSFIELD,OH,44906,2018,0,,0,,0,,0,,N/A,5,N/A,5,N/A,5,N/A,5,0.05,,N/A,N/A,N/A,N/A,N/A,5
SURGERY CENTER OF PINEHURST LLC,34C0001114,1003860917,PINEHURST,NC,28374,2018,0,,0,,0,,0.46,,N/A,5,N/A,5,N/A,5,100,,N/A,5,N/A,N/A,N/A,N/A,N/A,5
PHYSICIANS SURGERY CENTER OF CHATTANOOGA LLC DBA PHYSICIANS SURGERY CENTER OF CHATTANOOGA,44C0001060,1003861998,CHATTANOOGA,TN,37412,2018,0,,0,,0,,0,,87.18,,42.86,,100,,100,,0.86,,97,No Different than the National Rate,12.2,8.6,17,
PINELLAS SURGERY CENTER LTD DBA CENTER FOR SPECIAL SURGERY,10C0001250,1003870825,SAINT PETERSBURG,FL,33703,2018,0,,0,,0,,0,,N/A,5,N/A,5,N/A,5,99.66,,N/A,5,N/A,N/A,N/A,N/A,N/A,5
MEMPHIS SURGERY CENTER LTD LP,44C0001004,1003871104,MEMPHIS,TN,38119,2018,1.094,,0,,0,,0,,N/A,5,N/A,5,N/A,5,100,,0.18,,N/A,N/A,N/A,N/A,N/A,5
WILDCREEK SURGERY CENTER,29C0001035,1003875873,SPARKS,NV,89431,2018,0,,0,,0,,0,,N/A,5,N/A,5,100,,N/A,5,0.39,,N/A,N/A,N/A,N/A,N/A,5
CENTRAL TEXAS ENDOSCOPY CENTER LLC,45C0001265,1003887225,BRYAN,TX,77802,2018,0,,0,,0,,1.328,,91.74,,77.86,,N/A,5,N/A,5,N/A,5,2791,No Different than the National Rate,13.1,10.5,16.3,
AUSTIN ENDOSCOPY CENTER II LP,45C0001295,1003887845,AUSTIN,TX,78745,2018,0,,0,,0,,1.054,,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,4057,No Different than the National Rate,11.4,9.2,14.1,
LOUISVILLE ENDOSCOPY CENTER PLLC,18C0001029,1003888595,LOUISVILLE,KY,40217,2018,0,,0,,0,,0,,87.14,,86.1,,N/A,5,N/A,5,N/A,5,2524,No Different than the National Rate,10.5,8.2,13.4,
DIGESTIVE ENDOSCOPY CENTER LLC,36C0001084,1003888710,KETTERING,OH,45429,2018,0,,0,,0,,0.759,,94.62,,91.34,,N/A,5,N/A,5,N/A,5,1848,No Different than the National Rate,12.7,9.8,16.3,
ENDOSCOPY GROUP LLC,10C0001252,1003889346,PENSACOLA,FL,32503,2018,0,,0,,0,,0.427,,100,,100,,N/A,5,N/A,5,N/A,5,6362,No Different than the National Rate,11.8,10,14,
THE WALDORF ENDOSCOPY ASC LLC,21C0001062,1003889379,WALDORF,MD,20603,2018,0,,0,,0,,0,,100,,100,,N/A,5,N/A,5,N/A,5,3037,No Different than the National Rate,12.4,9.9,15.7,
COMMUNITY SURGERY CENTER NORTHWEST,15C0001034,1003897448,INDIANAPOLIS,IN,46260,2018,0,,0,,0,,0,,45,,98.25,,N/A,5,96.67,,N/A,5,154,No Different than the National Rate,11.9,8.4,16.5,
OREGON TRAIL EYE SURGERY CENTER INC,28C0001036,1003909789,SCOTTSBLUFF,NE,69361,2018,0,,0,,0,,0,,N/A,5,N/A,5,100,,100,,0.57,,N/A,N/A,N/A,N/A,N/A,5
MIFFLIN COUNTY COMMUNITY SURGICAL CENTER PC,39C0001072,1003935354,LEWISTOWN,PA,17044,2018,0,,0,,0,,0,,N/A,5,N/A,5,N/A,5,N/A,5,1.01,,N/A,N/A,N/A,N/A,N/A,5
VAIL VALLEY SURGERY CENTER LLC DBA VAIL VALLEY SURGERY CENTER VAIL,06C0001074,1003944125,VAIL,CO,81657,2018,0,,0,,0,,0,,N/A,5,N/A,5,N/A,5,100,,N/A,5,N/A,N/A,N/A,N/A,N/A,5
PACIFIC HEIGHTS SURGERY CENTER LP,05C0001661,1003965328,SAN FRANCISCO,CA,94115,2018,0,,0,,0,,0,,N/A,5,N/A,5,N/A,5,99.32,,N/A,5,N/A,N/A,N/A,N/A,N/A,5
THE ORTHOPAEDIC SURGERY CENTER LLC,52C0001074,1003976929,PEWAUKEE,WI,53072,2018,0,,0,,0,,1.633,,N/A,5,N/A,5,N/A,5,99.89,,N/A,5,N/A,N/A,N/A,N/A,N/A,5
PIEDMONT EYE,11C0001203,1003993965,ATLANTA,GA,30327,2018,1.142,,0,,0,,0,,N/A,5,N/A,5,N/A,5,100,,0.55,,N/A,N/A,N/A,N/A,N/A,5
BAY AREA ENDOSCOPY CENTER LIMITED PARTNERSHIP,10C0001196,1013011162,ST PETERSBURG,FL,33709,2018,0,,0,,0,,0,,100,,98.25,,N/A,5,N/A,5,N/A,5,412,No Different than the National Rate,11.2,8.1,15.5,
PHOENIX EYE SURGICAL CENTER PLC,03C0001023,1013021682,PHOENIX,AZ,85012,2018,0,,0,,0,,0,,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
GASTROENTEROLOGY DIAGNOSTIC CENTER MEDICAL GROUP,05C0001186,1013048461,MONTEREY PARK,CA,91754,2018,0,,0,,0,,0,,81.01,,59.2,,N/A,5,N/A,5,N/A,5,468,No Different than the National Rate,13.7,10.2,18.7,
RENAISSANCE SURGERY CENTER LLC,05C0001702,1013068642,PALM DESERT,CA,92260,2018,0,,2.43,,0,,2.43,,N/A,5,N/A,5,N/A,5,89.64,,N/A,5,N/A,N/A,N/A,N/A,N/A,5
RENAISSANCE SURGERY CENTER LLC,05C0001813,1013068642,FRESNO,CA,93720,2018,0,,2.43,,0,,2.43,,N/A,5,N/A,5,N/A,5,89.64,,N/A,5,N/A,N/A,N/A,N/A,N/A,5
CLEARER VISION LLC,44C0001108,1013096700,COOKEVILLE,TN,38501,2018,0,,0,,0,,0,,N/A,5,N/A,5,N/A,5,N/A,5,0,,N/A,N/A,N/A,N/A,N/A,5
TRACY SURGERY CENTER LLC,05C0001859,1013104389,TRACY,CA,95377,2018,0,,0,,0,,0,,70.77,,93.4,,N/A,5,100,,0,,341,No Different than the National Rate,12.3,9,16.9,
ADVANCED SURGICAL INSTITUTE DBA SOUTH JERSEY MUSCULOSKELETAL INSTITUTE LLC,31C0001233,1013136456,SEWELL,NJ,8080,2018,0,,0,,0,,0.578,,100,,100,,N/A,5,100,,N/A,5,819,No Different than the National Rate,12.6,9.3,16.7,
WESTERN WASHINGTON MEDICAL GROUP INC PS DBA GATEWAY SURGERY CENTER,50C0001272,1013138536,EVERETT,WA,98201,2018,0,,0,,0,,0,,N/A,5,N/A,5,N/A,5,100,,N/A,5,N/A,N/A,N/A,N/A,N/A,5
HARRISON ENDO SURGICAL CENTER LLC,31C0001262,1013143007,HARRISON,NJ,7029,2018,0,,0,,0,,0,,46.03,,29.56,,N/A,5,55.61,,N/A,5,375,No Different than the National Rate,12.2,8.9,16.5,
WEST SIDE SURGERY CENTER,11C0001335,1013158948,DOUGLAS,GA,31533,2018,0,,0,,0,,0,,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
DESERT MIRAGE SURGERY CENTER,03C0001317,1013195569,SURPRISE,AZ,85378,2018,0,,2.37,,0,,4.739,,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,328,No Different than the National Rate,11.6,8.4,15.8,
NORTH COLUMBUS SURGERY CENTER LLC,11C0001368,1013212927,COLUMBUS,GA,31909,2018,0,,0,,0,,0,,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
CARLIN VISION SURGERY CENTER LLC,11C0001356,1013222926,SNELLVILLE,GA,30078,2018,0,,0,,0,,0,,N/A,5,N/A,5,N/A,5,N/A,5,0.54,,N/A,N/A,N/A,N/A,N/A,5
TUSCAN SURGERY CENTER AT LAS COLINAS,45C0001384,1013227248,IRVING,TX,75039,2018,0,,0,,0,,0,,100,,100,,N/A,5,N/A,5,N/A,5,1692,No Different than the National Rate,13,10,17,
SOMA SURGERY CENTER,05C0002015,1013275965,BEVERLY HILLS,CA,90211,2018,N/A,1,N/A,1,N/A,1,N/A,1,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,N/A,Number of Cases Too Small,N/A,N/A,N/A,1
MATTHEWS SURGERY CENTER LLC,34C0001180,1013298926,MATTHEWS,NC,28105,2018,0,,0,,0,,0,,N/A,5,N/A,5,N/A,5,99.49,,N/A,5,N/A,N/A,N/A,N/A,N/A,5
MELBOURNE SURGERY CENTER LLC,10C0001228,1013309459,MELBOURNE,FL,32901,2018,0,,0,,0,,1.127,,N/A,5,N/A,5,99.02,,100,,1.87,,N/A,N/A,N/A,N/A,N/A,5
CENTER FOR PAIN AND SPINE LLC,11C0001430,1013341734,NEWNAN,GA,30265,2018,0,,0,,0,,0,,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
GI WELLNESS CENTER OF FREDERICK LLC,21D2113134,1013372986,FREDERICK,MD,21702,2018,0,,0,,0,,0,,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
ROCKFORD DIGESTIVE HEALTH ENDOSCOPY CENTER,34C0001194,1013377290,MOUNT AIRY,NC,27030,2018,0,,0,,0,,0,,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,49,No Different than the National Rate,12.9,9.2,17.9,
INTERVENTIONAL PAIN CENTER PLLC,23C0001130,1013385046,WARREN,MI,48093,2018,3.821,,0,,0,,0,,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
OLYMPIA SURGICAL ASSOCIATES DBA OLYMPIA SURGERY CENTER,45C0001619,1013386549,UNIVERSAL CITY,TX,78148,2018,0,,0,,0,,0,,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
NORTH PINES SURGERY CENTER LLC,45C0001597,1013392042,CONROE,TX,77304,2018,0,,0,,0,,0,,N/A,5,N/A,5,N/A,5,91.09,,N/A,5,N/A,N/A,N/A,N/A,N/A,5
BLUE BELL ASC LLC DBA JEFFERSON SURGERY CENTER BLUE BELL,39C0001345,1013412287,BLUE BELL,PA,19422,2018,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,100,,0,,N/A,N/A,N/A,N/A,N/A,5
REX SURGERY CENTER OF WAKEFIELD LLC,34C0001201,1013425933,RALEIGH,NC,27612,2018,0,,0,,0,,0,,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
VENTANA SURGICAL CENTER LLC,05C0002196,1013438563,ADDISON,CA,91356,2018,N/A,1,N/A,1,N/A,1,N/A,1,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
ENDOSCOPY CENTER OF NORTH CAROLINA,34C0001034,1013463157,ASHEVILLE,NC,28801,2018,0,,0,,0,,0,,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,594,No Different than the National Rate,12.3,9,16.7,
CAMARILLO ENDOSCOPY CENTER LLC,05C0002164,1013463991,CAMARILLO,CA,93012,2018,0,,0,,0,,0,,90.67,,85.78,,N/A,5,N/A,5,N/A,5,438,No Different than the National Rate,12,8.9,16.2,
ROANOKE AMBULATORY SURGERY CENTER,49C0001030,1013914985,ROANOKE,VA,24016,2018,0,,0,,0,,2.463,,N/A,5,N/A,5,N/A,5,95.25,,N/A,5,N/A,N/A,N/A,N/A,N/A,5
BLOOMFIELD SURGI CENTER LLC DBA AMBULATORY CENTER OF EXCELLENCE IN SURGERY,31C0001195,1013921964,BLOOMFIELD,NJ,7003,2018,0,,0,,0,,2.151,,N/A,5,N/A,5,N/A,5,100,,N/A,5,N/A,N/A,N/A,N/A,N/A,5
SOUTH ALABAMA OUTPATIENT SERVICES,01C0001037,1013924133,ENTERPRISE,AL,36330,2018,0,,0,,0,,0,,97.44,,81.82,,N/A,5,98.8,,0.68,,116,No Different than the National Rate,12.1,8.7,17.1,
MIAMI LAKES SURGERY CENTER LTD,10C0001487,1013947159,MIAMI LAKES,FL,33014,2018,0,,0,,0,,0,,100,,100,,N/A,5,0,,2.48,,117,No Different than the National Rate,12.7,9.3,17.4,
BRISTOL SURGERY CENTER LLC,44C0001006,1013964063,BRISTOL,TN,37620,2018,0,,0,,0,,0,,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
CLEVELAND CENTER FOR DIGESTIVE,36C0001034,1013967025,BEACHWOOD,OH,44122,2018,0,,0,,0,,1.951,,26.15,,52.47,,N/A,5,N/A,5,N/A,5,1450,No Different than the National Rate,12.3,9.5,15.8,
OWENSBORO AMBULATORY SURGICAL FACILITY LTD,18C0001006,1013973825,OWENSBORO,KY,42303,2018,0,,0.407,,0,,1.627,,98.96,,100,,N/A,5,100,,0.27,,1049,No Different than the National Rate,12,8.9,15.8,
AIRPORT ENDOSCOPY CENTER,05C0001514,1013980317,LOS ANGELES,CA,90045,2018,0,,0,,0,,0,,100,,100,,N/A,5,N/A,5,N/A,5,365,No Different than the National Rate,12.6,9.1,17.5,
MAYFAIR DIGESTIVE HEALTH CENTER LLC,52C0001053,1013984657,WAUWATOSA,WI,53226,2018,1.524,,0,,0,,0,,52.72,,75.76,,N/A,5,N/A,5,N/A,5,1129,No Different than the National Rate,12.4,9.4,16.6,
POPP COSMETIC SURGERY PC,28C0001029,1013984665,OMAHA,NE,68164,2018,0,,0,,0,,0,,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
AUGUSTA PLASTIC SURGERY CENTER INC,11C0001090,1013990308,AUGUSTA,GA,30901,2018,0,,0,,0,,0,,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
EYE SURGERY CENTER OF EAST TENNESSEE,44C0001064,1013997915,KNOXVILLE,TN,37909,2018,0,,0,,0,,0,,N/A,5,N/A,5,N/A,5,N/A,5,0.18,,N/A,N/A,N/A,N/A,N/A,5
BLOOMINGTON SURGERY CENTER,15C0001024,1013999580,BLOOMINGTON,IN,47403,2018,0,,0,,0,,0,,N/A,5,N/A,5,100,,N/A,5,0.03,,N/A,N/A,N/A,N/A,N/A,5
SOUTHERN ILLINOIS ORTHOPEDIC CENTERLLC,14C0001086,1023001377,HERRIN,IL,62948,2018,0,,0,,0,,0,,N/A,5,N/A,5,N/A,5,96.89,,N/A,5,N/A,N/A,N/A,N/A,N/A,5
ROANOKE VALLEY CENTER FOR SIGHT LLC,49C0001021,1023005139,SALEM,VA,24153,2018,0.59,,0,,0,,0.148,,N/A,5,N/A,5,N/A,5,100,,0.34,,N/A,N/A,N/A,N/A,N/A,5
THE GABLES SURGICAL CENTER,10C0001322,1023005600,MIAMI,FL,33134,2018,0,,0,,0,,0,,N/A,5,N/A,5,N/A,5,100,,N/A,5,N/A,N/A,N/A,N/A,N/A,5
THE ENDOSCOPY CENTER LLC,39C0001152,1023006079,LANSDALE,PA,19446,2018,0,,0,,0,,0,,94.79,,89.58,,N/A,5,N/A,5,N/A,5,2107,No Different than the National Rate,14.5,11.3,18.7,
BLUE RIDGE SURGICAL CENTER LLC,26C0001072,1023010311,KANSAS CITY,MO,64133,2018,0,,0,,0,,0,,N/A,5,N/A,5,N/A,5,N/A,5,2.66,,N/A,N/A,N/A,N/A,N/A,5
TUCSON GASTROENTEROLOGY INSTITUTE LLC,03C0001240,1023015989,TUCSON,AZ,85712,2018,0,,0,,0,,0,,88.46,,94.86,,N/A,5,N/A,5,N/A,5,2593,No Different than the National Rate,10.8,8.4,13.7,
BAYSIDE AMBULATORY CENTER LLC,10C0001415,1023036688,MIAMI,FL,33133,2018,0,,0,,0,,0,,76.04,,59.38,,N/A,5,0,,1.32,,735,No Different than the National Rate,11.2,8.4,14.9,
CAPE SURGERY CENTER LLC,44C0001157,1023039195,DYERSBURG,TN,38024,2018,0,,0,,0,,0,,N/A,5,N/A,5,N/A,5,N/A,5,0.16,,N/A,N/A,N/A,N/A,N/A,5
BEVERLY HILLS ENDOSCOPY LLC,05C0001708,1023039682,BEVERLY HILLS,CA,90211,2018,0,,0,,0,,0,,100,,100,,N/A,5,N/A,5,N/A,5,431,No Different than the National Rate,11.7,8.7,16.1,
AESTHETIC EYE ASSOCIATES PS,50C0001089,1023043445,KIRKLAND,WA,98033,2018,0,,0,,0,,0,,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
INSTITUTO DE OJOS Y PIEL INC,40C0001012,1023052685,SAN JUAN,PR,919,2018,0,,0,,0,,0,,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
ZION AMBULATORY CENTER LLC,21C0001426,1023055001,BALTIMORE,MD,21237,2018,0,,0,,0,,0,,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
GAILEY EYE SURGERY DECATUR LLC,14C0001130,1023056090,DECATUR,IL,62526,2018,0,,0,,0,,0,,N/A,5,N/A,5,N/A,5,N/A,5,0.38,,N/A,N/A,N/A,N/A,N/A,5
PHYSICIANS DAY SURGERY CENTER,04C0001010,1023057916,PINE BLUFF,AR,71603,2018,0,,0,,0,,0,,N/A,5,N/A,5,N/A,5,N/A,5,0.36,,N/A,N/A,N/A,N/A,N/A,5
TOMS RIVER SURGERY CENTER,31C0001153,1023070026,TOMS RIVER,NJ,8753,2018,0,,0,,0,,0,,48.21,,26.83,,N/A,5,95.2,,N/A,5,232,No Different than the National Rate,11.9,8.5,16.4,
SAHARA OUTPATIENT SURGERY CENTER LTD,29C0001022,1023071180,LAS VEGAS,NV,89102,2018,0,,0,,0,,0,,N/A,5,N/A,5,N/A,5,0,,N/A,5,N/A,N/A,N/A,N/A,N/A,5
MEDICAL PLAZA AMBULATORY SURGERY CENTER ASSOCIATES LP,45C0001157,1023071560,FORT WORTH,TX,76104,2018,0,,0,,0,,0,,68.75,,61.46,,N/A,5,0,,0.47,,710,No Different than the National Rate,11.6,8.6,15.7,
SOUTH JERSEY EYE PHYSICIANS PA,31C0001069,1023072824,MOORESTOWN,NJ,8057,2018,0,,0,,0,,0,,N/A,5,N/A,5,N/A,5,N/A,5,0.36,,N/A,N/A,N/A,N/A,N/A,5
ARIZONA EYE INSTITUTE AND COSMETIC LASER CENTER,03C0001261,1023074291,SUN CITY WEST,AZ,85375,2018,0,,0,,0,,0,,N/A,5,N/A,5,N/A,5,100,,0,,N/A,N/A,N/A,N/A,N/A,5
WEB PROPERTIES INC,27C0001007,1023079860,BILLINGS,MT,59101,2018,0,,0,,0,,0,,N/A,5,N/A,5,N/A,5,N/A,5,0,,N/A,N/A,N/A,N/A,N/A,5
PANAMA CITY SURGERY CENTER LLC,10C0001407,1023088473,PANAMA CITY,FL,32405,2018,0,,0,,0,,0.294,,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,781,No Different than the National Rate,12.2,9.1,16.2,
