"Facility ID","Facility Name","Address","City","State","ZIP Code","County","Telephone","Patients who reported that staff definitely gave care in a professional way and the facility was clean","Patients who reported that staff somewhat gave care in a professional way or the facility was somewhat clean","Patients who reported that staff did not give care in a professional way or the facility was not clean","Facilities and staff linear mean score","Patients who reported that staff definitely communicated about what to expect during and after the procedure","Patients who reported that staff somewhat communicated about what to expect during and after the procedure","Patients who reported that staff did not communicate about what to expect during and after the procedure","Communication about your procedure linear mean score","Patients who gave the facility a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest)","Patients who gave the facility a rating of 7 or 8 on a scale from 0 (lowest) to 10 (highest)","Patients who gave the facility a rating of 0 to 6 on a scale from 0 (lowest) to 10 (highest)","Patients’ rating of the facility linear mean score","Patients who reported YES they would DEFINITELY recommend the facility to family or friends.","Patients who reported PROBABLY YES they would recommend the facility to family or friends.","Patients who reported NO, they would not recommend the facility to family or friends.","Patients recommending the facility linear mean score","Footnote","Number of Sampled Patients","Number of Completed Surveys","Survey Response Rate Percent","Start Date","End Date"
020026,ALASKA NATIVE MEDICAL CENTER,4315 DIPLOMACY DR,ANCHORAGE,AK,99508,ANCHORAGE,(907) 729-3971,,,,,,,,,,,,,,,,,4,,,,,
021306,PROVIDENCE KODIAK ISLAND MEDICAL CTR,1915 EAST REZANOF DRIVE,KODIAK,AK,99615,KODIAK ISLAND BOROUGH,(907) 486-9592,97,3,0,98,94,5,1,96,87,12,1,95,87,12,1,95,,449,123,27,10/01/2018,09/30/2019
030007,VERDE VALLEY MEDICAL CENTER,269 SOUTH CANDY LANE,COTTONWOOD,AZ,86326,YAVAPAI,(928) 773-2357,98,2,0,99,93,6,1,96,83,14,3,93,80,17,3,92,,1974,702,36,10/01/2018,09/30/2019
030012,YAVAPAI REGIONAL MEDICAL CENTER,1003 WILLOW CREEK ROAD,PRESCOTT,AZ,86301,YAVAPAI,(928) 445-2700,,,,,,,,,,,,,,,,,4,,,,,
030013,YUMA REGIONAL MEDICAL CENTER,2400 SOUTH AVENUE A,YUMA,AZ,85364,YUMA,(928) 336-7600,97,3,0,99,90,8,2,94,84,13,3,93,79,18,3,91,,1451,327,23,10/01/2018,09/30/2019
030023,FLAGSTAFF MEDICAL CENTER,1200 NORTH BEAVER STREET,FLAGSTAFF,AZ,86001,COCONINO,(928) 779-3366,96,4,0,98,92,7,1,96,87,11,2,95,84,14,2,94,,2094,574,28,10/01/2018,09/30/2019
030062,SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER,2200 EAST SHOW LOW LAKE ROAD,SHOW LOW,AZ,85901,NAVAJO,(928) 537-6399,98,2,0,99,93,6,1,96,85,14,1,94,77,21,2,91,2,863,206,26,10/01/2018,09/30/2019
030108,"CORE INSTITUTE SPECIALTY HOSPITAL, THE",6501 NORTH 19TH AVENUE,PHOENIX,AZ,85015,MARICOPA,(602) 795-6020,96,4,0,98,91,7,2,94,82,15,3,93,77,21,2,91,,576,188,33,10/01/2018,09/30/2019
030112,ARIZONA ORTHOPEDIC AND SURGICAL SPECIALTY HOSPITAL,"2905 WEST WARNER ROAD, SUITE 1",CHANDLER,AZ,85224,MARICOPA,(480) 603-9000,98,2,0,99,91,7,2,94,93,5,2,96,93,5,2,97,,818,251,31,10/01/2018,09/30/2019
030131,O.A.S.I.S. HOSPITAL,750 NORTH 40TH STREET,PHOENIX,AZ,85008,MARICOPA,(602) 797-7700,98,2,0,99,91,8,1,95,94,5,1,97,92,6,2,97,,885,376,42,10/01/2018,09/30/2019
030137,SANTA CRUZ VALLEY REGIONAL HOSPITAL,4455 SOUTH I-19 FRONTAGE ROAD,GREEN VALLEY,AZ,85614,PIMA,(520) 393-4700,96,3,1,98,86,11,3,92,84,14,2,93,78,18,4,90,,430,207,48,10/01/2018,09/30/2019
030138,WESTERN REGIONAL MEDICAL CENTER,14200 WEST CELEBRATE LIFE WAY,GOODYEAR,AZ,85338,MARICOPA,(623) 207-3518,,,,,,,,,,,,,,,,,4,,,,,
031300,WICKENBURG COMMUNITY HOSPITAL,520 ROSE LANE,WICKENBURG,AZ,85390,MARICOPA,(928) 684-5421,,,,,,,,,,,,,,,,,4,,,,,
040002,JOHNSON REGIONAL MEDICAL CENTER,1100 EAST POPLAR STREET,CLARKSVILLE,AR,72830,JOHNSON,(479) 754-5454,97,2,1,98,93,5,2,95,84,13,3,93,80,19,1,93,,1492,356,24,10/01/2018,09/30/2019
040014,WHITE COUNTY MEDICAL CENTER,3214 EAST RACE AVENUE,SEARCY,AR,72143,WHITE,(501) 278-3100,96,3,1,98,92,6,2,95,85,14,1,94,81,17,2,93,,1358,344,26,10/01/2018,09/30/2019
040016,UAMS MEDICAL CENTER,4301 WEST MARKHAM STREET MAIL SLOT 612,LITTLE ROCK,AR,72205,PULASKI,(501) 686-5000,97,3,0,98,89,9,2,94,82,15,3,93,82,13,5,91,,1721,382,22,10/01/2018,09/30/2019
040017,NORTH ARKANSAS REGIONAL MEDICAL CENTER,620 NORTH MAIN STREET,HARRISON,AR,72601,BOONE,(870) 414-4000,96,4,0,98,90,8,2,94,74,22,4,90,67,30,3,88,,1310,399,30,10/01/2018,09/30/2019
040039,ARKANSAS METHODIST MEDICAL CENTER,900 WEST KINGSHIGHWAY,PARAGOULD,AR,72450,GREENE,(870) 239-7000,,,,,,,,,,,,,,,,,4,,,,,
040051,DREW MEMORIAL HOSPITAL,778 SCOGIN DRIVE,MONTICELLO,AR,71655,DREW,(870) 367-2411,,,,,,,,,,,,,,,,,4,,,,,
040069,GREAT RIVER MEDICAL CENTER,1520 N DIVISION STREET,BLYTHEVILLE,AR,72315,MISSISSIPPI,(870) 838-7300,94,5,1,97,86,11,3,91,73,23,4,91,67,30,3,88,,718,142,20,10/01/2018,09/30/2019
040071,JEFFERSON REGIONAL MEDICAL CENTER,1600 WEST 40TH AVENUE,PINE BLUFF,AR,71603,JEFFERSON,(870) 541-7100,95,4,1,97,86,11,3,91,74,21,5,91,73,25,2,90,,2520,547,22,10/01/2018,09/30/2019
040118,"BAPTIST MEMORIAL HOSPITAL JONESBORO, INC.",4800 EAST JOHNSON AVENUE,JONESBORO,AR,72401,CRAIGHEAD,(870) 972-7000,96,3,1,98,89,8,3,93,86,11,3,94,86,12,2,94,,2063,517,25,10/01/2018,09/30/2019
040134,"ARKANSAS HEART HOSPITAL, LLC",1701 S SHACKLEFORD ROAD,LITTLE ROCK,AR,72211,PULASKI,(501) 219-7000,97,3,0,98,88,9,3,93,88,10,2,95,90,7,3,95,,2282,803,35,10/01/2018,09/30/2019
040156,"BAPTIST MEMORIAL HOSPITAL-CRITTENDEN, INC",2100 NORTH SEVENTH STREET,WEST MEMPHIS,AR,72301,CRITTENDEN,(870) 394-7800,,,,,,,,,,,,,,,,,4,,,,,
041313,OZARK HEALTH,2500 HIGHWAY 65 SOUTH,CLINTON,AR,72031,VAN BUREN,(501) 745-7000,,,,,,,,,,,,,,,,,4,,,,,
041328,CHICOT MEMORIAL MEDICAL CENTER,2729 SOUTH HIGHWAY 65 & 82,LAKE VILLAGE,AR,71653,CHICOT,(870) 265-5351,97,3,0,98,93,6,1,96,90,8,2,95,80,20,0,93,3,263,61,23,10/01/2018,09/30/2019
050006,ST JOSEPH HOSPITAL,2700 DOLBEER ST,EUREKA,CA,95501,HUMBOLDT,(707) 445-8121,97,3,0,98,89,9,2,94,77,19,4,91,73,24,3,90,,4326,889,26,10/01/2018,09/30/2019
050009,QUEEN OF THE VALLEY MEDICAL CENTER,1000 TRANCAS ST,NAPA,CA,94558,NAPA,(707) 252-4411,97,3,0,98,90,8,2,94,89,10,1,95,86,13,1,95,,1773,461,28,10/01/2018,09/30/2019
050013,ADVENTIST HEALTH ST HELENA,10 WOODLAND ROAD,SAINT HELENA,CA,94574,NAPA,(707) 963-3611,94,5,1,96,87,10,3,92,81,14,5,92,78,17,5,90,,1049,253,24,10/01/2018,09/30/2019
050039,ENLOE MEDICAL CENTER,1531 ESPLANADE,CHICO,CA,95926,BUTTE,(530) 332-7300,97,2,1,98,88,8,4,92,82,16,2,94,90,10,0,97,,2963,390,16,10/01/2018,09/30/2019
050045,EL CENTRO REGIONAL MEDICAL CENTER,1415 ROSS AVENUE,EL CENTRO,CA,92243,IMPERIAL,(760) 339-7100,,,,,,,,,,,,,,,,,4,,,,,
050054,SAN GORGONIO MEMORIAL HOSPITAL,600 NORTH HIGHLAND SPRINGS AVENUE,BANNING,CA,92220,RIVERSIDE,(951) 845-1121,96,3,1,98,87,10,3,92,78,18,4,92,72,24,4,89,,862,196,23,10/01/2018,09/30/2019
050057,KAWEAH DELTA MEDICAL CENTER,400 W MINERAL KING AVE,VISALIA,CA,93291,TULARE,(559) 624-2000,,,,,,,,,,,,,,,,,4,,,,,
050063,HOLLYWOOD PRESBYTERIAN MEDICAL CENTER,1300 N VERMONT AVE,LOS ANGELES,CA,90027,LOS ANGELES,(213) 413-3000,92,7,1,95,83,13,4,90,71,23,6,89,70,24,6,87,,2542,446,18,10/01/2018,09/30/2019
050069,ST JOSEPH HOSPITAL,1100 WEST STEWART DR,ORANGE,CA,92868,ORANGE,(714) 633-9111,96,4,0,98,87,10,3,92,87,10,3,94,89,9,2,95,,1739,418,30,10/01/2018,09/30/2019
050070,KAISER FOUNDATION HOSPITAL - SOUTH SAN FRANCISCO,1200 EL CAMINO REAL,SOUTH SAN FRANCISCO,CA,94080,SAN MATEO,(650) 742-3200,96,4,0,98,94,5,1,96,83,15,2,93,81,16,3,92,,2372,782,33,10/01/2018,09/30/2019
050071,KAISER FOUNDATION HOSPITAL-SANTA CLARA,700 LAWRENCE EXPRESSWAY,SANTA CLARA,CA,95051,SANTA CLARA,(408) 236-6400,97,3,0,98,92,7,1,95,89,9,2,95,88,11,1,95,,2290,787,34,10/01/2018,09/30/2019
050072,KAISER FOUNDATION HOSPITAL - WALNUT CREEK,1425 S MAIN STREET,WALNUT CREEK,CA,94596,CONTRA COSTA,(925) 295-4000,95,4,1,97,91,7,2,94,84,14,2,93,85,13,2,94,,3977,1358,34,10/01/2018,09/30/2019
050073,KAISER FOUNDATION HOSPITAL AND REHAB CENTER,975 SERENO DR,VALLEJO,CA,94589,SOLANO,(707) 651-1000,96,3,1,98,92,7,1,95,87,12,1,95,87,11,2,95,,2321,752,32,10/01/2018,09/30/2019
050075,KAISER FOUNDATION HOSPITAL - OAKLAND/RICHMOND,275 WEST MACARTHUR BOULEVARD,OAKLAND,CA,94611,ALAMEDA,(510) 752-1000,96,4,0,98,90,8,2,94,82,15,3,93,80,17,3,92,,7816,2307,30,10/01/2018,09/30/2019
050076,KAISER FOUNDATION HOSPITAL - SAN FRANCISCO,2425 GEARY BLVD,SAN FRANCISCO,CA,94115,SAN FRANCISCO,(415) 833-2646,97,3,0,98,92,7,1,96,83,15,2,93,83,15,2,94,,2521,764,31,10/01/2018,09/30/2019
050077,SCRIPPS MERCY HOSPITAL,4077 5TH AVE,SAN DIEGO,CA,92103,SAN DIEGO,(619) 294-8111,96,3,1,97,89,8,3,93,81,15,4,92,79,17,4,91,,2864,713,25,10/01/2018,09/30/2019
050078,PROVIDENCE LITTLE CO OF MARY MED CTR SAN PEDRO,1300 W 7TH ST,SAN PEDRO,CA,90732,LOS ANGELES,(310) 832-3311,95,4,1,97,87,10,3,92,83,12,5,93,79,17,4,91,,1622,410,25,10/01/2018,09/30/2019
050090,SONOMA VALLEY HOSPITAL,347 ANDRIEUX ST,SONOMA,CA,95476,SONOMA,(707) 935-5000,96,3,1,97,88,9,3,92,80,16,4,91,79,18,3,91,,1615,481,30,10/01/2018,09/30/2019
050104,SAINT FRANCIS MEDICAL CENTER,3630 EAST IMPERIAL HIGHWAY,LYNWOOD,CA,90262,LOS ANGELES,(310) 900-8900,91,7,2,95,85,11,4,91,75,18,7,91,69,25,6,87,,1967,367,19,10/01/2018,09/30/2019
050112,SANTA MONICA - UCLA MED CTR & ORTHOPAEDIC HOSPITAL,1250 16TH STREET,SANTA MONICA,CA,90404,LOS ANGELES,(310) 319-4000,97,2,1,98,92,6,2,95,87,10,3,95,85,11,4,93,,835,225,27,10/01/2018,09/30/2019
050122,DAMERON HOSPITAL,525 WEST ACACIA STREET,STOCKTON,CA,95203,SAN JOAQUIN,(209) 944-5550,95,4,1,97,86,11,3,92,82,13,5,92,78,17,5,90,,2658,635,24,10/01/2018,09/30/2019
050126,VALLEY PRESBYTERIAN HOSPITAL,15107 VANOWEN ST,VAN NUYS,CA,91406,LOS ANGELES,(818) 782-6600,93,7,0,96,84,11,5,89,85,11,4,93,84,15,1,94,,1293,285,23,10/01/2018,09/30/2019
050132,SAN GABRIEL VALLEY MEDICAL CENTER,438 W LAS TUNAS DRIVE,SAN GABRIEL,CA,91776,LOS ANGELES,(626) 289-5454,94,5,1,97,87,8,5,91,77,19,4,92,84,11,5,93,,2714,250,11,10/01/2018,09/30/2019
050133,ADVENTIST HEALTH AND RIDEOUT,726 4TH ST,MARYSVILLE,CA,95901,YUBA,(530) 749-4300,94,6,0,97,88,10,2,93,72,21,7,89,63,32,5,85,,1786,358,20,10/01/2018,09/30/2019
050137,KAISER FOUNDATION HOSPITAL - PANORAMA CITY,13652 CANTARA ST,PANORAMA CITY,CA,91402,LOS ANGELES,(818) 375-3333,96,4,0,98,91,7,2,95,86,13,1,94,85,12,3,93,,2104,636,30,10/01/2018,09/30/2019
050138,KAISER FOUNDATION HOSPITAL - LOS ANGELES,4867 SUNSET BLVD,LOS ANGELES,CA,90027,LOS ANGELES,(323) 783-4011,96,4,0,98,91,7,2,95,85,13,2,94,85,13,2,94,,6957,2186,31,10/01/2018,09/30/2019
050139,KAISER FOUNDATION HOSPITAL - DOWNEY,9333 IMPERIAL HIGHWAY,DOWNEY,CA,90242,LOS ANGELES,(562) 461-6007,96,4,0,98,92,7,1,96,88,10,2,95,85,12,3,94,,5183,1453,28,10/01/2018,09/30/2019
050140,KAISER FOUNDATION HOSPITAL FONTANA,9961 SIERRA AVE,FONTANA,CA,92335,SAN BERNARDINO,(909) 427-5500,96,3,1,98,92,7,1,95,88,10,2,95,86,12,2,95,,8564,2573,30,10/01/2018,09/30/2019
050168,ST JUDE MEDICAL CENTER,101 E VALENCIA MESA DRIVE,FULLERTON,CA,92835,ORANGE,(714) 992-3000,97,3,0,98,91,7,2,94,90,9,1,96,90,9,1,96,,3291,965,31,10/01/2018,09/30/2019
050174,SANTA ROSA MEMORIAL HOSPITAL,1165 MONTGOMERY DR,SANTA ROSA,CA,95405,SONOMA,(707) 525-5300,97,3,0,98,89,9,2,93,83,14,3,93,83,15,2,93,,5794,1450,30,10/01/2018,09/30/2019
050180,JOHN MUIR MEDICAL CENTER - WALNUT CREEK CAMPUS,1601 YGNACIO VALLEY RD,WALNUT CREEK,CA,94598,CONTRA COSTA,(925) 939-3000,94,5,1,96,81,14,5,88,83,10,7,92,81,14,5,91,,475,156,33,10/01/2018,09/30/2019
050189,GEORGE L MEE MEMORIAL HOSPITAL,300 CANAL STREET,KING CITY,CA,93930,MONTEREY,(831) 385-6000,96,3,1,98,91,7,2,95,86,11,3,95,75,25,0,93,3,235,26,11,10/01/2018,09/30/2019
050204,PALMDALE REGIONAL MEDICAL CENTER,38600 MEDICAL CENTER DRIVE,PALMDALE,CA,93552,LOS ANGELES,(661) 382-5000,93,5,2,96,84,12,4,90,79,15,6,91,78,18,4,91,,996,255,26,10/01/2018,09/30/2019
050224,HOAG MEMORIAL HOSPITAL PRESBYTERIAN,ONE HOAG DRIVE,NEWPORT BEACH,CA,92663,ORANGE,(949) 764-4624,97,3,0,98,91,7,2,94,90,9,1,96,91,8,1,97,,3481,950,30,10/01/2018,09/30/2019
050226,AHMC ANAHEIM REGIONAL MEDICAL CENTER,1111 W LA PALMA AVENUE,ANAHEIM,CA,92801,ORANGE,(714) 774-1450,95,4,1,97,86,10,4,91,81,16,3,93,82,15,3,93,,1545,256,18,10/01/2018,09/30/2019
050235,PROVIDENCE SAINT JOSEPH MEDICAL CTR,501 SOUTH BUENA VISTA STREET,BURBANK,CA,91505,LOS ANGELES,(818) 843-5111,95,4,1,97,86,10,4,91,84,13,3,93,82,15,3,93,,3086,754,24,10/01/2018,09/30/2019
050238,METHODIST HOSPITAL OF SOUTHERN CA,300 W HUNTINGTON DR,ARCADIA,CA,91006,LOS ANGELES,(626) 445-4441,95,4,1,97,86,10,4,91,82,15,3,93,84,12,4,93,,1355,299,23,10/01/2018,09/30/2019
050245,ARROWHEAD REGIONAL MEDICAL CENTER,400 NORTH PEPPER AVENUE,COLTON,CA,92324,SAN BERNARDINO,(909) 580-1000,94,5,1,96,87,11,2,93,76,20,4,91,72,25,3,89,,2426,345,14,10/01/2018,09/30/2019
050261,SIERRA VIEW MEDICAL CENTER,465 W PUTNAM AVE,PORTERVILLE,CA,93257,TULARE,(559) 784-1110,93,5,2,96,86,10,4,91,79,17,4,92,79,17,4,92,,2439,504,22,10/01/2018,09/30/2019
050262,RONALD REAGAN U C L A MEDICAL CENTER,757 WESTWOOD PLAZA,LOS ANGELES,CA,90095,LOS ANGELES,(310) 825-6301,96,4,0,98,91,7,2,95,90,9,1,95,89,10,1,96,,1473,338,23,10/01/2018,09/30/2019
050276,CONTRA COSTA REGIONAL MEDICAL CENTER,2500 ALHAMBRA AVENUE,MARTINEZ,CA,94553,CONTRA COSTA,(925) 370-5000,94,5,1,96,89,9,2,93,84,11,5,93,80,13,7,90,,1584,344,22,10/01/2018,09/30/2019
050278,PROVIDENCE HOLY CROSS MEDICAL CENTER,15031 RINALDI ST,MISSION HILLS,CA,91346,LOS ANGELES,(818) 365-8051,95,4,1,97,86,11,3,91,84,12,4,93,84,14,2,93,,2970,720,24,10/01/2018,09/30/2019
050281,ALHAMBRA HOSPITAL MEDICAL CENTER,100 S RAYMOND AVE,ALHAMBRA,CA,91801,LOS ANGELES,(626) 570-1606,97,3,0,99,90,6,4,93,86,10,4,94,90,9,1,97,,2117,147,10,10/01/2018,09/30/2019
