"State","Measure ID","Measure Name","Score","Footnote","Start Date","End Date"
DC,OP_8,MRI Lumbar Spine for Low Back Pain,42.2,,07/01/2017,06/30/2018
DC,OP_9,Mammography Follow-up Rates,7.8,,07/01/2017,06/30/2018
DE,OP_10,Abdomen CT Use of Contrast Material,3.8,,07/01/2017,06/30/2018
DE,OP_11,Thorax CT Use of Contrast Material,0.3,,07/01/2017,06/30/2018
DE,OP_13,Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery,4.2,,07/01/2017,06/30/2018
DE,OP_14,Outpatients with brain CT scans who got a sinus CT scan at the same time,0.8,,07/01/2017,06/30/2018
DE,OP_8,MRI Lumbar Spine for Low Back Pain,35.2,,07/01/2017,06/30/2018
DE,OP_9,Mammography Follow-up Rates,6.1,,07/01/2017,06/30/2018
FL,OP_10,Abdomen CT Use of Contrast Material,5.8,,07/01/2017,06/30/2018
FL,OP_11,Thorax CT Use of Contrast Material,1.2,,07/01/2017,06/30/2018
FL,OP_13,Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery,5.7,,07/01/2017,06/30/2018
FL,OP_14,Outpatients with brain CT scans who got a sinus CT scan at the same time,1.2,,07/01/2017,06/30/2018
FL,OP_8,MRI Lumbar Spine for Low Back Pain,40,,07/01/2017,06/30/2018
FL,OP_9,Mammography Follow-up Rates,11.6,,07/01/2017,06/30/2018
GA,OP_10,Abdomen CT Use of Contrast Material,7.1,,07/01/2017,06/30/2018
GA,OP_11,Thorax CT Use of Contrast Material,1.4,,07/01/2017,06/30/2018
GA,OP_13,Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery,4.9,,07/01/2017,06/30/2018
GA,OP_14,Outpatients with brain CT scans who got a sinus CT scan at the same time,1,,07/01/2017,06/30/2018
GA,OP_8,MRI Lumbar Spine for Low Back Pain,39.3,,07/01/2017,06/30/2018
GA,OP_9,Mammography Follow-up Rates,8.2,,07/01/2017,06/30/2018
GU,OP_10,Abdomen CT Use of Contrast Material,Not Available,5,07/01/2017,06/30/2018
GU,OP_11,Thorax CT Use of Contrast Material,Not Available,5,07/01/2017,06/30/2018
GU,OP_13,Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery,Not Available,5,07/01/2017,06/30/2018
GU,OP_14,Outpatients with brain CT scans who got a sinus CT scan at the same time,Not Available,5,07/01/2017,06/30/2018
GU,OP_8,MRI Lumbar Spine for Low Back Pain,Not Available,5,07/01/2017,06/30/2018
GU,OP_9,Mammography Follow-up Rates,Not Available,5,07/01/2017,06/30/2018
HI,OP_10,Abdomen CT Use of Contrast Material,5,,07/01/2017,06/30/2018
HI,OP_11,Thorax CT Use of Contrast Material,0.3,,07/01/2017,06/30/2018
HI,OP_13,Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery,3.6,,07/01/2017,06/30/2018
HI,OP_14,Outpatients with brain CT scans who got a sinus CT scan at the same time,0.7,,07/01/2017,06/30/2018
HI,OP_8,MRI Lumbar Spine for Low Back Pain,37.7,,07/01/2017,06/30/2018
HI,OP_9,Mammography Follow-up Rates,8.6,,07/01/2017,06/30/2018
IA,OP_10,Abdomen CT Use of Contrast Material,5.8,,07/01/2017,06/30/2018
IA,OP_11,Thorax CT Use of Contrast Material,1.7,,07/01/2017,06/30/2018
IA,OP_13,Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery,4.2,,07/01/2017,06/30/2018
IA,OP_14,Outpatients with brain CT scans who got a sinus CT scan at the same time,0.9,,07/01/2017,06/30/2018
IA,OP_8,MRI Lumbar Spine for Low Back Pain,31.7,,07/01/2017,06/30/2018
IA,OP_9,Mammography Follow-up Rates,7,,07/01/2017,06/30/2018
ID,OP_10,Abdomen CT Use of Contrast Material,6.2,,07/01/2017,06/30/2018
ID,OP_11,Thorax CT Use of Contrast Material,1,,07/01/2017,06/30/2018
ID,OP_13,Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery,4.2,,07/01/2017,06/30/2018
ID,OP_14,Outpatients with brain CT scans who got a sinus CT scan at the same time,0.9,,07/01/2017,06/30/2018
ID,OP_8,MRI Lumbar Spine for Low Back Pain,40,,07/01/2017,06/30/2018
ID,OP_9,Mammography Follow-up Rates,7,,07/01/2017,06/30/2018
IL,OP_10,Abdomen CT Use of Contrast Material,6.7,,07/01/2017,06/30/2018
IL,OP_11,Thorax CT Use of Contrast Material,1.3,,07/01/2017,06/30/2018
IL,OP_13,Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery,4.9,,07/01/2017,06/30/2018
IL,OP_14,Outpatients with brain CT scans who got a sinus CT scan at the same time,1.2,,07/01/2017,06/30/2018
IL,OP_8,MRI Lumbar Spine for Low Back Pain,38.4,,07/01/2017,06/30/2018
IL,OP_9,Mammography Follow-up Rates,8.7,,07/01/2017,06/30/2018
IN,OP_10,Abdomen CT Use of Contrast Material,5.9,,07/01/2017,06/30/2018
IN,OP_11,Thorax CT Use of Contrast Material,1.7,,07/01/2017,06/30/2018
IN,OP_13,Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery,4.4,,07/01/2017,06/30/2018
IN,OP_14,Outpatients with brain CT scans who got a sinus CT scan at the same time,1.2,,07/01/2017,06/30/2018
IN,OP_8,MRI Lumbar Spine for Low Back Pain,39.4,,07/01/2017,06/30/2018
IN,OP_9,Mammography Follow-up Rates,7.9,,07/01/2017,06/30/2018
KS,OP_10,Abdomen CT Use of Contrast Material,10.9,,07/01/2017,06/30/2018
KS,OP_11,Thorax CT Use of Contrast Material,2.8,,07/01/2017,06/30/2018
KS,OP_13,Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery,4.4,,07/01/2017,06/30/2018
KS,OP_14,Outpatients with brain CT scans who got a sinus CT scan at the same time,1.3,,07/01/2017,06/30/2018
KS,OP_8,MRI Lumbar Spine for Low Back Pain,38.3,,07/01/2017,06/30/2018
KS,OP_9,Mammography Follow-up Rates,8.2,,07/01/2017,06/30/2018
KY,OP_10,Abdomen CT Use of Contrast Material,6.8,,07/01/2017,06/30/2018
KY,OP_11,Thorax CT Use of Contrast Material,2.2,,07/01/2017,06/30/2018
KY,OP_13,Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery,5,,07/01/2017,06/30/2018
KY,OP_14,Outpatients with brain CT scans who got a sinus CT scan at the same time,1.2,,07/01/2017,06/30/2018
KY,OP_8,MRI Lumbar Spine for Low Back Pain,38.5,,07/01/2017,06/30/2018
KY,OP_9,Mammography Follow-up Rates,8,,07/01/2017,06/30/2018
LA,OP_10,Abdomen CT Use of Contrast Material,15.2,,07/01/2017,06/30/2018
LA,OP_11,Thorax CT Use of Contrast Material,3.9,,07/01/2017,06/30/2018
LA,OP_13,Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery,4.7,,07/01/2017,06/30/2018
LA,OP_14,Outpatients with brain CT scans who got a sinus CT scan at the same time,1.3,,07/01/2017,06/30/2018
LA,OP_8,MRI Lumbar Spine for Low Back Pain,42.5,,07/01/2017,06/30/2018
LA,OP_9,Mammography Follow-up Rates,8.3,,07/01/2017,06/30/2018
MA,OP_10,Abdomen CT Use of Contrast Material,5.3,,07/01/2017,06/30/2018
MA,OP_11,Thorax CT Use of Contrast Material,0.4,,07/01/2017,06/30/2018
MA,OP_13,Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery,4.9,,07/01/2017,06/30/2018
MA,OP_14,Outpatients with brain CT scans who got a sinus CT scan at the same time,1,,07/01/2017,06/30/2018
MA,OP_8,MRI Lumbar Spine for Low Back Pain,36.4,,07/01/2017,06/30/2018
MA,OP_9,Mammography Follow-up Rates,8.1,,07/01/2017,06/30/2018
MD,OP_10,Abdomen CT Use of Contrast Material,2.8,,07/01/2017,06/30/2018
MD,OP_11,Thorax CT Use of Contrast Material,0.3,,07/01/2017,06/30/2018
MD,OP_13,Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery,5.8,,07/01/2017,06/30/2018
MD,OP_14,Outpatients with brain CT scans who got a sinus CT scan at the same time,1.9,,07/01/2017,06/30/2018
MD,OP_8,MRI Lumbar Spine for Low Back Pain,40.5,,07/01/2017,06/30/2018
MD,OP_9,Mammography Follow-up Rates,10.5,,07/01/2017,06/30/2018
ME,OP_10,Abdomen CT Use of Contrast Material,4.3,,07/01/2017,06/30/2018
ME,OP_11,Thorax CT Use of Contrast Material,0.4,,07/01/2017,06/30/2018
ME,OP_13,Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery,4,,07/01/2017,06/30/2018
ME,OP_14,Outpatients with brain CT scans who got a sinus CT scan at the same time,0.8,,07/01/2017,06/30/2018
ME,OP_8,MRI Lumbar Spine for Low Back Pain,38.3,,07/01/2017,06/30/2018
ME,OP_9,Mammography Follow-up Rates,6.8,,07/01/2017,06/30/2018
MI,OP_10,Abdomen CT Use of Contrast Material,7.2,,07/01/2017,06/30/2018
MI,OP_11,Thorax CT Use of Contrast Material,2.2,,07/01/2017,06/30/2018
MI,OP_13,Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery,4.6,,07/01/2017,06/30/2018
MI,OP_14,Outpatients with brain CT scans who got a sinus CT scan at the same time,1.1,,07/01/2017,06/30/2018
MI,OP_8,MRI Lumbar Spine for Low Back Pain,37.1,,07/01/2017,06/30/2018
MI,OP_9,Mammography Follow-up Rates,7.8,,07/01/2017,06/30/2018
MN,OP_10,Abdomen CT Use of Contrast Material,3.6,,07/01/2017,06/30/2018
MN,OP_11,Thorax CT Use of Contrast Material,0.4,,07/01/2017,06/30/2018
MN,OP_13,Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery,6,,07/01/2017,06/30/2018
MN,OP_14,Outpatients with brain CT scans who got a sinus CT scan at the same time,1.1,,07/01/2017,06/30/2018
MN,OP_8,MRI Lumbar Spine for Low Back Pain,42,,07/01/2017,06/30/2018
MN,OP_9,Mammography Follow-up Rates,6.8,,07/01/2017,06/30/2018
MO,OP_10,Abdomen CT Use of Contrast Material,5.8,,07/01/2017,06/30/2018
MO,OP_11,Thorax CT Use of Contrast Material,0.7,,07/01/2017,06/30/2018
MO,OP_13,Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery,4.8,,07/01/2017,06/30/2018
MO,OP_14,Outpatients with brain CT scans who got a sinus CT scan at the same time,1.3,,07/01/2017,06/30/2018
MO,OP_8,MRI Lumbar Spine for Low Back Pain,40,,07/01/2017,06/30/2018
MO,OP_9,Mammography Follow-up Rates,7.1,,07/01/2017,06/30/2018
MP,OP_10,Abdomen CT Use of Contrast Material,Not Available,5,07/01/2017,06/30/2018
MP,OP_11,Thorax CT Use of Contrast Material,Not Available,5,07/01/2017,06/30/2018
MP,OP_13,Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery,Not Available,5,07/01/2017,06/30/2018
MP,OP_14,Outpatients with brain CT scans who got a sinus CT scan at the same time,Not Available,5,07/01/2017,06/30/2018
MP,OP_8,MRI Lumbar Spine for Low Back Pain,Not Available,5,07/01/2017,06/30/2018
MP,OP_9,Mammography Follow-up Rates,Not Available,5,07/01/2017,06/30/2018
MS,OP_10,Abdomen CT Use of Contrast Material,8.7,,07/01/2017,06/30/2018
MS,OP_11,Thorax CT Use of Contrast Material,2.4,,07/01/2017,06/30/2018
MS,OP_13,Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery,4.9,,07/01/2017,06/30/2018
MS,OP_14,Outpatients with brain CT scans who got a sinus CT scan at the same time,1.3,,07/01/2017,06/30/2018
MS,OP_8,MRI Lumbar Spine for Low Back Pain,38.5,,07/01/2017,06/30/2018
MS,OP_9,Mammography Follow-up Rates,8.2,,07/01/2017,06/30/2018
MT,OP_10,Abdomen CT Use of Contrast Material,8.6,,07/01/2017,06/30/2018
MT,OP_11,Thorax CT Use of Contrast Material,0.8,,07/01/2017,06/30/2018
MT,OP_13,Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery,4,,07/01/2017,06/30/2018
MT,OP_14,Outpatients with brain CT scans who got a sinus CT scan at the same time,1.4,,07/01/2017,06/30/2018
MT,OP_8,MRI Lumbar Spine for Low Back Pain,39.7,,07/01/2017,06/30/2018
MT,OP_9,Mammography Follow-up Rates,7.2,,07/01/2017,06/30/2018
NC,OP_10,Abdomen CT Use of Contrast Material,4.6,,07/01/2017,06/30/2018
NC,OP_11,Thorax CT Use of Contrast Material,0.9,,07/01/2017,06/30/2018
NC,OP_13,Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery,4.3,,07/01/2017,06/30/2018
NC,OP_14,Outpatients with brain CT scans who got a sinus CT scan at the same time,1,,07/01/2017,06/30/2018
NC,OP_8,MRI Lumbar Spine for Low Back Pain,35.9,,07/01/2017,06/30/2018
NC,OP_9,Mammography Follow-up Rates,7.4,,07/01/2017,06/30/2018
ND,OP_10,Abdomen CT Use of Contrast Material,7.8,,07/01/2017,06/30/2018
ND,OP_11,Thorax CT Use of Contrast Material,0.7,,07/01/2017,06/30/2018
ND,OP_13,Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery,4.4,,07/01/2017,06/30/2018
ND,OP_14,Outpatients with brain CT scans who got a sinus CT scan at the same time,1.1,,07/01/2017,06/30/2018
ND,OP_8,MRI Lumbar Spine for Low Back Pain,34.4,,07/01/2017,06/30/2018
ND,OP_9,Mammography Follow-up Rates,5.9,,07/01/2017,06/30/2018
NE,OP_10,Abdomen CT Use of Contrast Material,6.7,,07/01/2017,06/30/2018
NE,OP_11,Thorax CT Use of Contrast Material,1.6,,07/01/2017,06/30/2018
NE,OP_13,Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery,4.6,,07/01/2017,06/30/2018
NE,OP_14,Outpatients with brain CT scans who got a sinus CT scan at the same time,1.1,,07/01/2017,06/30/2018
NE,OP_8,MRI Lumbar Spine for Low Back Pain,35.2,,07/01/2017,06/30/2018
NE,OP_9,Mammography Follow-up Rates,7.5,,07/01/2017,06/30/2018
NH,OP_10,Abdomen CT Use of Contrast Material,4.7,,07/01/2017,06/30/2018
NH,OP_11,Thorax CT Use of Contrast Material,0.4,,07/01/2017,06/30/2018
NH,OP_13,Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery,5.4,,07/01/2017,06/30/2018
NH,OP_14,Outpatients with brain CT scans who got a sinus CT scan at the same time,0.9,,07/01/2017,06/30/2018
NH,OP_8,MRI Lumbar Spine for Low Back Pain,37.2,,07/01/2017,06/30/2018
NH,OP_9,Mammography Follow-up Rates,7.2,,07/01/2017,06/30/2018
NJ,OP_10,Abdomen CT Use of Contrast Material,4.7,,07/01/2017,06/30/2018
NJ,OP_11,Thorax CT Use of Contrast Material,1.2,,07/01/2017,06/30/2018
NJ,OP_13,Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery,5.1,,07/01/2017,06/30/2018
NJ,OP_14,Outpatients with brain CT scans who got a sinus CT scan at the same time,1,,07/01/2017,06/30/2018
NJ,OP_8,MRI Lumbar Spine for Low Back Pain,35.6,,07/01/2017,06/30/2018
NJ,OP_9,Mammography Follow-up Rates,17,,07/01/2017,06/30/2018
NM,OP_10,Abdomen CT Use of Contrast Material,8.8,,07/01/2017,06/30/2018
NM,OP_11,Thorax CT Use of Contrast Material,2.5,,07/01/2017,06/30/2018
NM,OP_13,Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery,4.3,,07/01/2017,06/30/2018
NM,OP_14,Outpatients with brain CT scans who got a sinus CT scan at the same time,1.5,,07/01/2017,06/30/2018
NM,OP_8,MRI Lumbar Spine for Low Back Pain,42,,07/01/2017,06/30/2018
NM,OP_9,Mammography Follow-up Rates,7.2,,07/01/2017,06/30/2018
NV,OP_10,Abdomen CT Use of Contrast Material,4.5,,07/01/2017,06/30/2018
NV,OP_11,Thorax CT Use of Contrast Material,2,,07/01/2017,06/30/2018
NV,OP_13,Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery,3.2,,07/01/2017,06/30/2018
NV,OP_14,Outpatients with brain CT scans who got a sinus CT scan at the same time,1.1,,07/01/2017,06/30/2018
NV,OP_8,MRI Lumbar Spine for Low Back Pain,43.2,,07/01/2017,06/30/2018
NV,OP_9,Mammography Follow-up Rates,6,,07/01/2017,06/30/2018
NY,OP_10,Abdomen CT Use of Contrast Material,6.2,,07/01/2017,06/30/2018
NY,OP_11,Thorax CT Use of Contrast Material,0.7,,07/01/2017,06/30/2018
NY,OP_13,Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery,5.4,,07/01/2017,06/30/2018
NY,OP_14,Outpatients with brain CT scans who got a sinus CT scan at the same time,1.6,,07/01/2017,06/30/2018
NY,OP_8,MRI Lumbar Spine for Low Back Pain,37.7,,07/01/2017,06/30/2018
NY,OP_9,Mammography Follow-up Rates,21.8,,07/01/2017,06/30/2018
OH,OP_10,Abdomen CT Use of Contrast Material,5.4,,07/01/2017,06/30/2018
OH,OP_11,Thorax CT Use of Contrast Material,1,,07/01/2017,06/30/2018
OH,OP_13,Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery,4.9,,07/01/2017,06/30/2018
OH,OP_14,Outpatients with brain CT scans who got a sinus CT scan at the same time,1.1,,07/01/2017,06/30/2018
OH,OP_8,MRI Lumbar Spine for Low Back Pain,36,,07/01/2017,06/30/2018
OH,OP_9,Mammography Follow-up Rates,8.3,,07/01/2017,06/30/2018
OK,OP_10,Abdomen CT Use of Contrast Material,11.1,,07/01/2017,06/30/2018
OK,OP_11,Thorax CT Use of Contrast Material,3.4,,07/01/2017,06/30/2018
OK,OP_13,Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery,4,,07/01/2017,06/30/2018
OK,OP_14,Outpatients with brain CT scans who got a sinus CT scan at the same time,1.1,,07/01/2017,06/30/2018
OK,OP_8,MRI Lumbar Spine for Low Back Pain,41.8,,07/01/2017,06/30/2018
OK,OP_9,Mammography Follow-up Rates,8.5,,07/01/2017,06/30/2018
OR,OP_10,Abdomen CT Use of Contrast Material,7,,07/01/2017,06/30/2018
OR,OP_11,Thorax CT Use of Contrast Material,1.2,,07/01/2017,06/30/2018
OR,OP_13,Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery,4,,07/01/2017,06/30/2018
OR,OP_14,Outpatients with brain CT scans who got a sinus CT scan at the same time,0.8,,07/01/2017,06/30/2018
OR,OP_8,MRI Lumbar Spine for Low Back Pain,42,,07/01/2017,06/30/2018
OR,OP_9,Mammography Follow-up Rates,8.2,,07/01/2017,06/30/2018
PA,OP_10,Abdomen CT Use of Contrast Material,8.2,,07/01/2017,06/30/2018
PA,OP_11,Thorax CT Use of Contrast Material,1.1,,07/01/2017,06/30/2018
PA,OP_13,Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery,5.2,,07/01/2017,06/30/2018
PA,OP_14,Outpatients with brain CT scans who got a sinus CT scan at the same time,1.3,,07/01/2017,06/30/2018
PA,OP_8,MRI Lumbar Spine for Low Back Pain,37.4,,07/01/2017,06/30/2018
PA,OP_9,Mammography Follow-up Rates,8.5,,07/01/2017,06/30/2018
PR,OP_10,Abdomen CT Use of Contrast Material,9,,07/01/2017,06/30/2018
PR,OP_11,Thorax CT Use of Contrast Material,9,,07/01/2017,06/30/2018
PR,OP_13,Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery,3.8,,07/01/2017,06/30/2018
PR,OP_14,Outpatients with brain CT scans who got a sinus CT scan at the same time,1.2,,07/01/2017,06/30/2018
PR,OP_8,MRI Lumbar Spine for Low Back Pain,61,,07/01/2017,06/30/2018
PR,OP_9,Mammography Follow-up Rates,53.9,,07/01/2017,06/30/2018
RI,OP_10,Abdomen CT Use of Contrast Material,4,,07/01/2017,06/30/2018
RI,OP_11,Thorax CT Use of Contrast Material,0.4,,07/01/2017,06/30/2018
RI,OP_13,Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery,4.1,,07/01/2017,06/30/2018
RI,OP_14,Outpatients with brain CT scans who got a sinus CT scan at the same time,1.9,,07/01/2017,06/30/2018
RI,OP_8,MRI Lumbar Spine for Low Back Pain,36.9,,07/01/2017,06/30/2018
RI,OP_9,Mammography Follow-up Rates,8.5,,07/01/2017,06/30/2018
SC,OP_10,Abdomen CT Use of Contrast Material,6.3,,07/01/2017,06/30/2018
SC,OP_11,Thorax CT Use of Contrast Material,0.8,,07/01/2017,06/30/2018
SC,OP_13,Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery,4.5,,07/01/2017,06/30/2018
SC,OP_14,Outpatients with brain CT scans who got a sinus CT scan at the same time,0.9,,07/01/2017,06/30/2018
SC,OP_8,MRI Lumbar Spine for Low Back Pain,39.7,,07/01/2017,06/30/2018
SC,OP_9,Mammography Follow-up Rates,7.4,,07/01/2017,06/30/2018
SD,OP_10,Abdomen CT Use of Contrast Material,5.3,,07/01/2017,06/30/2018
SD,OP_11,Thorax CT Use of Contrast Material,0.5,,07/01/2017,06/30/2018
SD,OP_13,Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery,4.4,,07/01/2017,06/30/2018
SD,OP_14,Outpatients with brain CT scans who got a sinus CT scan at the same time,1,,07/01/2017,06/30/2018
SD,OP_8,MRI Lumbar Spine for Low Back Pain,33.3,,07/01/2017,06/30/2018
SD,OP_9,Mammography Follow-up Rates,7.4,,07/01/2017,06/30/2018
TN,OP_10,Abdomen CT Use of Contrast Material,6.3,,07/01/2017,06/30/2018
TN,OP_11,Thorax CT Use of Contrast Material,1.6,,07/01/2017,06/30/2018
TN,OP_13,Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery,4.4,,07/01/2017,06/30/2018
TN,OP_14,Outpatients with brain CT scans who got a sinus CT scan at the same time,1.3,,07/01/2017,06/30/2018
TN,OP_8,MRI Lumbar Spine for Low Back Pain,37.3,,07/01/2017,06/30/2018
TN,OP_9,Mammography Follow-up Rates,7.5,,07/01/2017,06/30/2018
TX,OP_10,Abdomen CT Use of Contrast Material,10.3,,07/01/2017,06/30/2018
TX,OP_11,Thorax CT Use of Contrast Material,2.7,,07/01/2017,06/30/2018
TX,OP_13,Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery,4.4,,07/01/2017,06/30/2018
TX,OP_14,Outpatients with brain CT scans who got a sinus CT scan at the same time,1.1,,07/01/2017,06/30/2018
TX,OP_8,MRI Lumbar Spine for Low Back Pain,41.7,,07/01/2017,06/30/2018
TX,OP_9,Mammography Follow-up Rates,7.9,,07/01/2017,06/30/2018
UT,OP_10,Abdomen CT Use of Contrast Material,4.8,,07/01/2017,06/30/2018
UT,OP_11,Thorax CT Use of Contrast Material,0.5,,07/01/2017,06/30/2018
UT,OP_13,Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery,5.3,,07/01/2017,06/30/2018
UT,OP_14,Outpatients with brain CT scans who got a sinus CT scan at the same time,1.5,,07/01/2017,06/30/2018
