Facility ID,Facility Name,Address,City,State,ZIP Code,County Name,Communication with Nurses Floor,Communication with Nurses Achievement Threshold,Communication with Nurses Benchmark,Communication with Nurses Baseline Rate,Communication with Nurses Performance Rate,Communication with Nurses Achievement Points,Communication with Nurses Improvement Points,Communication with Nurses Dimension Score,Communication with Doctors Floor,Communication with Doctors Achievement Threshold,Communication with Doctors Benchmark,Communication with Doctors Baseline Rate,Communication with Doctors Performance Rate,Communication with Doctors Achievement Points,Communication with Doctors Improvement Points,Communication with Doctors Dimension Score,Responsiveness of Hospital Staff Floor,Responsiveness of Hospital Staff Achievement Threshold,Responsiveness of Hospital Staff Benchmark,Responsiveness of Hospital Staff Baseline Rate,Responsiveness of Hospital Staff Performance Rate,Responsiveness of Hospital Staff Achievement Points,Responsiveness of Hospital Staff Improvement Points,Responsiveness of Hospital Staff Dimension Score,Care Transition Floor,Care Transition Achievement Threshold,Care Transition Benchmark,Care Transition Baseline Rate,Care Transition Performance Rate,Care Transition Achievement Points,Care Transition Improvement Points,Care Transition Dimension Score,Communication about Medicines Floor,Communication about Medicines Achievement Threshold,Communication about Medicines Benchmark,Communication about Medicines Baseline Rate,Communication about Medicines Performance Rate,Communication about Medicines Achievement Points,Communication about Medicines Improvement Points,Communication about Medicines Dimension Score,Cleanliness and Quietness of Hospital Environment Floor,Cleanliness and Quietness of Hospital Environment Achievement Threshold,Cleanliness and Quietness of Hospital Environment Benchmark,Cleanliness and Quietness of Hospital Environment Baseline Rate,Cleanliness and Quietness of Hospital Environment Performance Rate,Cleanliness and Quietness of Hospital Environment Achievement Points,Cleanliness and Quietness of Hospital Environment Improvement Points,Cleanliness and Quietness of Hospital Environment Dimension Score,Discharge Information Floor,Discharge Information Achievement Threshold,Discharge Information Benchmark,Discharge Information Baseline Rate,Discharge Information Performance Rate,Discharge Information Achievement Points,Discharge Information Improvement Points,Discharge Information Dimension Score,Overall Rating of Hospital Floor,Overall Rating of Hospital Achievement Threshold,Overall Rating of Hospital Benchmark,Overall Rating of Hospital Baseline Rate,Overall Rating of Hospital Performance Rate,Overall Rating of Hospital Achievement Points,Overall Rating of Hospital Improvement Points,Overall Rating of Hospital Dimension Score,HCAHPS Base Score,HCAHPS Consistency Score
010024,JACKSON HOSPITAL & CLINIC INC,1725 PINE STREET,MONTGOMERY,AL,36106,Montgomery,51.80,79.08,87.12,78.51,79.23,1 out of 10,0 out of 9,1 out of 10,50.67,80.41,88.44,82.54,81.15,1 out of 10,0 out of 9,1 out of 10,35.74,65.07,80.14,67.61,72.35,5 out of 10,3 out of 9,5 out of 10,20.33,51.14,62.50,47.81,49.27,0 out of 10,0 out of 9,0 out of 10,26.16,63.30,73.86,65.56,67.50,4 out of 10,2 out of 9,4 out of 10,41.92,65.72,79.42,69.62,69.69,3 out of 10,0 out of 9,3 out of 10,66.72,87.44,92.11,85.65,85.75,0 out of 10,0 out of 9,0 out of 10,32.47,71.59,85.12,73.12,72.89,1 out of 10,0 out of 9,1 out of 10,15,18
010029,EAST ALABAMA MEDICAL CENTER,2000 PEPPERELL PARKWAY,OPELIKA,AL,36801,Lee,51.80,79.08,87.12,80.56,82.32,4 out of 10,2 out of 9,4 out of 10,50.67,80.41,88.44,84.44,84.03,5 out of 10,0 out of 9,5 out of 10,35.74,65.07,80.14,66.41,71.66,4 out of 10,3 out of 9,4 out of 10,20.33,51.14,62.50,49.34,54.20,3 out of 10,3 out of 9,3 out of 10,26.16,63.30,73.86,68.55,67.53,4 out of 10,0 out of 9,4 out of 10,41.92,65.72,79.42,71.30,72.43,5 out of 10,1 out of 9,5 out of 10,66.72,87.44,92.11,88.72,86.17,0 out of 10,0 out of 9,0 out of 10,32.47,71.59,85.12,73.79,74.61,3 out of 10,0 out of 9,3 out of 10,28,18
010033,UNIVERSITY OF ALABAMA HOSPITAL,619 SOUTH 19TH STREET,BIRMINGHAM,AL,35233,Jefferson,51.80,79.08,87.12,82.93,81.11,3 out of 10,0 out of 9,3 out of 10,50.67,80.41,88.44,83.89,82.67,3 out of 10,0 out of 9,3 out of 10,35.74,65.07,80.14,66.82,64.32,0 out of 10,0 out of 9,0 out of 10,20.33,51.14,62.50,59.02,55.43,4 out of 10,0 out of 9,4 out of 10,26.16,63.30,73.86,66.50,64.10,1 out of 10,0 out of 9,1 out of 10,41.92,65.72,79.42,70.62,65.45,0 out of 10,0 out of 9,0 out of 10,66.72,87.44,92.11,88.15,88.42,2 out of 10,0 out of 9,2 out of 10,32.47,71.59,85.12,83.37,78.37,5 out of 10,0 out of 9,5 out of 10,18,19
010034,COMMUNITY HOSPITAL INC,805 FRIENDSHIP ROAD,TALLASSEE,AL,36078,Elmore,51.80,79.08,87.12,83.92,84.02,6 out of 10,0 out of 9,6 out of 10,50.67,80.41,88.44,81.67,84.71,5 out of 10,4 out of 9,5 out of 10,35.74,65.07,80.14,69.63,79.91,9 out of 10,9 out of 9,9 out of 10,20.33,51.14,62.50,44.29,44.38,0 out of 10,0 out of 9,0 out of 10,26.16,63.30,73.86,71.07,63.87,1 out of 10,0 out of 9,1 out of 10,41.92,65.72,79.42,74.94,74.76,6 out of 10,0 out of 9,6 out of 10,66.72,87.44,92.11,87.37,87.33,0 out of 10,0 out of 9,0 out of 10,32.47,71.59,85.12,76.07,67.07,0 out of 10,0 out of 9,0 out of 10,27,15
010035,CULLMAN REGIONAL MEDICAL CENTER,1912 ALABAMA HIGHWAY 157,CULLMAN,AL,35058,Cullman,51.80,79.08,87.12,79.62,76.20,0 out of 10,0 out of 9,0 out of 10,50.67,80.41,88.44,80.55,81.13,1 out of 10,0 out of 9,1 out of 10,35.74,65.07,80.14,60.69,61.53,0 out of 10,0 out of 9,0 out of 10,20.33,51.14,62.50,47.42,43.28,0 out of 10,0 out of 9,0 out of 10,26.16,63.30,73.86,66.27,58.73,0 out of 10,0 out of 9,0 out of 10,41.92,65.72,79.42,71.70,72.58,5 out of 10,1 out of 9,5 out of 10,66.72,87.44,92.11,84.00,79.30,0 out of 10,0 out of 9,0 out of 10,32.47,71.59,85.12,69.34,65.54,0 out of 10,0 out of 9,0 out of 10,6,12
010036,ANDALUSIA HEALTH,849 SOUTH THREE NOTCH STREET,ANDALUSIA,AL,36420,Covington,51.80,79.08,87.12,78.50,75.28,0 out of 10,0 out of 9,0 out of 10,50.67,80.41,88.44,84.63,79.83,0 out of 10,0 out of 9,0 out of 10,35.74,65.07,80.14,64.11,61.19,0 out of 10,0 out of 9,0 out of 10,20.33,51.14,62.50,45.96,50.37,0 out of 10,2 out of 9,2 out of 10,26.16,63.30,73.86,64.67,61.70,0 out of 10,0 out of 9,0 out of 10,41.92,65.72,79.42,70.01,63.51,0 out of 10,0 out of 9,0 out of 10,66.72,87.44,92.11,84.84,85.60,0 out of 10,1 out of 9,1 out of 10,32.47,71.59,85.12,68.26,63.88,0 out of 10,0 out of 9,0 out of 10,3,16
010038,STRINGFELLOW MEMORIAL HOSPITAL,301 EAST 18TH ST,ANNISTON,AL,36201,Calhoun,51.80,79.08,87.12,75.35,76.60,0 out of 10,1 out of 9,1 out of 10,50.67,80.41,88.44,82.57,79.27,0 out of 10,0 out of 9,0 out of 10,35.74,65.07,80.14,58.17,63.16,0 out of 10,2 out of 9,2 out of 10,20.33,51.14,62.50,47.52,46.71,0 out of 10,0 out of 9,0 out of 10,26.16,63.30,73.86,62.74,56.64,0 out of 10,0 out of 9,0 out of 10,41.92,65.72,79.42,74.83,68.06,2 out of 10,0 out of 9,2 out of 10,66.72,87.44,92.11,82.45,83.23,0 out of 10,0 out of 9,0 out of 10,32.47,71.59,85.12,72.56,66.00,0 out of 10,0 out of 9,0 out of 10,5,15
010039,HUNTSVILLE HOSPITAL,101 SIVLEY RD,HUNTSVILLE,AL,35801,Madison,51.80,79.08,87.12,80.37,80.62,2 out of 10,0 out of 9,2 out of 10,50.67,80.41,88.44,80.57,78.96,0 out of 10,0 out of 9,0 out of 10,35.74,65.07,80.14,64.90,64.92,0 out of 10,0 out of 9,0 out of 10,20.33,51.14,62.50,52.18,51.41,1 out of 10,0 out of 9,1 out of 10,26.16,63.30,73.86,64.53,62.16,0 out of 10,0 out of 9,0 out of 10,41.92,65.72,79.42,71.43,69.05,3 out of 10,0 out of 9,3 out of 10,66.72,87.44,92.11,85.47,84.07,0 out of 10,0 out of 9,0 out of 10,32.47,71.59,85.12,74.30,74.93,3 out of 10,0 out of 9,3 out of 10,9,16
010040,GADSDEN REGIONAL MEDICAL CENTER,1007 GOODYEAR AVENUE,GADSDEN,AL,35903,Etowah,51.80,79.08,87.12,75.76,75.82,0 out of 10,0 out of 9,0 out of 10,50.67,80.41,88.44,76.59,76.10,0 out of 10,0 out of 9,0 out of 10,35.74,65.07,80.14,59.21,61.63,0 out of 10,1 out of 9,1 out of 10,20.33,51.14,62.50,47.15,46.47,0 out of 10,0 out of 9,0 out of 10,26.16,63.30,73.86,58.50,60.68,0 out of 10,1 out of 9,1 out of 10,41.92,65.72,79.42,66.66,64.14,0 out of 10,0 out of 9,0 out of 10,66.72,87.44,92.11,85.02,84.99,0 out of 10,0 out of 9,0 out of 10,32.47,71.59,85.12,67.65,63.56,0 out of 10,0 out of 9,0 out of 10,2,15
010045,FAYETTE MEDICAL CENTER,1653 TEMPLE AVENUE NORTH,FAYETTE,AL,35555,Fayette,51.80,79.08,87.12,88.12,89.72,10 out of 10,9 out of 9,10 out of 10,50.67,80.41,88.44,89.76,94.18,10 out of 10,9 out of 9,10 out of 10,35.74,65.07,80.14,75.88,72.96,5 out of 10,0 out of 9,5 out of 10,20.33,51.14,62.50,62.16,66.74,10 out of 10,9 out of 9,10 out of 10,26.16,63.30,73.86,76.58,78.88,10 out of 10,9 out of 9,10 out of 10,41.92,65.72,79.42,80.65,86.81,10 out of 10,9 out of 9,10 out of 10,66.72,87.44,92.11,89.23,95.76,10 out of 10,9 out of 9,10 out of 10,32.47,71.59,85.12,82.46,81.94,7 out of 10,0 out of 9,7 out of 10,72,20
010046,RIVERVIEW REGIONAL MEDICAL CENTER,600 SOUTH THIRD STREET,GADSDEN,AL,35901,Etowah,51.80,79.08,87.12,74.39,77.40,0 out of 10,2 out of 9,2 out of 10,50.67,80.41,88.44,75.00,75.98,0 out of 10,0 out of 9,0 out of 10,35.74,65.07,80.14,62.87,67.71,2 out of 10,2 out of 9,2 out of 10,20.33,51.14,62.50,46.35,49.05,0 out of 10,1 out of 9,1 out of 10,26.16,63.30,73.86,57.30,67.37,4 out of 10,6 out of 9,6 out of 10,41.92,65.72,79.42,67.72,71.20,4 out of 10,2 out of 9,4 out of 10,66.72,87.44,92.11,79.19,84.04,0 out of 10,3 out of 9,3 out of 10,32.47,71.59,85.12,65.66,72.80,1 out of 10,3 out of 9,3 out of 10,21,16
010049,MEDICAL CENTER ENTERPRISE,400 N EDWARDS STREET,ENTERPRISE,AL,36330,Coffee,51.80,79.08,87.12,74.09,83.02,5 out of 10,6 out of 9,6 out of 10,50.67,80.41,88.44,83.07,85.36,6 out of 10,4 out of 9,6 out of 10,35.74,65.07,80.14,58.03,69.87,3 out of 10,5 out of 9,5 out of 10,20.33,51.14,62.50,45.46,55.51,4 out of 10,5 out of 9,5 out of 10,26.16,63.30,73.86,62.36,68.55,5 out of 10,5 out of 9,5 out of 10,41.92,65.72,79.42,69.00,73.31,5 out of 10,4 out of 9,5 out of 10,66.72,87.44,92.11,87.68,88.91,3 out of 10,2 out of 9,3 out of 10,32.47,71.59,85.12,65.13,73.33,2 out of 10,4 out of 9,4 out of 10,39,20
010055,FLOWERS HOSPITAL,4370 WEST MAIN STREET,DOTHAN,AL,36305,Houston,51.80,79.08,87.12,80.35,80.22,2 out of 10,0 out of 9,2 out of 10,50.67,80.41,88.44,82.83,82.48,3 out of 10,0 out of 9,3 out of 10,35.74,65.07,80.14,64.59,64.23,0 out of 10,0 out of 9,0 out of 10,20.33,51.14,62.50,55.03,53.73,3 out of 10,0 out of 9,3 out of 10,26.16,63.30,73.86,64.72,69.53,6 out of 10,5 out of 9,6 out of 10,41.92,65.72,79.42,67.97,66.33,1 out of 10,0 out of 9,1 out of 10,66.72,87.44,92.11,89.10,85.76,0 out of 10,0 out of 9,0 out of 10,32.47,71.59,85.12,75.56,74.30,2 out of 10,0 out of 9,2 out of 10,17,18
010056,ST VINCENT'S BIRMINGHAM,810 ST VINCENT'S DRIVE,BIRMINGHAM,AL,35205,Jefferson,51.80,79.08,87.12,81.36,79.65,1 out of 10,0 out of 9,1 out of 10,50.67,80.41,88.44,85.13,81.87,2 out of 10,0 out of 9,2 out of 10,35.74,65.07,80.14,67.53,68.50,3 out of 10,0 out of 9,3 out of 10,20.33,51.14,62.50,56.06,56.73,5 out of 10,1 out of 9,5 out of 10,26.16,63.30,73.86,67.04,65.31,2 out of 10,0 out of 9,2 out of 10,41.92,65.72,79.42,68.73,67.47,2 out of 10,0 out of 9,2 out of 10,66.72,87.44,92.11,88.68,88.04,2 out of 10,0 out of 9,2 out of 10,32.47,71.59,85.12,80.21,77.06,4 out of 10,0 out of 9,4 out of 10,21,20
010058,BIBB MEDICAL CENTER,208 PIERSON AVE,CENTREVILLE,AL,35042,Bibb,51.80,79.08,87.12,Not Available,Not Available,Not Available,Not Available,Not Available,50.67,80.41,88.44,Not Available,Not Available,Not Available,Not Available,Not Available,35.74,65.07,80.14,Not Available,Not Available,Not Available,Not Available,Not Available,20.33,51.14,62.50,Not Available,Not Available,Not Available,Not Available,Not Available,26.16,63.30,73.86,Not Available,Not Available,Not Available,Not Available,Not Available,41.92,65.72,79.42,Not Available,Not Available,Not Available,Not Available,Not Available,66.72,87.44,92.11,Not Available,Not Available,Not Available,Not Available,Not Available,32.47,71.59,85.12,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
010061,HIGHLANDS MEDICAL CENTER,380 WOODS COVE ROAD,SCOTTSBORO,AL,35768,Jackson,51.80,79.08,87.12,81.17,77.36,0 out of 10,0 out of 9,0 out of 10,50.67,80.41,88.44,81.38,78.81,0 out of 10,0 out of 9,0 out of 10,35.74,65.07,80.14,70.55,67.71,2 out of 10,0 out of 9,2 out of 10,20.33,51.14,62.50,42.15,43.60,0 out of 10,0 out of 9,0 out of 10,26.16,63.30,73.86,66.83,64.77,2 out of 10,0 out of 9,2 out of 10,41.92,65.72,79.42,70.90,63.01,0 out of 10,0 out of 9,0 out of 10,66.72,87.44,92.11,88.74,86.23,0 out of 10,0 out of 9,0 out of 10,32.47,71.59,85.12,67.14,62.88,0 out of 10,0 out of 9,0 out of 10,4,15
010062,WIREGRASS MEDICAL CENTER,1200 W MAPLE AVENUE,GENEVA,AL,36340,Geneva,51.80,79.08,87.12,80.51,79.91,1 out of 10,0 out of 9,1 out of 10,50.67,80.41,88.44,90.74,82.94,3 out of 10,0 out of 9,3 out of 10,35.74,65.07,80.14,68.92,72.66,5 out of 10,3 out of 9,5 out of 10,20.33,51.14,62.50,45.01,47.92,0 out of 10,1 out of 9,1 out of 10,26.16,63.30,73.86,78.64,63.80,1 out of 10,0 out of 9,1 out of 10,41.92,65.72,79.42,63.47,66.98,1 out of 10,2 out of 9,2 out of 10,66.72,87.44,92.11,87.18,89.66,5 out of 10,5 out of 9,5 out of 10,32.47,71.59,85.12,74.34,66.61,0 out of 10,0 out of 9,0 out of 10,18,17
010065,RUSSELL MEDICAL CENTER,3316 HIGHWAY 280,ALEXANDER CITY,AL,35010,Tallapoosa,51.80,79.08,87.12,83.17,82.97,5 out of 10,0 out of 9,5 out of 10,50.67,80.41,88.44,86.56,82.24,3 out of 10,0 out of 9,3 out of 10,35.74,65.07,80.14,73.86,77.11,8 out of 10,5 out of 9,8 out of 10,20.33,51.14,62.50,44.50,48.32,0 out of 10,2 out of 9,2 out of 10,26.16,63.30,73.86,73.41,72.53,8 out of 10,0 out of 9,8 out of 10,41.92,65.72,79.42,72.74,74.91,7 out of 10,3 out of 9,7 out of 10,66.72,87.44,92.11,89.98,87.02,0 out of 10,0 out of 9,0 out of 10,32.47,71.59,85.12,77.95,73.43,2 out of 10,0 out of 9,2 out of 10,35,18
010069,MEDICAL CENTER BARBOUR,820 W WASHINGTON ST,EUFAULA,AL,36027,Barbour,51.80,79.08,87.12,82.12,77.73,0 out of 10,0 out of 9,0 out of 10,50.67,80.41,88.44,86.03,88.00,9 out of 10,8 out of 9,9 out of 10,35.74,65.07,80.14,75.68,71.00,4 out of 10,0 out of 9,4 out of 10,20.33,51.14,62.50,46.61,39.84,0 out of 10,0 out of 9,0 out of 10,26.16,63.30,73.86,71.12,66.83,4 out of 10,0 out of 9,4 out of 10,41.92,65.72,79.42,73.31,72.74,5 out of 10,0 out of 9,5 out of 10,66.72,87.44,92.11,85.41,87.90,1 out of 10,3 out of 9,3 out of 10,32.47,71.59,85.12,73.60,66.38,0 out of 10,0 out of 9,0 out of 10,25,12
010073,CLAY COUNTY HOSPITAL,83825 HIGHWAY 9    P O BOX 1270,ASHLAND,AL,36251,Clay,51.80,79.08,87.12,82.03,84.13,6 out of 10,4 out of 9,6 out of 10,50.67,80.41,88.44,93.45,89.35,10 out of 10,0 out of 9,10 out of 10,35.74,65.07,80.14,79.35,83.40,10 out of 10,9 out of 9,10 out of 10,20.33,51.14,62.50,50.29,51.96,1 out of 10,1 out of 9,1 out of 10,26.16,63.30,73.86,65.60,76.36,10 out of 10,9 out of 9,10 out of 10,41.92,65.72,79.42,78.66,73.64,6 out of 10,0 out of 9,6 out of 10,66.72,87.44,92.11,83.47,85.07,0 out of 10,1 out of 9,1 out of 10,32.47,71.59,85.12,69.68,78.16,5 out of 10,5 out of 9,5 out of 10,49,17
