"Facility ID","Facility Name","Address","City","State","ZIP Code","County Name","Phone Number","Measure ID","Measure Name","Denominator","Observed Rate Per 1,000","Footnote","Start Date","End Date"
03012F,PHOENIX VA MEDICAL CENTER,650 E. INDIAN SCHOOL ROAD,PHOENIX,AZ,85012,MARICOPA,(602) 222-6444,PSI-3,Pressure Ulcer Rate,5548,1.62,20,07/01/2016,06/30/2018
03012F,PHOENIX VA MEDICAL CENTER,650 E. INDIAN SCHOOL ROAD,PHOENIX,AZ,85012,MARICOPA,(602) 222-6444,PSI-4,Death among surgical inpatients with serious treatable complications Rate,52,96.15,20,07/01/2016,06/30/2018
03012F,PHOENIX VA MEDICAL CENTER,650 E. INDIAN SCHOOL ROAD,PHOENIX,AZ,85012,MARICOPA,(602) 222-6444,PSI-6,"Iatrogenic pneumothorax, adult Rate",9742,0,20,07/01/2016,06/30/2018
03012F,PHOENIX VA MEDICAL CENTER,650 E. INDIAN SCHOOL ROAD,PHOENIX,AZ,85012,MARICOPA,(602) 222-6444,PSI-7,Central Venous Catheter-Related Bloodstream Infections Rate,5693,0.18,20,07/01/2016,06/30/2018
03012F,PHOENIX VA MEDICAL CENTER,650 E. INDIAN SCHOOL ROAD,PHOENIX,AZ,85012,MARICOPA,(602) 222-6444,PSI-8,In-Hospital Fall With Hip Fracture Rate,9259,0.11,20,07/01/2016,06/30/2018
03012F,PHOENIX VA MEDICAL CENTER,650 E. INDIAN SCHOOL ROAD,PHOENIX,AZ,85012,MARICOPA,(602) 222-6444,PSI-9,Perioperative Hemorrhage or Hematoma Rate,1898,1.05,20,07/01/2016,06/30/2018
03013F,VA S. ARIZONA HEALTHCARE SYSTEM,3601 SOUTH SIXTH AVENUE,TUCSON,AZ,85723,PIMA,(520) 629-1821,PSI-10,Postoperative Acute Kidney Injury Requiring Dialysis Rate,1981,3.03,20,07/01/2016,06/30/2018
03013F,VA S. ARIZONA HEALTHCARE SYSTEM,3601 SOUTH SIXTH AVENUE,TUCSON,AZ,85723,PIMA,(520) 629-1821,PSI-11,Postoperative Respiratory Failure Rate,1600,6.88,20,07/01/2016,06/30/2018
03013F,VA S. ARIZONA HEALTHCARE SYSTEM,3601 SOUTH SIXTH AVENUE,TUCSON,AZ,85723,PIMA,(520) 629-1821,PSI-12,Perioperative Pulmonary Embolism (PE) or Deep Vein Thrombosis (DVT) Rate,3282,5.18,20,07/01/2016,06/30/2018
03013F,VA S. ARIZONA HEALTHCARE SYSTEM,3601 SOUTH SIXTH AVENUE,TUCSON,AZ,85723,PIMA,(520) 629-1821,PSI-13,Postoperative Sepsis Rate,2009,3.48,20,07/01/2016,06/30/2018
03013F,VA S. ARIZONA HEALTHCARE SYSTEM,3601 SOUTH SIXTH AVENUE,TUCSON,AZ,85723,PIMA,(520) 629-1821,PSI-14,Postoperative Wound Dehiscence Rate,919,1.09,20,07/01/2016,06/30/2018
03013F,VA S. ARIZONA HEALTHCARE SYSTEM,3601 SOUTH SIXTH AVENUE,TUCSON,AZ,85723,PIMA,(520) 629-1821,PSI-15,Unrecognized Abdominopelvic Accidental Puncture/Laceration Rate,2052,0.97,20,07/01/2016,06/30/2018
03013F,VA S. ARIZONA HEALTHCARE SYSTEM,3601 SOUTH SIXTH AVENUE,TUCSON,AZ,85723,PIMA,(520) 629-1821,PSI-3,Pressure Ulcer Rate,7994,1.13,20,07/01/2016,06/30/2018
03013F,VA S. ARIZONA HEALTHCARE SYSTEM,3601 SOUTH SIXTH AVENUE,TUCSON,AZ,85723,PIMA,(520) 629-1821,PSI-4,Death among surgical inpatients with serious treatable complications Rate,100,90,20,07/01/2016,06/30/2018
03013F,VA S. ARIZONA HEALTHCARE SYSTEM,3601 SOUTH SIXTH AVENUE,TUCSON,AZ,85723,PIMA,(520) 629-1821,PSI-6,"Iatrogenic pneumothorax, adult Rate",11616,0.34,20,07/01/2016,06/30/2018
03013F,VA S. ARIZONA HEALTHCARE SYSTEM,3601 SOUTH SIXTH AVENUE,TUCSON,AZ,85723,PIMA,(520) 629-1821,PSI-7,Central Venous Catheter-Related Bloodstream Infections Rate,7461,0,20,07/01/2016,06/30/2018
03013F,VA S. ARIZONA HEALTHCARE SYSTEM,3601 SOUTH SIXTH AVENUE,TUCSON,AZ,85723,PIMA,(520) 629-1821,PSI-8,In-Hospital Fall With Hip Fracture Rate,10755,0.19,20,07/01/2016,06/30/2018
03013F,VA S. ARIZONA HEALTHCARE SYSTEM,3601 SOUTH SIXTH AVENUE,TUCSON,AZ,85723,PIMA,(520) 629-1821,PSI-9,Perioperative Hemorrhage or Hematoma Rate,3097,1.94,20,07/01/2016,06/30/2018
03033F,VA NORTHERN ARIZONA HEALTHCARE SYSTEM,500 HIGHWAY 89 NORTH,PRESCOTT,AZ,86313,YAVAPAI,(928) 445-4860,PSI-10,Postoperative Acute Kidney Injury Requiring Dialysis Rate,Not Available,Not Available,"1, 20",07/01/2016,06/30/2018
03033F,VA NORTHERN ARIZONA HEALTHCARE SYSTEM,500 HIGHWAY 89 NORTH,PRESCOTT,AZ,86313,YAVAPAI,(928) 445-4860,PSI-11,Postoperative Respiratory Failure Rate,Not Available,Not Available,"1, 20",07/01/2016,06/30/2018
03033F,VA NORTHERN ARIZONA HEALTHCARE SYSTEM,500 HIGHWAY 89 NORTH,PRESCOTT,AZ,86313,YAVAPAI,(928) 445-4860,PSI-12,Perioperative Pulmonary Embolism (PE) or Deep Vein Thrombosis (DVT) Rate,Not Available,Not Available,"1, 20",07/01/2016,06/30/2018
03033F,VA NORTHERN ARIZONA HEALTHCARE SYSTEM,500 HIGHWAY 89 NORTH,PRESCOTT,AZ,86313,YAVAPAI,(928) 445-4860,PSI-13,Postoperative Sepsis Rate,Not Available,Not Available,"1, 20",07/01/2016,06/30/2018
03033F,VA NORTHERN ARIZONA HEALTHCARE SYSTEM,500 HIGHWAY 89 NORTH,PRESCOTT,AZ,86313,YAVAPAI,(928) 445-4860,PSI-14,Postoperative Wound Dehiscence Rate,Not Available,Not Available,"1, 20",07/01/2016,06/30/2018
03033F,VA NORTHERN ARIZONA HEALTHCARE SYSTEM,500 HIGHWAY 89 NORTH,PRESCOTT,AZ,86313,YAVAPAI,(928) 445-4860,PSI-15,Unrecognized Abdominopelvic Accidental Puncture/Laceration Rate,Not Available,Not Available,"1, 20",07/01/2016,06/30/2018
03033F,VA NORTHERN ARIZONA HEALTHCARE SYSTEM,500 HIGHWAY 89 NORTH,PRESCOTT,AZ,86313,YAVAPAI,(928) 445-4860,PSI-3,Pressure Ulcer Rate,876,0,20,07/01/2016,06/30/2018
03033F,VA NORTHERN ARIZONA HEALTHCARE SYSTEM,500 HIGHWAY 89 NORTH,PRESCOTT,AZ,86313,YAVAPAI,(928) 445-4860,PSI-4,Death among surgical inpatients with serious treatable complications Rate,Not Available,Not Available,"1, 20",07/01/2016,06/30/2018
03033F,VA NORTHERN ARIZONA HEALTHCARE SYSTEM,500 HIGHWAY 89 NORTH,PRESCOTT,AZ,86313,YAVAPAI,(928) 445-4860,PSI-6,"Iatrogenic pneumothorax, adult Rate",1782,0,20,07/01/2016,06/30/2018
03033F,VA NORTHERN ARIZONA HEALTHCARE SYSTEM,500 HIGHWAY 89 NORTH,PRESCOTT,AZ,86313,YAVAPAI,(928) 445-4860,PSI-7,Central Venous Catheter-Related Bloodstream Infections Rate,1188,0,20,07/01/2016,06/30/2018
03033F,VA NORTHERN ARIZONA HEALTHCARE SYSTEM,500 HIGHWAY 89 NORTH,PRESCOTT,AZ,86313,YAVAPAI,(928) 445-4860,PSI-8,In-Hospital Fall With Hip Fracture Rate,1619,0,20,07/01/2016,06/30/2018
03033F,VA NORTHERN ARIZONA HEALTHCARE SYSTEM,500 HIGHWAY 89 NORTH,PRESCOTT,AZ,86313,YAVAPAI,(928) 445-4860,PSI-9,Perioperative Hemorrhage or Hematoma Rate,Not Available,Not Available,"1, 20",07/01/2016,06/30/2018
04009F,FAYETTEVILLE AR VA MEDICAL CENTER,1100 N. COLLEGE AVENUE,FAYETTEVILLE,AR,72703,WASHINGTON,(479) 444-5058,PSI-10,Postoperative Acute Kidney Injury Requiring Dialysis Rate,56,0,20,07/01/2016,06/30/2018
04009F,FAYETTEVILLE AR VA MEDICAL CENTER,1100 N. COLLEGE AVENUE,FAYETTEVILLE,AR,72703,WASHINGTON,(479) 444-5058,PSI-11,Postoperative Respiratory Failure Rate,53,0,20,07/01/2016,06/30/2018
04009F,FAYETTEVILLE AR VA MEDICAL CENTER,1100 N. COLLEGE AVENUE,FAYETTEVILLE,AR,72703,WASHINGTON,(479) 444-5058,PSI-12,Perioperative Pulmonary Embolism (PE) or Deep Vein Thrombosis (DVT) Rate,147,0,20,07/01/2016,06/30/2018
04009F,FAYETTEVILLE AR VA MEDICAL CENTER,1100 N. COLLEGE AVENUE,FAYETTEVILLE,AR,72703,WASHINGTON,(479) 444-5058,PSI-13,Postoperative Sepsis Rate,44,22.73,20,07/01/2016,06/30/2018
04009F,FAYETTEVILLE AR VA MEDICAL CENTER,1100 N. COLLEGE AVENUE,FAYETTEVILLE,AR,72703,WASHINGTON,(479) 444-5058,PSI-14,Postoperative Wound Dehiscence Rate,133,0,20,07/01/2016,06/30/2018
04009F,FAYETTEVILLE AR VA MEDICAL CENTER,1100 N. COLLEGE AVENUE,FAYETTEVILLE,AR,72703,WASHINGTON,(479) 444-5058,PSI-15,Unrecognized Abdominopelvic Accidental Puncture/Laceration Rate,381,0,20,07/01/2016,06/30/2018
04009F,FAYETTEVILLE AR VA MEDICAL CENTER,1100 N. COLLEGE AVENUE,FAYETTEVILLE,AR,72703,WASHINGTON,(479) 444-5058,PSI-3,Pressure Ulcer Rate,2060,0,20,07/01/2016,06/30/2018
04009F,FAYETTEVILLE AR VA MEDICAL CENTER,1100 N. COLLEGE AVENUE,FAYETTEVILLE,AR,72703,WASHINGTON,(479) 444-5058,PSI-4,Death among surgical inpatients with serious treatable complications Rate,Not Available,Not Available,"1, 20",07/01/2016,06/30/2018
04009F,FAYETTEVILLE AR VA MEDICAL CENTER,1100 N. COLLEGE AVENUE,FAYETTEVILLE,AR,72703,WASHINGTON,(479) 444-5058,PSI-6,"Iatrogenic pneumothorax, adult Rate",3187,0,20,07/01/2016,06/30/2018
04009F,FAYETTEVILLE AR VA MEDICAL CENTER,1100 N. COLLEGE AVENUE,FAYETTEVILLE,AR,72703,WASHINGTON,(479) 444-5058,PSI-7,Central Venous Catheter-Related Bloodstream Infections Rate,2142,0,20,07/01/2016,06/30/2018
04009F,FAYETTEVILLE AR VA MEDICAL CENTER,1100 N. COLLEGE AVENUE,FAYETTEVILLE,AR,72703,WASHINGTON,(479) 444-5058,PSI-8,In-Hospital Fall With Hip Fracture Rate,2781,0,20,07/01/2016,06/30/2018
04009F,FAYETTEVILLE AR VA MEDICAL CENTER,1100 N. COLLEGE AVENUE,FAYETTEVILLE,AR,72703,WASHINGTON,(479) 444-5058,PSI-9,Perioperative Hemorrhage or Hematoma Rate,141,0,20,07/01/2016,06/30/2018
04010F,VA CENTRAL AR. VETERANS HEALTHCARE SYSTEM LR,4300 WEST SEVENTH STREET,LITTLE ROCK,AR,72205,PULASKI,(501) 257-1000,PSI-10,Postoperative Acute Kidney Injury Requiring Dialysis Rate,1403,3.56,20,07/01/2016,06/30/2018
04010F,VA CENTRAL AR. VETERANS HEALTHCARE SYSTEM LR,4300 WEST SEVENTH STREET,LITTLE ROCK,AR,72205,PULASKI,(501) 257-1000,PSI-11,Postoperative Respiratory Failure Rate,1015,3.94,20,07/01/2016,06/30/2018
04010F,VA CENTRAL AR. VETERANS HEALTHCARE SYSTEM LR,4300 WEST SEVENTH STREET,LITTLE ROCK,AR,72205,PULASKI,(501) 257-1000,PSI-12,Perioperative Pulmonary Embolism (PE) or Deep Vein Thrombosis (DVT) Rate,2587,1.55,20,07/01/2016,06/30/2018
04010F,VA CENTRAL AR. VETERANS HEALTHCARE SYSTEM LR,4300 WEST SEVENTH STREET,LITTLE ROCK,AR,72205,PULASKI,(501) 257-1000,PSI-13,Postoperative Sepsis Rate,1357,12.53,20,07/01/2016,06/30/2018
04010F,VA CENTRAL AR. VETERANS HEALTHCARE SYSTEM LR,4300 WEST SEVENTH STREET,LITTLE ROCK,AR,72205,PULASKI,(501) 257-1000,PSI-14,Postoperative Wound Dehiscence Rate,766,1.31,20,07/01/2016,06/30/2018
04010F,VA CENTRAL AR. VETERANS HEALTHCARE SYSTEM LR,4300 WEST SEVENTH STREET,LITTLE ROCK,AR,72205,PULASKI,(501) 257-1000,PSI-15,Unrecognized Abdominopelvic Accidental Puncture/Laceration Rate,1580,1.27,20,07/01/2016,06/30/2018
04010F,VA CENTRAL AR. VETERANS HEALTHCARE SYSTEM LR,4300 WEST SEVENTH STREET,LITTLE ROCK,AR,72205,PULASKI,(501) 257-1000,PSI-3,Pressure Ulcer Rate,7779,2.7,20,07/01/2016,06/30/2018
04010F,VA CENTRAL AR. VETERANS HEALTHCARE SYSTEM LR,4300 WEST SEVENTH STREET,LITTLE ROCK,AR,72205,PULASKI,(501) 257-1000,PSI-4,Death among surgical inpatients with serious treatable complications Rate,102,137.25,20,07/01/2016,06/30/2018
04010F,VA CENTRAL AR. VETERANS HEALTHCARE SYSTEM LR,4300 WEST SEVENTH STREET,LITTLE ROCK,AR,72205,PULASKI,(501) 257-1000,PSI-6,"Iatrogenic pneumothorax, adult Rate",12792,0.55,20,07/01/2016,06/30/2018
04010F,VA CENTRAL AR. VETERANS HEALTHCARE SYSTEM LR,4300 WEST SEVENTH STREET,LITTLE ROCK,AR,72205,PULASKI,(501) 257-1000,PSI-7,Central Venous Catheter-Related Bloodstream Infections Rate,7121,0.7,20,07/01/2016,06/30/2018
04010F,VA CENTRAL AR. VETERANS HEALTHCARE SYSTEM LR,4300 WEST SEVENTH STREET,LITTLE ROCK,AR,72205,PULASKI,(501) 257-1000,PSI-8,In-Hospital Fall With Hip Fracture Rate,11310,0,20,07/01/2016,06/30/2018
04010F,VA CENTRAL AR. VETERANS HEALTHCARE SYSTEM LR,4300 WEST SEVENTH STREET,LITTLE ROCK,AR,72205,PULASKI,(501) 257-1000,PSI-9,Perioperative Hemorrhage or Hematoma Rate,2484,3.62,20,07/01/2016,06/30/2018
05025F,FRESNO VA MEDICAL CENTER (VA CENTRAL CALIFORNIA HEALTHCARE SYSTEM),2615 E. CLINTON AVENUE,FRESNO,CA,93703,FRESNO,(559) 228-5338,PSI-10,Postoperative Acute Kidney Injury Requiring Dialysis Rate,406,0,20,07/01/2016,06/30/2018
05025F,FRESNO VA MEDICAL CENTER (VA CENTRAL CALIFORNIA HEALTHCARE SYSTEM),2615 E. CLINTON AVENUE,FRESNO,CA,93703,FRESNO,(559) 228-5338,PSI-11,Postoperative Respiratory Failure Rate,338,2.96,20,07/01/2016,06/30/2018
05025F,FRESNO VA MEDICAL CENTER (VA CENTRAL CALIFORNIA HEALTHCARE SYSTEM),2615 E. CLINTON AVENUE,FRESNO,CA,93703,FRESNO,(559) 228-5338,PSI-12,Perioperative Pulmonary Embolism (PE) or Deep Vein Thrombosis (DVT) Rate,905,1.1,20,07/01/2016,06/30/2018
05025F,FRESNO VA MEDICAL CENTER (VA CENTRAL CALIFORNIA HEALTHCARE SYSTEM),2615 E. CLINTON AVENUE,FRESNO,CA,93703,FRESNO,(559) 228-5338,PSI-13,Postoperative Sepsis Rate,367,5.45,20,07/01/2016,06/30/2018
05025F,FRESNO VA MEDICAL CENTER (VA CENTRAL CALIFORNIA HEALTHCARE SYSTEM),2615 E. CLINTON AVENUE,FRESNO,CA,93703,FRESNO,(559) 228-5338,PSI-14,Postoperative Wound Dehiscence Rate,309,3.24,20,07/01/2016,06/30/2018
05025F,FRESNO VA MEDICAL CENTER (VA CENTRAL CALIFORNIA HEALTHCARE SYSTEM),2615 E. CLINTON AVENUE,FRESNO,CA,93703,FRESNO,(559) 228-5338,PSI-15,Unrecognized Abdominopelvic Accidental Puncture/Laceration Rate,821,0,20,07/01/2016,06/30/2018
05025F,FRESNO VA MEDICAL CENTER (VA CENTRAL CALIFORNIA HEALTHCARE SYSTEM),2615 E. CLINTON AVENUE,FRESNO,CA,93703,FRESNO,(559) 228-5338,PSI-3,Pressure Ulcer Rate,3727,0.27,20,07/01/2016,06/30/2018
