"State","Measure ID","Measure Name","Score","Footnote","Start Date","End Date"
NM,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.91,,01/01/2018,12/31/2018
NV,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),1.03,,01/01/2018,12/31/2018
NY,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.99,,01/01/2018,12/31/2018
OH,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),1.01,,01/01/2018,12/31/2018
OK,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.96,,01/01/2018,12/31/2018
OR,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.89,,01/01/2018,12/31/2018
PA,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.99,,01/01/2018,12/31/2018
PR,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),Not Available,9,01/01/2018,12/31/2018
RI,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.99,,01/01/2018,12/31/2018
SC,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.98,,01/01/2018,12/31/2018
SD,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.91,14,01/01/2018,12/31/2018
TN,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),1.01,,01/01/2018,12/31/2018
TX,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),1.04,,01/01/2018,12/31/2018
UT,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.97,,01/01/2018,12/31/2018
VA,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.96,,01/01/2018,12/31/2018
VI,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),Not Available,9,01/01/2018,12/31/2018
VT,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.98,14,01/01/2018,12/31/2018
WA,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.91,14,01/01/2018,12/31/2018
WI,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.94,,01/01/2018,12/31/2018
WV,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.95,,01/01/2018,12/31/2018
WY,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.95,,01/01/2018,12/31/2018
