"Facility Name","Facility ID","State","Fiscal Year","PSI-90 Start Date","PSI-90 End Date","PSI-90 W Z Score","PSI-90 Footnote","CLABSI W Z Score","CLABSI Footnote","CAUTI W Z Score","CAUTI Footnote","SSI W Z Score","SSI Footnote","MRSA W Z Score","MRSA Footnote","CDI W Z Score","CDI Footnote","HAI Measures Start Date","HAI Measures End Date","Total HAC Score","Total HAC Footnote","Payment Reduction","Payment Reduction Footnote"
WALKER BAPTIST MEDICAL CENTER,010089,AL,2020,07/01/2016,06/30/2018,-0.4944,,-1.4459,,-1.2503,,-0.0410,,1.3299,,-0.5262,,01/01/2017,12/31/2018,-0.4047,,No,
PROVIDENCE HOSPITAL,010090,AL,2020,07/01/2016,06/30/2018,1.0549,,0.0260,,-1.0014,,-0.0502,,0.4202,,-0.6014,,01/01/2017,12/31/2018,-0.0253,,No,
GROVE HILL MEMORIAL HOSPITAL,010091,AL,2020,07/01/2016,06/30/2018,-0.0001,,N/A,5,N/A,5,N/A,5,N/A,5,0.0537,,01/01/2017,12/31/2018,0.0268,,No,
D C H REGIONAL MEDICAL CENTER,010092,AL,2020,07/01/2016,06/30/2018,0.2546,,0.1931,,-0.1159,,1.5654,,0.3441,,0.3843,,01/01/2017,12/31/2018,0.4376,,Yes,
HALE COUNTY HOSPITAL,010095,AL,2020,07/01/2016,06/30/2018,-0.0193,,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,01/01/2017,12/31/2018,-0.0193,,No,
ELMORE COMMUNITY HOSPITAL,010097,AL,2020,07/01/2016,06/30/2018,-0.0391,,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,01/01/2017,12/31/2018,-0.0391,,No,
D W MCMILLAN MEMORIAL HOSPITAL,010099,AL,2020,07/01/2016,06/30/2018,0.7824,,N/A,5,-1.5354,,-1.5000,,N/A,5,-0.5142,,01/01/2017,12/31/2018,-0.6918,,No,
THOMAS HOSPITAL,010100,AL,2020,07/01/2016,06/30/2018,-0.5128,,-0.2863,,1.3531,,-0.2437,,-0.3568,,-1.4307,,01/01/2017,12/31/2018,-0.2462,,No,
CITIZENS BAPTIST MEDICAL CENTER,010101,AL,2020,07/01/2016,06/30/2018,-0.3580,,N/A,5,-1.5354,,N/A,5,N/A,5,-0.9770,,01/01/2017,12/31/2018,-0.9568,,No,
J PAUL JONES HOSPITAL,010102,AL,2020,07/01/2016,06/30/2018,0.0396,,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,01/01/2017,12/31/2018,0.0396,,No,
PRINCETON BAPTIST MEDICAL CENTER,010103,AL,2020,07/01/2016,06/30/2018,1.6437,,0.3562,,-0.2014,,-0.8037,,1.7600,,0.0147,,01/01/2017,12/31/2018,0.4616,,Yes,
GRANDVIEW MEDICAL CENTER,010104,AL,2020,07/01/2016,06/30/2018,-0.8032,,-0.9606,,-0.3610,,-1.0671,,-0.1020,,-0.3249,,01/01/2017,12/31/2018,-0.6031,,No,
PRATTVILLE BAPTIST HOSPITAL,010108,AL,2020,07/01/2016,06/30/2018,-0.6916,,2.1941,,-0.8380,,N/A,5,2.2502,,0.7359,,01/01/2017,12/31/2018,0.7301,,Yes,
PICKENS COUNTY MEDICAL CENTER,010109,AL,2020,07/01/2016,06/30/2018,-0.0146,,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,01/01/2017,12/31/2018,-0.0146,,No,
BULLOCK COUNTY HOSPITAL,010110,AL,2020,07/01/2016,06/30/2018,-0.0256,,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,01/01/2017,12/31/2018,-0.0256,,No,
BRYAN W. WHITFIELD MEMORIAL HOSPITAL,010112,AL,2020,07/01/2016,06/30/2018,-0.1617,,N/A,5,N/A,5,N/A,5,N/A,5,-0.9199,,01/01/2017,12/31/2018,-0.5408,,No,
MOBILE INFIRMARY MEDICAL CENTER,010113,AL,2020,07/01/2016,06/30/2018,0.0469,,0.6068,,0.3497,,-0.3855,,-0.1816,,-0.7306,,01/01/2017,12/31/2018,-0.0491,,No,
"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM",010114,AL,2020,07/01/2016,06/30/2018,0.9924,,1.6113,,0.3934,,-0.0207,,0.5087,,-0.8478,,01/01/2017,12/31/2018,0.4395,,Yes,
VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS,010118,AL,2020,07/01/2016,06/30/2018,-1.3790,,-1.4459,,-1.5354,,-1.5000,,-0.0524,,-0.7276,,01/01/2017,12/31/2018,-1.1067,,No,
MONROE COUNTY HOSPITAL,010120,AL,2020,07/01/2016,06/30/2018,-0.1243,,N/A,5,N/A,5,N/A,5,N/A,5,-0.8418,,01/01/2017,12/31/2018,-0.4830,,No,
LAKELAND COMMUNITY HOSPITAL,010125,AL,2020,07/01/2016,06/30/2018,-0.1664,,N/A,5,N/A,5,N/A,5,N/A,5,-1.9626,,01/01/2017,12/31/2018,-1.0645,,No,
TROY REGIONAL MEDICAL CENTER,010126,AL,2020,07/01/2016,06/30/2018,-0.2056,,N/A,5,-1.5354,,-1.5000,,N/A,5,-0.9169,,01/01/2017,12/31/2018,-1.0395,,No,
JACKSON MEDICAL CENTER,010128,AL,2020,07/01/2016,06/30/2018,-0.0384,,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,01/01/2017,12/31/2018,-0.0384,,No,
NORTH BALDWIN INFIRMARY,010129,AL,2020,07/01/2016,06/30/2018,-0.4405,,N/A,5,-1.5354,,-0.3210,,N/A,5,-1.9626,,01/01/2017,12/31/2018,-1.0649,,No,
ST VINCENT'S ST CLAIR,010130,AL,2020,07/01/2016,06/30/2018,1.5279,,-1.4459,,-0.2603,,-1.5000,,N/A,5,1.8568,,01/01/2017,12/31/2018,0.0357,,No,
CRESTWOOD MEDICAL CENTER,010131,AL,2020,07/01/2016,06/30/2018,1.6979,,1.0504,,1.2752,,-0.7724,,0.3582,,-0.4060,,01/01/2017,12/31/2018,0.5339,,Yes,
HILL HOSPITAL OF SUMTER COUNTY,010138,AL,2020,07/01/2016,06/30/2018,0.0296,,N/A,5,N/A,5,N/A,5,N/A,5,-1.9626,,01/01/2017,12/31/2018,-0.9665,,No,
BROOKWOOD BAPTIST MEDICAL CENTER,010139,AL,2020,07/01/2016,06/30/2018,-0.6199,,0.7878,,0.5778,,-0.7668,,0.4060,,-0.6194,,01/01/2017,12/31/2018,-0.0391,,No,
SPRINGHILL MEMORIAL HOSPITAL,010144,AL,2020,07/01/2016,06/30/2018,1.3800,,-0.3997,,-0.5206,,-0.8810,,0.0556,,-0.4301,,01/01/2017,12/31/2018,-0.1326,,No,
EVERGREEN MEDICAL CENTER,010148,AL,2020,07/01/2016,06/30/2018,-0.2130,,N/A,5,N/A,5,N/A,5,N/A,5,-1.9626,,01/01/2017,12/31/2018,-1.0878,,No,
BAPTIST MEDICAL CENTER EAST,010149,AL,2020,07/01/2016,06/30/2018,-0.7635,,1.3666,,0.4295,,-0.4813,,0.3264,,-0.3008,,01/01/2017,12/31/2018,0.0962,,No,
REGIONAL MEDICAL CENTER OF CENTRAL ALABAMA,010150,AL,2020,07/01/2016,06/30/2018,1.4823,,N/A,5,N/A,5,N/A,5,N/A,5,-0.8718,,01/01/2017,12/31/2018,0.3053,,No,
SHOALS HOSPITAL,010157,AL,2020,07/01/2016,06/30/2018,0.2813,,N/A,5,2.1854,,N/A,5,N/A,5,-1.9626,,01/01/2017,12/31/2018,0.1680,,No,
RUSSELLVILLE HOSPITAL,010158,AL,2020,07/01/2016,06/30/2018,-0.7935,,N/A,5,-0.2432,,N/A,5,N/A,5,-0.8087,,01/01/2017,12/31/2018,-0.6151,,No,
COOSA VALLEY MEDICAL CENTER,010164,AL,2020,07/01/2016,06/30/2018,0.2479,,N/A,5,-1.5354,,-1.5000,,N/A,5,-1.2444,,01/01/2017,12/31/2018,-1.0080,,No,
JACK HUGHSTON MEMORIAL HOSPITAL,010168,AL,2020,07/01/2016,06/30/2018,-0.5380,,N/A,5,N/A,5,N/A,5,N/A,5,-1.9626,,01/01/2017,12/31/2018,-1.2503,,No,
ATMORE COMMUNITY HOSPITAL,010169,AL,2020,07/01/2016,06/30/2018,-0.2510,,N/A,5,N/A,5,N/A,5,N/A,5,-1.9626,,01/01/2017,12/31/2018,-1.1068,,No,
ST VINCENT'S CHILTON,010173,AL,2020,07/01/2016,06/30/2018,-0.0940,,N/A,5,N/A,5,N/A,5,N/A,5,0.3272,,01/01/2017,12/31/2018,0.1166,,No,
PROVIDENCE ALASKA MEDICAL CENTER,020001,AK,2020,07/01/2016,06/30/2018,-0.2691,,-0.3420,,1.7008,,0.6166,,-0.1568,,0.4835,,01/01/2017,12/31/2018,0.3388,,Yes,
MAT-SU REGIONAL MEDICAL CENTER,020006,AK,2020,07/01/2016,06/30/2018,-0.3722,,-0.4872,,-1.0850,,-0.5016,,-0.5409,,-0.4661,,01/01/2017,12/31/2018,-0.5755,,No,
BARTLETT REGIONAL HOSPITAL,020008,AK,2020,07/01/2016,06/30/2018,-0.1725,,N/A,5,N/A,5,1.4180,,2.0555,,-1.0792,,01/01/2017,12/31/2018,0.5555,,Yes,
FAIRBANKS MEMORIAL HOSPITAL,020012,AK,2020,07/01/2016,06/30/2018,0.3744,,1.0523,,0.9407,,0.6811,,-0.4170,,-0.7877,,01/01/2017,12/31/2018,0.3073,,No,
ALASKA REGIONAL HOSPITAL,020017,AK,2020,07/01/2016,06/30/2018,-0.0229,,2.1941,,2.1854,,2.0996,,-0.6595,,-0.1175,,01/01/2017,12/31/2018,0.9465,,Yes,
YUKON KUSKOKWIM DELTA REG HOSPITAL,020018,AK,2020,07/01/2016,06/30/2018,-0.0691,,N/A,5,N/A,5,N/A,5,N/A,5,-1.9626,,01/01/2017,12/31/2018,-1.0159,,No,
CENTRAL PENINSULA GENERAL HOSPITAL,020024,AK,2020,07/01/2016,06/30/2018,1.6361,,1.2035,,1.1326,,1.2596,,N/A,5,0.5796,,01/01/2017,12/31/2018,1.1623,,Yes,
ALASKA NATIVE MEDICAL CENTER,020026,AK,2020,07/01/2016,06/30/2018,1.3149,,0.2309,,1.3892,,-0.1534,,1.4201,,1.9710,,01/01/2017,12/31/2018,1.0288,,Yes,
BANNER - UNIVERSITY MEDICAL CENTER PHOENIX,030002,AZ,2020,07/01/2016,06/30/2018,1.8897,,-0.1033,,-0.9482,,1.0219,,-0.0860,,-0.3579,,01/01/2017,12/31/2018,0.2360,,No,
TUCSON MEDICAL CENTER,030006,AZ,2020,07/01/2016,06/30/2018,0.0571,,0.4715,,0.0039,,-0.4813,,-0.1621,,-0.4271,,01/01/2017,12/31/2018,-0.0897,,No,
VERDE VALLEY MEDICAL CENTER,030007,AZ,2020,07/01/2016,06/30/2018,0.2538,,2.1941,,1.2600,,2.0996,,-1.4453,,0.2611,,01/01/2017,12/31/2018,0.7705,,Yes,
ST. MARY'S HOSPITAL,030010,AZ,2020,07/01/2016,06/30/2018,1.6892,,-1.0203,,-0.3876,,-0.6102,,0.5989,,0.3212,,01/01/2017,12/31/2018,0.0985,,No,
ST JOSEPH'S HOSPITAL,030011,AZ,2020,07/01/2016,06/30/2018,0.0914,,-0.1670,,-0.3382,,-0.3468,,1.0024,,-0.9379,,01/01/2017,12/31/2018,-0.1160,,No,
YAVAPAI REGIONAL MEDICAL CENTER,030012,AZ,2020,07/01/2016,06/30/2018,-0.7221,,-1.1575,,0.4675,,-0.8258,,0.8131,,1.1386,,01/01/2017,12/31/2018,-0.0477,,No,
YUMA REGIONAL MEDICAL CENTER,030013,AZ,2020,07/01/2016,06/30/2018,-0.0706,,-0.3201,,0.1977,,0.6166,,-0.8754,,-0.6284,,01/01/2017,12/31/2018,-0.1800,,No,
JOHN C. LINCOLN NORTH MOUNTAIN HOSPITAL,030014,AZ,2020,07/01/2016,06/30/2018,1.8157,,0.0200,,0.0647,,2.0996,,0.1618,,-0.2558,,01/01/2017,12/31/2018,0.6510,,Yes,
BANNER CASA GRANDE MEDICAL CENTER,030016,AZ,2020,07/01/2016,06/30/2018,0.5534,,-0.4415,,-0.7221,,-0.4813,,-0.6418,,-0.9319,,01/01/2017,12/31/2018,-0.4442,,No,
VALLEYWISE HEALTH MEDICAL CENTER,030022,AZ,2020,07/01/2016,06/30/2018,-0.2983,,-0.3937,,-0.2128,,0.5043,,2.2502,,0.6367,,01/01/2017,12/31/2018,0.4144,,Yes,
FLAGSTAFF MEDICAL CENTER,030023,AZ,2020,07/01/2016,06/30/2018,-0.2519,,-1.1058,,0.0039,,0.8838,,-0.0878,,0.3933,,01/01/2017,12/31/2018,-0.0274,,No,
ST. JOSEPH'S HOSPITAL AND MEDICAL CENTER,030024,AZ,2020,07/01/2016,06/30/2018,1.9413,,0.0518,,-0.3249,,-0.1276,,-0.4258,,0.1619,,01/01/2017,12/31/2018,0.2128,,No,
ABRAZO CENTRAL CAMPUS,030030,AZ,2020,07/01/2016,06/30/2018,-0.7898,,-0.9387,,0.8324,,-1.5000,,-0.8878,,0.3422,,01/01/2017,12/31/2018,-0.4903,,No,
CHANDLER REGIONAL MEDICAL CENTER,030036,AZ,2020,07/01/2016,06/30/2018,1.4559,,0.0658,,-0.0531,,0.2279,,-0.0949,,0.1860,,01/01/2017,12/31/2018,0.2979,,No,
ST LUKE'S MEDICAL CENTER,030037,AZ,2020,07/01/2016,06/30/2018,-0.0350,,2.1941,,0.1996,,-0.8755,,0.0219,,-1.0761,,01/01/2017,12/31/2018,0.0715,,No,
SCOTTSDALE OSBORN MEDICAL CENTER,030038,AZ,2020,07/01/2016,06/30/2018,-0.9323,,0.6864,,0.0495,,0.4048,,-0.6665,,0.4294,,01/01/2017,12/31/2018,-0.0048,,No,
CANYON VISTA MEDICAL CENTER,030043,AZ,2020,07/01/2016,06/30/2018,0.5562,,-1.4459,,-1.5354,,2.0278,,1.3458,,-0.0604,,01/01/2017,12/31/2018,0.1480,,No,
KINGMAN REGIONAL MEDICAL CENTER,030055,AZ,2020,07/01/2016,06/30/2018,0.9663,,-0.8850,,-0.8190,,-0.8276,,2.2502,,0.4504,,01/01/2017,12/31/2018,0.1892,,No,
BANNER BOSWELL MEDICAL CENTER,030061,AZ,2020,07/01/2016,06/30/2018,-0.6686,,-0.6284,,-0.2964,,-0.6471,,-0.0329,,-0.7756,,01/01/2017,12/31/2018,-0.5082,,No,
SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER,030062,AZ,2020,07/01/2016,06/30/2018,-1.0633,,-1.4459,,-0.7278,,-0.0668,,-1.4453,,-1.4037,,01/01/2017,12/31/2018,-1.0255,,No,
BANNER - UNIVERSITY MEDICAL CENTER TUCSON CAMPUS,030064,AZ,2020,07/01/2016,06/30/2018,0.2282,,-0.2346,,-0.7848,,0.0253,,0.6892,,-0.4541,,01/01/2017,12/31/2018,-0.0885,,No,
BANNER DESERT MEDICAL CENTER,030065,AZ,2020,07/01/2016,06/30/2018,1.8652,,-0.1550,,-0.7278,,0.1266,,-0.4365,,-0.5232,,01/01/2017,12/31/2018,0.0249,,No,
MT. GRAHAM REGIONAL MEDICAL CENTER,030068,AZ,2020,07/01/2016,06/30/2018,0.7791,,N/A,5,N/A,5,N/A,5,N/A,5,1.9710,,01/01/2017,12/31/2018,1.3751,,Yes,
HAVASU REGIONAL MEDICAL CENTER,030069,AZ,2020,07/01/2016,06/30/2018,-0.9634,,-1.4459,,-1.5354,,0.4177,,0.1423,,0.8771,,01/01/2017,12/31/2018,-0.4179,,No,
FORT DEFIANCE INDIAN HOSPITAL,030071,AZ,2020,07/01/2016,06/30/2018,-0.1789,,N/A,5,N/A,5,N/A,5,N/A,5,-0.9169,,01/01/2017,12/31/2018,-0.5479,,No,
TUBA CITY REGIONAL HEALTH CARE CORPORATION,030073,AZ,2020,07/01/2016,06/30/2018,-0.9717,,-0.0695,,-1.5354,,N/A,5,N/A,5,-0.2077,,01/01/2017,12/31/2018,-0.6961,,No,
SELLS HOSPITAL,030074,AZ,2020,07/01/2016,06/30/2018,0.0603,,N/A,5,N/A,5,2.0996,18,N/A,5,N/A,5,01/01/2017,12/31/2018,1.0800,,Yes,
SAN CARLOS APACHE HEALTHCARE,030077,AZ,2020,07/01/2016,06/30/2018,0.0475,,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,01/01/2017,12/31/2018,0.0475,,No,
PHOENIX INDIAN MEDICAL CENTER,030078,AZ,2020,07/01/2016,06/30/2018,-0.1404,,N/A,5,N/A,5,1.5414,,N/A,5,1.2467,,01/01/2017,12/31/2018,0.8826,,Yes,
ABRAZO SCOTTSDALE CAMPUS,030083,AZ,2020,07/01/2016,06/30/2018,0.2633,,-0.6702,,-0.0722,,2.0996,,2.2502,,-0.2227,,01/01/2017,12/31/2018,0.6080,,Yes,
CHINLE COMPREHENSIVE HEALTH CARE FACILITY,030084,AZ,2020,07/01/2016,06/30/2018,-0.0853,,N/A,5,N/A,5,N/A,5,N/A,5,1.9710,,01/01/2017,12/31/2018,0.9428,,Yes,
NORTHWEST MEDICAL CENTER,030085,AZ,2020,07/01/2016,06/30/2018,-0.3277,,-0.2147,,-0.2527,,-0.8276,,-0.7373,,0.2881,,01/01/2017,12/31/2018,-0.3453,,No,
SCOTTSDALE SHEA MEDICAL CENTER,030087,AZ,2020,07/01/2016,06/30/2018,-1.5150,,0.9509,,-0.3534,,0.8174,,-0.4719,,1.3820,,01/01/2017,12/31/2018,0.1350,,No,
BANNER BAYWOOD MEDICAL CENTER,030088,AZ,2020,07/01/2016,06/30/2018,0.9709,,-1.0959,,-0.9178,,-0.1184,,-0.1728,,-0.2077,,01/01/2017,12/31/2018,-0.2569,,No,
BANNER THUNDERBIRD MEDICAL CENTER,030089,AZ,2020,07/01/2016,06/30/2018,2.3575,,0.2905,,-1.1534,,0.6977,,-0.0913,,-1.0641,,01/01/2017,12/31/2018,0.1728,,No,
HONORHEALTH DEER VALLEY MEDICAL CENTER,030092,AZ,2020,07/01/2016,06/30/2018,0.4759,,0.3303,,-0.1501,,0.1193,,0.1671,,0.5706,,01/01/2017,12/31/2018,0.2522,,No,
BANNER DEL E. WEBB MEDICAL CENTER,030093,AZ,2020,07/01/2016,06/30/2018,0.2243,,-0.8552,,-1.0869,,-0.3266,,-0.5763,,-0.6104,,01/01/2017,12/31/2018,-0.5385,,No,
