Facility ID,Facility Name,Address,City,State,ZIP Code,County Name,MORT-30-AMI Achievement Threshold,MORT-30-AMI Benchmark,MORT-30-AMI Baseline Rate,MORT-30-AMI Performance Rate,MORT-30-AMI Achievement Points,MORT-30-AMI Improvement Points,MORT-30-AMI Measure Score,MORT-30-HF Achievement Threshold,MORT-30-HF Benchmark,MORT-30-HF Baseline Rate,MORT-30-HF Performance Rate,MORT-30-HF Achievement Points,MORT-30-HF Improvement Points,MORT-30-HF Measure Score,MORT-30-PN Achievement Threshold,MORT-30-PN Benchmark,MORT-30-PN Baseline Rate,MORT-30-PN Performance Rate,MORT-30-PN Achievement Points,MORT-30-PN Improvement Points,MORT-30-PN Measure Score,COMP-HIP-KNEE Achievement Threshold,COMP-HIP-KNEE Benchmark,COMP-HIP-KNEE Baseline Rate,COMP-HIP-KNEE Performance Rate,COMP-HIP-KNEE Achievement Points,COMP-HIP-KNEE Improvement Points,COMP-HIP-KNEE Measure Score
010024,JACKSON HOSPITAL & CLINIC INC,1725 PINE STREET,MONTGOMERY,AL,36106,Montgomery,0.853715,0.875869,0.832325,0.856865,2 out of 10,5 out of 9,5 out of 10,0.881090,0.906068,0.901053,0.863901,0 out of 10,0 out of 9,0 out of 10,0.882266,0.909532,0.841174,0.885191,1 out of 10,6 out of 9,6 out of 10,0.032229,0.023178,0.030685,0.027865,5 out of 10,3 out of 9,5 out of 10
010029,EAST ALABAMA MEDICAL CENTER,2000 PEPPERELL PARKWAY,OPELIKA,AL,36801,Lee,0.853715,0.875869,0.826775,0.845313,0 out of 10,3 out of 9,3 out of 10,0.881090,0.906068,0.877220,0.868078,0 out of 10,0 out of 9,0 out of 10,0.882266,0.909532,0.866851,0.899709,6 out of 10,7 out of 9,7 out of 10,0.032229,0.023178,0.036743,0.033393,0 out of 10,2 out of 9,2 out of 10
010033,UNIVERSITY OF ALABAMA HOSPITAL,619 SOUTH 19TH STREET,BIRMINGHAM,AL,35233,Jefferson,0.853715,0.875869,0.854771,0.872398,8 out of 10,8 out of 9,8 out of 10,0.881090,0.906068,0.892602,0.903344,9 out of 10,7 out of 9,9 out of 10,0.882266,0.909532,0.878171,0.911302,10 out of 10,9 out of 9,10 out of 10,0.032229,0.023178,0.041410,0.029701,3 out of 10,6 out of 9,6 out of 10
010034,COMMUNITY HOSPITAL INC,805 FRIENDSHIP ROAD,TALLASSEE,AL,36078,Elmore,0.853715,0.875869,Not Available,Not Available,Not Available,Not Available,Not Available,0.881090,0.906068,0.891097,0.906359,10 out of 10,9 out of 9,10 out of 10,0.882266,0.909532,0.884877,0.907991,9 out of 10,9 out of 9,9 out of 10,0.032229,0.023178,Not Available,Not Available,Not Available,Not Available,Not Available
010035,CULLMAN REGIONAL MEDICAL CENTER,1912 ALABAMA HIGHWAY 157,CULLMAN,AL,35058,Cullman,0.853715,0.875869,0.849598,0.865214,5 out of 10,5 out of 9,5 out of 10,0.881090,0.906068,0.873858,0.870157,0 out of 10,0 out of 9,0 out of 10,0.882266,0.909532,0.891680,0.892939,4 out of 10,0 out of 9,4 out of 10,0.032229,0.023178,0.031592,0.031679,1 out of 10,0 out of 9,1 out of 10
010036,ANDALUSIA HEALTH,849 SOUTH THREE NOTCH STREET,ANDALUSIA,AL,36420,Covington,0.853715,0.875869,Not Available,0.884066,10 out of 10,Not Available,10 out of 10,0.881090,0.906068,0.874996,0.909170,10 out of 10,9 out of 9,10 out of 10,0.882266,0.909532,0.865172,0.899147,6 out of 10,7 out of 9,7 out of 10,0.032229,0.023178,0.032042,0.027691,5 out of 10,4 out of 9,5 out of 10
010038,STRINGFELLOW MEMORIAL HOSPITAL,301 EAST 18TH ST,ANNISTON,AL,36201,Calhoun,0.853715,0.875869,0.826461,0.873171,8 out of 10,9 out of 9,9 out of 10,0.881090,0.906068,0.896046,0.878178,0 out of 10,0 out of 9,0 out of 10,0.882266,0.909532,0.878100,0.909004,9 out of 10,9 out of 9,9 out of 10,0.032229,0.023178,0.034201,0.032616,0 out of 10,1 out of 9,1 out of 10
010039,HUNTSVILLE HOSPITAL,101 SIVLEY RD,HUNTSVILLE,AL,35801,Madison,0.853715,0.875869,0.850558,0.870141,7 out of 10,7 out of 9,7 out of 10,0.881090,0.906068,0.878802,0.878868,0 out of 10,0 out of 9,0 out of 10,0.882266,0.909532,0.866562,0.893088,4 out of 10,6 out of 9,6 out of 10,0.032229,0.023178,0.026296,0.019758,10 out of 10,9 out of 9,10 out of 10
010040,GADSDEN REGIONAL MEDICAL CENTER,1007 GOODYEAR AVENUE,GADSDEN,AL,35903,Etowah,0.853715,0.875869,0.834475,0.874161,9 out of 10,9 out of 9,9 out of 10,0.881090,0.906068,0.879453,0.889986,4 out of 10,3 out of 9,4 out of 10,0.882266,0.909532,0.834911,0.895604,5 out of 10,8 out of 9,8 out of 10,0.032229,0.023178,0.055463,0.044424,0 out of 10,3 out of 9,3 out of 10
010045,FAYETTE MEDICAL CENTER,1653 TEMPLE AVENUE NORTH,FAYETTE,AL,35555,Fayette,0.853715,0.875869,Not Available,Not Available,Not Available,Not Available,Not Available,0.881090,0.906068,0.880148,0.872776,0 out of 10,0 out of 9,0 out of 10,0.882266,0.909532,0.863267,0.905316,8 out of 10,9 out of 9,9 out of 10,0.032229,0.023178,Not Available,Not Available,Not Available,Not Available,Not Available
010046,RIVERVIEW REGIONAL MEDICAL CENTER,600 SOUTH THIRD STREET,GADSDEN,AL,35901,Etowah,0.853715,0.875869,0.839400,0.877504,10 out of 10,9 out of 9,10 out of 10,0.881090,0.906068,0.884315,0.913538,10 out of 10,9 out of 9,10 out of 10,0.882266,0.909532,0.882598,0.905488,8 out of 10,8 out of 9,8 out of 10,0.032229,0.023178,0.038897,0.023229,9 out of 10,9 out of 9,9 out of 10
010049,MEDICAL CENTER ENTERPRISE,400 N EDWARDS STREET,ENTERPRISE,AL,36330,Coffee,0.853715,0.875869,0.835174,Not Available,Not Available,Not Available,Not Available,0.881090,0.906068,0.854142,0.859396,0 out of 10,1 out of 9,1 out of 10,0.882266,0.909532,0.865461,0.906597,9 out of 10,9 out of 9,9 out of 10,0.032229,0.023178,0.026039,0.022924,10 out of 10,9 out of 9,10 out of 10
010055,FLOWERS HOSPITAL,4370 WEST MAIN STREET,DOTHAN,AL,36305,Houston,0.853715,0.875869,0.858002,0.864255,5 out of 10,3 out of 9,5 out of 10,0.881090,0.906068,0.862721,0.850933,0 out of 10,0 out of 9,0 out of 10,0.882266,0.909532,0.908697,0.876402,0 out of 10,0 out of 9,0 out of 10,0.032229,0.023178,0.029456,0.031548,1 out of 10,0 out of 9,1 out of 10
010056,ST VINCENT'S BIRMINGHAM,810 ST VINCENT'S DRIVE,BIRMINGHAM,AL,35205,Jefferson,0.853715,0.875869,0.850187,0.866199,6 out of 10,6 out of 9,6 out of 10,0.881090,0.906068,0.871493,0.896249,6 out of 10,7 out of 9,7 out of 10,0.882266,0.909532,0.880898,0.902285,7 out of 10,7 out of 9,7 out of 10,0.032229,0.023178,0.029503,0.025137,8 out of 10,6 out of 9,8 out of 10
010058,BIBB MEDICAL CENTER,208 PIERSON AVE,CENTREVILLE,AL,35042,Bibb,0.853715,0.875869,Not Available,Not Available,Not Available,Not Available,Not Available,0.881090,0.906068,Not Available,0.883739,1 out of 10,Not Available,1 out of 10,0.882266,0.909532,0.856780,0.849111,0 out of 10,0 out of 9,0 out of 10,0.032229,0.023178,Not Available,Not Available,Not Available,Not Available,Not Available
010061,HIGHLANDS MEDICAL CENTER,380 WOODS COVE ROAD,SCOTTSBORO,AL,35768,Jackson,0.853715,0.875869,Not Available,Not Available,Not Available,Not Available,Not Available,0.881090,0.906068,0.873382,0.875634,0 out of 10,0 out of 9,0 out of 10,0.882266,0.909532,0.855558,0.885491,2 out of 10,5 out of 9,5 out of 10,0.032229,0.023178,Not Available,0.025260,7 out of 10,Not Available,7 out of 10
010062,WIREGRASS MEDICAL CENTER,1200 W MAPLE AVENUE,GENEVA,AL,36340,Geneva,0.853715,0.875869,Not Available,Not Available,Not Available,Not Available,Not Available,0.881090,0.906068,0.866944,0.892246,5 out of 10,6 out of 9,6 out of 10,0.882266,0.909532,0.865202,0.914069,10 out of 10,9 out of 9,10 out of 10,0.032229,0.023178,Not Available,Not Available,Not Available,Not Available,Not Available
010065,RUSSELL MEDICAL CENTER,3316 HIGHWAY 280,ALEXANDER CITY,AL,35010,Tallapoosa,0.853715,0.875869,0.836771,0.876443,10 out of 10,9 out of 9,10 out of 10,0.881090,0.906068,0.876314,0.869754,0 out of 10,0 out of 9,0 out of 10,0.882266,0.909532,0.855850,0.882195,0 out of 10,4 out of 9,4 out of 10,0.032229,0.023178,0.033036,0.025192,7 out of 10,7 out of 9,7 out of 10
010069,MEDICAL CENTER BARBOUR,820 W WASHINGTON ST,EUFAULA,AL,36027,Barbour,0.853715,0.875869,Not Available,Not Available,Not Available,Not Available,Not Available,0.881090,0.906068,0.873168,0.886023,2 out of 10,3 out of 9,3 out of 10,0.882266,0.909532,0.858766,0.910721,10 out of 10,9 out of 9,10 out of 10,0.032229,0.023178,Not Available,Not Available,Not Available,Not Available,Not Available
010073,CLAY COUNTY HOSPITAL,83825 HIGHWAY 9    P O BOX 1270,ASHLAND,AL,36251,Clay,0.853715,0.875869,Not Available,Not Available,Not Available,Not Available,Not Available,0.881090,0.906068,0.857411,0.873793,0 out of 10,3 out of 9,3 out of 10,0.882266,0.909532,0.864997,0.886998,2 out of 10,4 out of 9,4 out of 10,0.032229,0.023178,Not Available,Not Available,Not Available,Not Available,Not Available
010078,NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,400 EAST 10TH STREET,ANNISTON,AL,36207,Calhoun,0.853715,0.875869,0.841922,0.881019,10 out of 10,9 out of 9,10 out of 10,0.881090,0.906068,0.875606,0.885596,2 out of 10,3 out of 9,3 out of 10,0.882266,0.909532,0.869056,0.899835,6 out of 10,7 out of 9,7 out of 10,0.032229,0.023178,0.038116,0.029010,4 out of 10,6 out of 9,6 out of 10
010079,ATHENS LIMESTONE HOSPITAL,700 WEST MARKET STREET,ATHENS,AL,35611,Limestone,0.853715,0.875869,0.849169,Not Available,Not Available,Not Available,Not Available,0.881090,0.906068,0.876476,0.899450,7 out of 10,7 out of 9,7 out of 10,0.882266,0.909532,0.875953,0.883310,1 out of 10,2 out of 9,2 out of 10,0.032229,0.023178,0.031965,0.032224,1 out of 10,0 out of 9,1 out of 10
010083,SOUTH BALDWIN REGIONAL MEDICAL CENTER,1613 NORTH MCKENZIE STREET,FOLEY,AL,36535,Baldwin,0.853715,0.875869,0.846576,0.867105,6 out of 10,7 out of 9,7 out of 10,0.881090,0.906068,0.865773,0.884873,2 out of 10,4 out of 9,4 out of 10,0.882266,0.909532,0.882168,0.911169,10 out of 10,9 out of 9,10 out of 10,0.032229,0.023178,0.032457,0.025608,7 out of 10,7 out of 9,7 out of 10
010085,DECATUR MORGAN HOSPITAL-DECATUR CAMPUS,1201 7TH STREET SE,DECATUR,AL,35601,Morgan,0.853715,0.875869,0.855912,0.874865,9 out of 10,9 out of 9,9 out of 10,0.881090,0.906068,0.868472,0.897782,7 out of 10,7 out of 9,7 out of 10,0.882266,0.909532,0.868275,0.891522,4 out of 10,5 out of 9,5 out of 10,0.032229,0.023178,0.050884,0.024654,8 out of 10,9 out of 9,9 out of 10
010086,NORTHWEST MEDICAL CENTER,1530 U S HIGHWAY 43,WINFIELD,AL,35594,Fayette,0.853715,0.875869,0.859112,Not Available,Not Available,Not Available,Not Available,0.881090,0.906068,0.878289,0.853248,0 out of 10,0 out of 9,0 out of 10,0.882266,0.909532,0.875659,0.901255,7 out of 10,7 out of 9,7 out of 10,0.032229,0.023178,Not Available,Not Available,Not Available,Not Available,Not Available
010087,UNIVERSITY OF SOUTH ALABAMA MEDICAL CENTER,2451 FILLINGIM STREET,MOBILE,AL,36617,Mobile,0.853715,0.875869,Not Available,Not Available,Not Available,Not Available,Not Available,0.881090,0.906068,Not Available,0.888075,3 out of 10,Not Available,3 out of 10,0.882266,0.909532,Not Available,Not Available,Not Available,Not Available,Not Available,0.032229,0.023178,Not Available,Not Available,Not Available,Not Available,Not Available
010089,WALKER BAPTIST MEDICAL CENTER,3400 HIGHWAY 78 EAST,JASPER,AL,35502,Walker,0.853715,0.875869,0.866535,Not Available,Not Available,Not Available,Not Available,0.881090,0.906068,0.878143,0.860034,0 out of 10,0 out of 9,0 out of 10,0.882266,0.909532,0.889996,0.870634,0 out of 10,0 out of 9,0 out of 10,0.032229,0.023178,0.029964,0.022075,10 out of 10,9 out of 9,10 out of 10
010090,PROVIDENCE HOSPITAL,6801 AIRPORT BOULEVARD,MOBILE,AL,36608,Mobile,0.853715,0.875869,0.831266,0.854811,1 out of 10,5 out of 9,5 out of 10,0.881090,0.906068,0.859409,0.860899,0 out of 10,0 out of 9,0 out of 10,0.882266,0.909532,0.894936,0.896018,5 out of 10,0 out of 9,5 out of 10,0.032229,0.023178,0.032297,0.025790,7 out of 10,7 out of 9,7 out of 10
010091,GROVE HILL MEMORIAL HOSPITAL,295 JACKSON HWY S,GROVE HILL,AL,36451,Clarke,0.853715,0.875869,Not Available,Not Available,Not Available,Not Available,Not Available,0.881090,0.906068,0.871807,0.883100,1 out of 10,3 out of 9,3 out of 10,0.882266,0.909532,0.883916,0.907191,9 out of 10,9 out of 9,9 out of 10,0.032229,0.023178,Not Available,Not Available,Not Available,Not Available,Not Available
010092,D C H REGIONAL MEDICAL CENTER,809 UNIVERSITY BOULEVARD EAST,TUSCALOOSA,AL,35401,Tuscaloosa,0.853715,0.875869,0.862090,0.871518,8 out of 10,6 out of 9,8 out of 10,0.881090,0.906068,0.875236,0.882968,1 out of 10,2 out of 9,2 out of 10,0.882266,0.909532,0.879401,0.887522,2 out of 10,2 out of 9,2 out of 10,0.032229,0.023178,0.044512,0.030912,2 out of 10,6 out of 9,6 out of 10
010099,D W MCMILLAN MEMORIAL HOSPITAL,1301 BELLEVILLE AVENUE,BREWTON,AL,36426,Escambia,0.853715,0.875869,0.844169,Not Available,Not Available,Not Available,Not Available,0.881090,0.906068,0.865420,0.880022,0 out of 10,3 out of 9,3 out of 10,0.882266,0.909532,0.862829,0.874246,0 out of 10,2 out of 9,2 out of 10,0.032229,0.023178,Not Available,Not Available,Not Available,Not Available,Not Available
010100,THOMAS HOSPITAL,750 MORPHY AVENUE,FAIRHOPE,AL,36532,Baldwin,0.853715,0.875869,0.833949,0.892699,10 out of 10,9 out of 9,10 out of 10,0.881090,0.906068,0.866635,0.866972,0 out of 10,0 out of 9,0 out of 10,0.882266,0.909532,0.872692,0.893906,4 out of 10,5 out of 9,5 out of 10,0.032229,0.023178,0.040754,0.032394,0 out of 10,4 out of 9,4 out of 10
010103,PRINCETON BAPTIST MEDICAL CENTER,701 PRINCETON AVENUE SOUTHWEST,BIRMINGHAM,AL,35211,Jefferson,0.853715,0.875869,0.832429,0.865238,5 out of 10,7 out of 9,7 out of 10,0.881090,0.906068,0.861314,0.869576,0 out of 10,1 out of 9,1 out of 10,0.882266,0.909532,0.867483,0.883822,1 out of 10,3 out of 9,3 out of 10,0.032229,0.023178,0.030525,0.028270,4 out of 10,3 out of 9,4 out of 10
010104,GRANDVIEW MEDICAL CENTER,3690 GRANDVIEW PARKWAY,BIRMINGHAM,AL,35243,Jefferson,0.853715,0.875869,0.850895,0.877885,10 out of 10,9 out of 9,10 out of 10,0.881090,0.906068,0.871613,0.866938,0 out of 10,0 out of 9,0 out of 10,0.882266,0.909532,0.835313,0.908010,9 out of 10,9 out of 9,9 out of 10,0.032229,0.023178,0.050660,0.030541,2 out of 10,7 out of 9,7 out of 10
010108,PRATTVILLE BAPTIST HOSPITAL,124 S MEMORIAL DR,PRATTVILLE,AL,36067,Autauga,0.853715,0.875869,0.860857,0.873255,8 out of 10,8 out of 9,8 out of 10,0.881090,0.906068,0.885231,0.914607,10 out of 10,9 out of 9,10 out of 10,0.882266,0.909532,0.851252,0.901591,7 out of 10,8 out of 9,8 out of 10,0.032229,0.023178,Not Available,Not Available,Not Available,Not Available,Not Available
010113,MOBILE INFIRMARY MEDICAL CENTER,5 MOBILE INFIRMARY CIRCLE,MOBILE,AL,36652,Mobile,0.853715,0.875869,0.833823,0.877332,10 out of 10,9 out of 9,10 out of 10,0.881090,0.906068,0.888478,0.887467,3 out of 10,0 out of 9,3 out of 10,0.882266,0.909532,0.866568,0.906231,8 out of 10,9 out of 9,9 out of 10,0.032229,0.023178,0.035229,0.029093,4 out of 10,5 out of 9,5 out of 10
010114,"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM",995 9TH AVENUE SOUTHWEST,BESSEMER,AL,35021,Jefferson,0.853715,0.875869,0.867484,0.875214,9 out of 10,9 out of 9,9 out of 10,0.881090,0.906068,0.895032,0.888772,3 out of 10,0 out of 9,3 out of 10,0.882266,0.909532,0.884235,0.899899,6 out of 10,6 out of 9,6 out of 10,0.032229,0.023178,0.042495,0.039839,0 out of 10,1 out of 9,1 out of 10
010118,VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS,1015 MEDICAL CENTER PARKWAY,SELMA,AL,36701,Dallas,0.853715,0.875869,0.855664,0.863749,5 out of 10,4 out of 9,5 out of 10,0.881090,0.906068,0.894411,0.884610,2 out of 10,0 out of 9,2 out of 10,0.882266,0.909532,0.883714,0.897267,5 out of 10,5 out of 9,5 out of 10,0.032229,0.023178,Not Available,Not Available,Not Available,Not Available,Not Available
010120,MONROE COUNTY HOSPITAL,2016 SOUTH ALABAMA AVENUE,MONROEVILLE,AL,36460,Monroe,0.853715,0.875869,Not Available,Not Available,Not Available,Not Available,Not Available,0.881090,0.906068,0.890247,0.882342,1 out of 10,0 out of 9,1 out of 10,0.882266,0.909532,0.841424,0.885983,2 out of 10,6 out of 9,6 out of 10,0.032229,0.023178,Not Available,Not Available,Not Available,Not Available,Not Available
010125,LAKELAND COMMUNITY HOSPITAL,42024 HIGHWAY 195 E,HALEYVILLE,AL,35565,Winston,0.853715,0.875869,Not Available,Not Available,Not Available,Not Available,Not Available,0.881090,0.906068,0.872748,0.885648,2 out of 10,3 out of 9,3 out of 10,0.882266,0.909532,0.890605,0.905740,8 out of 10,7 out of 9,8 out of 10,0.032229,0.023178,Not Available,Not Available,Not Available,Not Available,Not Available
010126,TROY REGIONAL MEDICAL CENTER,1330 HIGHWAY 231 SOUTH,TROY,AL,36081,Pike,0.853715,0.875869,0.850901,Not Available,Not Available,Not Available,Not Available,0.881090,0.906068,0.872773,0.881377,1 out of 10,2 out of 9,2 out of 10,0.882266,0.909532,0.880875,0.873274,0 out of 10,0 out of 9,0 out of 10,0.032229,0.023178,0.038133,0.023149,10 out of 10,9 out of 9,10 out of 10
010129,NORTH BALDWIN INFIRMARY,1815 HAND AVENUE,BAY MINETTE,AL,36507,Baldwin,0.853715,0.875869,Not Available,Not Available,Not Available,Not Available,Not Available,0.881090,0.906068,0.874031,0.857700,0 out of 10,0 out of 9,0 out of 10,0.882266,0.909532,0.871683,0.897301,5 out of 10,6 out of 9,6 out of 10,0.032229,0.023178,Not Available,0.025029,8 out of 10,Not Available,8 out of 10
010130,ST VINCENT'S ST CLAIR,7063 VETERANS PARKWAY,PELL CITY,AL,35125,Saint Clair,0.853715,0.875869,Not Available,Not Available,Not Available,Not Available,Not Available,0.881090,0.906068,0.870907,0.887905,3 out of 10,4 out of 9,4 out of 10,0.882266,0.909532,0.866759,0.891204,3 out of 10,5 out of 9,5 out of 10,0.032229,0.023178,Not Available,Not Available,Not Available,Not Available,Not Available
010131,CRESTWOOD MEDICAL CENTER,ONE HOSPITAL DR SE,HUNTSVILLE,AL,35801,Madison,0.853715,0.875869,0.859222,0.869997,7 out of 10,6 out of 9,7 out of 10,0.881090,0.906068,0.873139,0.884430,2 out of 10,3 out of 9,3 out of 10,0.882266,0.909532,0.873652,0.898050,6 out of 10,6 out of 9,6 out of 10,0.032229,0.023178,0.031848,0.035463,0 out of 10,0 out of 9,0 out of 10
010139,BROOKWOOD BAPTIST MEDICAL CENTER,2010 BROOKWOOD MEDICAL CENTER DRIVE,BIRMINGHAM,AL,35209,Jefferson,0.853715,0.875869,0.854978,0.879847,10 out of 10,9 out of 9,10 out of 10,0.881090,0.906068,0.884341,0.866048,0 out of 10,0 out of 9,0 out of 10,0.882266,0.909532,0.871126,0.899461,6 out of 10,7 out of 9,7 out of 10,0.032229,0.023178,0.041010,0.023411,9 out of 10,9 out of 9,9 out of 10
010144,SPRINGHILL MEMORIAL HOSPITAL,3719 DAUPHIN STREET,MOBILE,AL,36608,Mobile,0.853715,0.875869,0.849522,0.855128,1 out of 10,2 out of 9,2 out of 10,0.881090,0.906068,0.880245,0.877759,0 out of 10,0 out of 9,0 out of 10,0.882266,0.909532,0.871159,0.870855,0 out of 10,0 out of 9,0 out of 10,0.032229,0.023178,0.030108,0.021946,10 out of 10,9 out of 9,10 out of 10
010148,EVERGREEN MEDICAL CENTER,101 CRESTVIEW AVENUE,EVERGREEN,AL,36401,Conecuh,0.853715,0.875869,Not Available,Not Available,Not Available,Not Available,Not Available,0.881090,0.906068,0.896438,0.899051,7 out of 10,2 out of 9,7 out of 10,0.882266,0.909532,0.871756,0.911080,10 out of 10,9 out of 9,10 out of 10,0.032229,0.023178,Not Available,Not Available,Not Available,Not Available,Not Available
010149,BAPTIST MEDICAL CENTER EAST,400 TAYLOR ROAD,MONTGOMERY,AL,36117,Montgomery,0.853715,0.875869,0.868426,0.875291,9 out of 10,9 out of 9,9 out of 10,0.881090,0.906068,0.891925,0.879819,0 out of 10,0 out of 9,0 out of 10,0.882266,0.909532,0.904170,0.918645,10 out of 10,9 out of 9,10 out of 10,0.032229,0.023178,0.035823,Not Available,Not Available,Not Available,Not Available
010157,SHOALS HOSPITAL,201 WEST AVALON AVENUE,MUSCLE SHOALS,AL,35661,Colbert,0.853715,0.875869,Not Available,Not Available,Not Available,Not Available,Not Available,0.881090,0.906068,0.862822,0.891964,4 out of 10,6 out of 9,6 out of 10,0.882266,0.909532,0.869466,0.889208,3 out of 10,4 out of 9,4 out of 10,0.032229,0.023178,0.027227,Not Available,Not Available,Not Available,Not Available
