"Measure ID","Measure Name","Measure Start Quarter","Start Date","Measure End Quarter","End Date"
OP_18b,Median time from ED arrival to ED departure for discharged ED patients,3Q2018,07/01/2018,2Q2019,06/30/2019
OP_18c,Median Time from ED Arrival to ED Departure for Discharged ED Patients – Psychiatric/Men,3Q2018,07/01/2018,2Q2019,06/30/2019
OP_2,Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival,3Q2018,07/01/2018,2Q2019,06/30/2019
OP_23,Head CT scan results for acute ischemic stroke or hemorrhagic stroke who received head C,3Q2018,07/01/2018,2Q2019,06/30/2019
OP_3b,Median Time to transfer to another facility for acute coronary intervention,3Q2018,07/01/2018,2Q2019,06/30/2019
PSI_10,Postoperative kidney & diabetic complications,3Q2016,07/01/2016,2Q2018,06/30/2018
PSI_11,Postoperative respiratory failure rate,3Q2016,07/01/2016,2Q2018,06/30/2018
PSI_12,Postoperative pulmonary embolism or deep vein thrombosis rate,3Q2016,07/01/2016,2Q2018,06/30/2018
PSI_13,Postoperative Sepsis Rate,3Q2016,07/01/2016,2Q2018,06/30/2018
PSI_14,Postoperative wound dehiscence,3Q2016,07/01/2016,2Q2018,06/30/2018
PSI_15,Accidental puncture or laceration,3Q2016,07/01/2016,2Q2018,06/30/2018
PSI_3,Pressure Ulcer Rate,3Q2016,07/01/2016,2Q2018,06/30/2018
PSI_4,"Death among surgical patients with serious, treatable complications",3Q2016,07/01/2016,2Q2018,06/30/2018
PSI_6,Iatrogenic pneumothorax,3Q2016,07/01/2016,2Q2018,06/30/2018
PSI_7,Central Venous Catheter-Related Bloodstream Infections Rate,3Q2016,07/01/2016,2Q2018,06/30/2018
PSI_8,Postoperative Hip Fracture Rate,3Q2016,07/01/2016,2Q2018,06/30/2018
PSI_9,Perioperative bleeding/ bruise,3Q2016,07/01/2016,2Q2018,06/30/2018
Q21,Overall rating of hospital (global measure),3Q2018,07/01/2018,2Q2019,06/30/2019
Q22,Willingness to recommend the hospital (global measure),3Q2018,07/01/2018,2Q2019,06/30/2019
Q8,Cleanliness of hospital environment (individual measure),3Q2018,07/01/2018,2Q2019,06/30/2019
Q9,Quietness of hospital environment (individual measure),3Q2018,07/01/2018,2Q2019,06/30/2019
SUB_2,Alcohol Use Brief Intervention Provided or Offered,1Q2018,01/01/2018,4Q2018,12/31/2018
SUB_3,Alcohol and other Drug Use Disorder Treatment Provided or Offered at Discharge,1Q2018,01/01/2018,4Q2018,12/31/2018
Star Rating,Patient survey summary star rating,3Q2018,07/01/2018,2Q2019,06/30/2019
TOB_2,Tobacco Use Treatment Provided or Offered,1Q2018,01/01/2018,4Q2018,12/31/2018
VA_MORT_30_AMI,Acute Myocardial Infarction (AMI) 30-day mortality rate,3Q2015,07/01/2015,2Q2018,06/30/2018
VA_MORT_30_COPD,Chronic Obstructive Pulmonary Disease (COPD) 30-day mortality rate,3Q2015,07/01/2015,2Q2018,06/30/2018
VA_MORT_30_HF,Heart Failure (HF) 30-day mortality rate,3Q2015,07/01/2015,2Q2018,06/30/2018
VA_MORT_30_PN,Pneumonia (PN) 30-day mortality rate,3Q2015,07/01/2015,2Q2018,06/30/2018
VA_READM_30_AMI,Acute Myocardial Infarction (AMI) 30-day readmission rate,3Q2015,07/01/2015,2Q2018,06/30/2018
VA_READM_30_COPD,Chronic Obstructive Pulmonary Disease (COPD) 30-day readmission rate,3Q2015,07/01/2015,2Q2018,06/30/2018
VA_READM_30_HF,Heart Failure (HF) 30-day readmission rate,3Q2015,07/01/2015,2Q2018,06/30/2018
VA_READM_30_PN,Pneumonia (PN) 30-day readmission rate,3Q2015,07/01/2015,2Q2018,06/30/2018
