"Facility ID","Facility Name","Hospital Type","Address","City","State","ZIP Code","County Name","Measure ID","Measure Description","Hospital Performance","Denominator","Footnote","Start Date","End Date"
100271,H LEE MOFFITT CANCER CENTER & RESEARCH INSTITUTE I,Acute Care Hospitals,12902 MAGNOLIA DR,TAMPA,FL,33612,HILLSBOROUGH,PCH-16,Oncology: Medical and Radiation - Pain Intensity Quantified,97,418,2,01/01/2018,12/31/2018
100271,H LEE MOFFITT CANCER CENTER & RESEARCH INSTITUTE I,Acute Care Hospitals,12902 MAGNOLIA DR,TAMPA,FL,33612,HILLSBOROUGH,PCH-17,Prostate Cancer: Adjuvant Hormonal Therapy for High or Very High Risk Cancer Patients,100,87,,01/01/2018,12/31/2018
100271,H LEE MOFFITT CANCER CENTER & RESEARCH INSTITUTE I,Acute Care Hospitals,12902 MAGNOLIA DR,TAMPA,FL,33612,HILLSBOROUGH,PCH-18,Prostate Cancer: Avoidance of Overuse of Bone Scan for Staging Low Risk Prostate Cancer Patients,100,26,,01/01/2018,12/31/2018
220162,DANA-FARBER CANCER INSTITUTE,Acute Care Hospitals,450 BROOKLINE AVENUE,BOSTON,MA,02115,SUFFOLK,PCH-14,Oncology: Radiation Dose Limits to Normal Tissues,100,100,2,01/01/2018,12/31/2018
220162,DANA-FARBER CANCER INSTITUTE,Acute Care Hospitals,450 BROOKLINE AVENUE,BOSTON,MA,02115,SUFFOLK,PCH-15,Oncology: Plan of Care for Pain - Medical Oncology and Radiation Oncology,99,82,,01/01/2018,12/31/2018
220162,DANA-FARBER CANCER INSTITUTE,Acute Care Hospitals,450 BROOKLINE AVENUE,BOSTON,MA,02115,SUFFOLK,PCH-16,Oncology: Medical and Radiation - Pain Intensity Quantified,100,500,2,01/01/2018,12/31/2018
220162,DANA-FARBER CANCER INSTITUTE,Acute Care Hospitals,450 BROOKLINE AVENUE,BOSTON,MA,02115,SUFFOLK,PCH-17,Prostate Cancer: Adjuvant Hormonal Therapy for High or Very High Risk Cancer Patients,Not Available,Not Available,7,01/01/2018,12/31/2018
220162,DANA-FARBER CANCER INSTITUTE,Acute Care Hospitals,450 BROOKLINE AVENUE,BOSTON,MA,02115,SUFFOLK,PCH-18,Prostate Cancer: Avoidance of Overuse of Bone Scan for Staging Low Risk Prostate Cancer Patients,Not Available,Not Available,7,01/01/2018,12/31/2018
330154,MEMORIAL HOSPITAL FOR CANCER AND ALLIED DISEASES,Acute Care Hospitals,1275 YORK AVENUE,NEW YORK,NY,10021,NEW YORK,PCH-14,Oncology: Radiation Dose Limits to Normal Tissues,100,100,2,01/01/2018,12/31/2018
330154,MEMORIAL HOSPITAL FOR CANCER AND ALLIED DISEASES,Acute Care Hospitals,1275 YORK AVENUE,NEW YORK,NY,10021,NEW YORK,PCH-15,Oncology: Plan of Care for Pain - Medical Oncology and Radiation Oncology,100,77,,01/01/2018,12/31/2018
330154,MEMORIAL HOSPITAL FOR CANCER AND ALLIED DISEASES,Acute Care Hospitals,1275 YORK AVENUE,NEW YORK,NY,10021,NEW YORK,PCH-16,Oncology: Medical and Radiation - Pain Intensity Quantified,90,489,2,01/01/2018,12/31/2018
330154,MEMORIAL HOSPITAL FOR CANCER AND ALLIED DISEASES,Acute Care Hospitals,1275 YORK AVENUE,NEW YORK,NY,10021,NEW YORK,PCH-17,Prostate Cancer: Adjuvant Hormonal Therapy for High or Very High Risk Cancer Patients,100,58,2,01/01/2018,12/31/2018
330154,MEMORIAL HOSPITAL FOR CANCER AND ALLIED DISEASES,Acute Care Hospitals,1275 YORK AVENUE,NEW YORK,NY,10021,NEW YORK,PCH-18,Prostate Cancer: Avoidance of Overuse of Bone Scan for Staging Low Risk Prostate Cancer Patients,100,38,2,01/01/2018,12/31/2018
330354,ROSWELL PARK CANCER INSTITUTE,Acute Care Hospitals,ELM AND CARLTON STREETS,BUFFALO,NY,14203,ERIE,PCH-14,Oncology: Radiation Dose Limits to Normal Tissues,100,75,2,01/01/2018,12/31/2018
330354,ROSWELL PARK CANCER INSTITUTE,Acute Care Hospitals,ELM AND CARLTON STREETS,BUFFALO,NY,14203,ERIE,PCH-15,Oncology: Plan of Care for Pain - Medical Oncology and Radiation Oncology,95,108,2,01/01/2018,12/31/2018
330354,ROSWELL PARK CANCER INSTITUTE,Acute Care Hospitals,ELM AND CARLTON STREETS,BUFFALO,NY,14203,ERIE,PCH-16,Oncology: Medical and Radiation - Pain Intensity Quantified,92,466,2,01/01/2018,12/31/2018
330354,ROSWELL PARK CANCER INSTITUTE,Acute Care Hospitals,ELM AND CARLTON STREETS,BUFFALO,NY,14203,ERIE,PCH-17,Prostate Cancer: Adjuvant Hormonal Therapy for High or Very High Risk Cancer Patients,100,35,,01/01/2018,12/31/2018
330354,ROSWELL PARK CANCER INSTITUTE,Acute Care Hospitals,ELM AND CARLTON STREETS,BUFFALO,NY,14203,ERIE,PCH-18,Prostate Cancer: Avoidance of Overuse of Bone Scan for Staging Low Risk Prostate Cancer Patients,Not Available,Not Available,1,01/01/2018,12/31/2018
360242,JAMES CANCER HOSPITAL & SOLOVE RESEARCH INSTITUTE,Acute Care Hospitals,460 WEST TENTH AVENUE,COLUMBUS,OH,43210,FRANKLIN,PCH-14,Oncology: Radiation Dose Limits to Normal Tissues,100,73,2,01/01/2018,12/31/2018
360242,JAMES CANCER HOSPITAL & SOLOVE RESEARCH INSTITUTE,Acute Care Hospitals,460 WEST TENTH AVENUE,COLUMBUS,OH,43210,FRANKLIN,PCH-15,Oncology: Plan of Care for Pain - Medical Oncology and Radiation Oncology,99,97,,01/01/2018,12/31/2018
360242,JAMES CANCER HOSPITAL & SOLOVE RESEARCH INSTITUTE,Acute Care Hospitals,460 WEST TENTH AVENUE,COLUMBUS,OH,43210,FRANKLIN,PCH-16,Oncology: Medical and Radiation - Pain Intensity Quantified,99,255,2,01/01/2018,12/31/2018
360242,JAMES CANCER HOSPITAL & SOLOVE RESEARCH INSTITUTE,Acute Care Hospitals,460 WEST TENTH AVENUE,COLUMBUS,OH,43210,FRANKLIN,PCH-17,Prostate Cancer: Adjuvant Hormonal Therapy for High or Very High Risk Cancer Patients,95,102,,01/01/2018,12/31/2018
360242,JAMES CANCER HOSPITAL & SOLOVE RESEARCH INSTITUTE,Acute Care Hospitals,460 WEST TENTH AVENUE,COLUMBUS,OH,43210,FRANKLIN,PCH-18,Prostate Cancer: Avoidance of Overuse of Bone Scan for Staging Low Risk Prostate Cancer Patients,76,17,,01/01/2018,12/31/2018
390196,HOSPITAL OF THE FOX CHASE CANCER CENTER,Acute Care Hospitals,333 COTTMAN AVENUE,PHILADELPHIA,PA,19111,PHILADELPHIA,PCH-14,Oncology: Radiation Dose Limits to Normal Tissues,100,211,,01/01/2018,12/31/2018
390196,HOSPITAL OF THE FOX CHASE CANCER CENTER,Acute Care Hospitals,333 COTTMAN AVENUE,PHILADELPHIA,PA,19111,PHILADELPHIA,PCH-15,Oncology: Plan of Care for Pain - Medical Oncology and Radiation Oncology,91,257,2,01/01/2018,12/31/2018
390196,HOSPITAL OF THE FOX CHASE CANCER CENTER,Acute Care Hospitals,333 COTTMAN AVENUE,PHILADELPHIA,PA,19111,PHILADELPHIA,PCH-16,Oncology: Medical and Radiation - Pain Intensity Quantified,98,804,2,01/01/2018,12/31/2018
390196,HOSPITAL OF THE FOX CHASE CANCER CENTER,Acute Care Hospitals,333 COTTMAN AVENUE,PHILADELPHIA,PA,19111,PHILADELPHIA,PCH-17,Prostate Cancer: Adjuvant Hormonal Therapy for High or Very High Risk Cancer Patients,100,29,,01/01/2018,12/31/2018
390196,HOSPITAL OF THE FOX CHASE CANCER CENTER,Acute Care Hospitals,333 COTTMAN AVENUE,PHILADELPHIA,PA,19111,PHILADELPHIA,PCH-18,Prostate Cancer: Avoidance of Overuse of Bone Scan for Staging Low Risk Prostate Cancer Patients,100,43,,01/01/2018,12/31/2018
450076,"UNIVERSITY OF TEXAS M D ANDERSON CANCER CENTER,THE",Acute Care Hospitals,1515 HOLCOMBE BLVD,HOUSTON,TX,77030,HARRIS,PCH-14,Oncology: Radiation Dose Limits to Normal Tissues,100,100,2,01/01/2018,12/31/2018
450076,"UNIVERSITY OF TEXAS M D ANDERSON CANCER CENTER,THE",Acute Care Hospitals,1515 HOLCOMBE BLVD,HOUSTON,TX,77030,HARRIS,PCH-15,Oncology: Plan of Care for Pain - Medical Oncology and Radiation Oncology,100,100,2,01/01/2018,12/31/2018
450076,"UNIVERSITY OF TEXAS M D ANDERSON CANCER CENTER,THE",Acute Care Hospitals,1515 HOLCOMBE BLVD,HOUSTON,TX,77030,HARRIS,PCH-16,Oncology: Medical and Radiation - Pain Intensity Quantified,100,167,2,01/01/2018,12/31/2018
450076,"UNIVERSITY OF TEXAS M D ANDERSON CANCER CENTER,THE",Acute Care Hospitals,1515 HOLCOMBE BLVD,HOUSTON,TX,77030,HARRIS,PCH-17,Prostate Cancer: Adjuvant Hormonal Therapy for High or Very High Risk Cancer Patients,100,100,2,01/01/2018,12/31/2018
450076,"UNIVERSITY OF TEXAS M D ANDERSON CANCER CENTER,THE",Acute Care Hospitals,1515 HOLCOMBE BLVD,HOUSTON,TX,77030,HARRIS,PCH-18,Prostate Cancer: Avoidance of Overuse of Bone Scan for Staging Low Risk Prostate Cancer Patients,100,22,,01/01/2018,12/31/2018
500138,SEATTLE CANCER CARE ALLIANCE,Acute Care Hospitals,825 EASTLAKE AVENUE EAST,SEATTLE,WA,98109,KING,PCH-14,Oncology: Radiation Dose Limits to Normal Tissues,100,50,2,01/01/2018,12/31/2018
500138,SEATTLE CANCER CARE ALLIANCE,Acute Care Hospitals,825 EASTLAKE AVENUE EAST,SEATTLE,WA,98109,KING,PCH-15,Oncology: Plan of Care for Pain - Medical Oncology and Radiation Oncology,99,146,,01/01/2018,12/31/2018
500138,SEATTLE CANCER CARE ALLIANCE,Acute Care Hospitals,825 EASTLAKE AVENUE EAST,SEATTLE,WA,98109,KING,PCH-16,Oncology: Medical and Radiation - Pain Intensity Quantified,96,437,2,01/01/2018,12/31/2018
500138,SEATTLE CANCER CARE ALLIANCE,Acute Care Hospitals,825 EASTLAKE AVENUE EAST,SEATTLE,WA,98109,KING,PCH-17,Prostate Cancer: Adjuvant Hormonal Therapy for High or Very High Risk Cancer Patients,97,34,,01/01/2018,12/31/2018
500138,SEATTLE CANCER CARE ALLIANCE,Acute Care Hospitals,825 EASTLAKE AVENUE EAST,SEATTLE,WA,98109,KING,PCH-18,Prostate Cancer: Avoidance of Overuse of Bone Scan for Staging Low Risk Prostate Cancer Patients,Not Available,Not Available,1,01/01/2018,12/31/2018
