GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
0400000US12,12,Florida,20278447,*****,15343997,14002,3270863,7591,56730,2379,543394,3300,12342,1040,536298,11404,514823,9516,89900,3707,424923,7874
0400000US13,13,Georgia,10201635,*****,6061821,8022,3195268,4909,30552,1967,388946,2803,5237,747,282570,8107,237241,5997,33692,2232,203549,5948
0400000US15,15,Hawaii,1421658,*****,357308,1794,25884,923,2756,326,540556,3320,142600,2122,14056,1210,338498,4392,9958,872,328540,4348
0400000US16,16,Idaho,1657375,*****,1507880,3320,11231,700,21323,1105,22720,999,2343,439,47964,3123,43914,2004,6090,892,37824,1740
0400000US17,17,Illinois,12854526,*****,9236701,10918,1833501,3693,29696,1854,671811,2713,4275,464,767145,11063,311397,5450,63104,3276,248293,4223
0400000US18,18,Indiana,6614418,*****,5546787,4163,613060,3103,15027,844,137680,1531,2635,417,145791,4569,153438,4141,19804,1420,133634,3766
0400000US19,19,Iowa,3118102,*****,2824197,2432,106762,1478,10791,863,71178,1093,2913,428,39527,2157,62734,2074,5151,652,57583,1899
0400000US20,20,Kansas,2903820,*****,2465518,3736,168470,1781,23503,1229,80738,1017,1923,384,65253,3263,98415,2351,9305,902,89110,2078
0400000US21,21,Kentucky,4424376,*****,3862600,2358,353088,2081,9324,855,59593,1398,2271,338,41197,2169,96303,2660,7942,684,88361,2707
0400000US22,22,Louisiana,4663461,*****,2909599,3449,1500648,2983,27094,1105,80980,965,1401,300,56216,3224,87523,3307,8886,1021,78637,3203
0400000US23,23,Maine,1330158,*****,1258918,604,16906,680,8212,527,14804,516,249,101,2967,452,28102,1132,885,229,27217,1096
0400000US24,24,Maryland,5996079,*****,3395212,5083,1782256,3712,16281,1110,373065,1784,2830,325,236834,5597,189601,4701,21692,1939,167909,3998
0400000US25,25,Massachusetts,6789319,*****,5358373,5778,499774,4178,14336,1256,426225,2089,2253,286,278835,6573,209523,5159,31591,1973,177932,4229
0400000US26,26,Michigan,9925568,*****,7813199,3658,1374515,3477,51804,1596,289082,2283,2808,334,115258,3693,278902,4108,25374,1735,253528,4209
0400000US27,27,Minnesota,5490726,*****,4598252,3575,326953,3158,57566,1238,255935,1844,1976,279,95600,3223,154444,4352,13104,1124,141340,4045
0400000US28,28,Mississippi,2986220,*****,1755471,1788,1122576,2133,13258,582,28859,1041,597,192,27530,1714,37929,2115,3257,523,34672,2040
0400000US29,29,Missouri,6075300,*****,5004537,3173,703061,2885,25933,1136,112959,1519,6336,568,71084,3243,151390,3584,11570,1298,139820,3017
0400000US30,30,Montana,1029862,*****,916664,942,4438,406,66865,919,7448,430,571,162,5492,726,28384,1166,1684,370,26700,1203
0400000US31,31,Nebraska,1893921,*****,1663612,2725,89718,1191,16012,850,42208,847,1524,343,35276,2563,45571,1718,4727,664,40844,1555
0400000US32,32,Nevada,2887725,*****,1936453,5484,253013,2390,32426,1484,232502,2068,19019,654,279977,5840,134335,3846,21767,1702,112568,3244
0400000US33,33,New Hampshire,1331848,*****,1244260,1071,18632,922,2148,391,33313,706,289,127,7016,820,26190,1182,2397,418,23793,1075
0400000US34,34,New Jersey,8960161,*****,6085474,9750,1207356,3964,18006,1191,844105,2356,3013,389,573146,9961,229061,4973,52405,2393,176656,4160
0400000US35,35,New Mexico,2084828,*****,1547843,5960,42187,1066,197191,2033,29991,986,1390,250,197944,5770,68282,2554,23333,1465,44949,2176
0400000US36,36,New York,19798228,*****,12638791,15933,3100685,8707,77130,2661,1652846,3580,7937,790,1730813,19418,590026,9530,148758,4617,441268,8246
0400000US37,37,North Carolina,10052564,*****,6937466,7269,2159427,4712,117998,1808,269164,2001,6393,533,310920,7290,251196,5443,27655,1587,223541,5287
0400000US38,38,North Dakota,745475,*****,654024,859,17365,618,39507,773,10197,541,341,127,6600,826,17441,1027,1188,309,16253,993
0400000US39,39,Ohio,11609756,*****,9503779,3426,1428230,3833,21872,1200,235878,1851,3499,344,103726,3378,312772,5097,25907,1669,286865,4716
0400000US40,40,Oklahoma,3896251,*****,2828569,3417,283821,1838,289871,2936,80670,1174,5543,386,105686,3033,302091,4155,15279,1048,286812,3872
0400000US41,41,Oregon,4025127,*****,3416776,5193,76347,1495,45332,2217,166351,1757,15157,744,121000,4443,184164,3860,17499,1571,166665,3556
0400000US42,42,Pennsylvania,12790505,*****,10378174,6319,1417611,4450,24995,1659,417525,1905,3665,603,251215,5264,297320,4823,35838,1971,261482,4606
0400000US44,44,Rhode Island,1056138,*****,854801,2955,68346,1790,5413,613,35556,873,759,207,59967,3154,31296,2108,6889,975,24407,1777
0400000US45,45,South Carolina,4893444,*****,3292598,3288,1332110,3053,14992,962,71994,1326,3015,499,74328,3028,104407,3047,10727,1171,93680,2972
0400000US46,46,South Dakota,855444,*****,724430,1020,14698,654,74062,1016,11693,520,381,118,6687,882,23493,1229,1431,395,22062,1135
0400000US47,47,Tennessee,6597381,*****,5131786,4392,1107392,2628,17568,884,110605,1660,3784,535,88745,3626,137501,3568,11432,1184,126069,3222
0400000US48,48,Texas,27419612,*****,20459525,21474,3286950,7080,130360,4061,1236852,3969,23531,1183,1580393,18184,702001,12223,149391,6183,552610,8670
0400000US49,49,Utah,2993941,*****,2600077,4245,33619,1123,32079,1177,67545,1219,26742,1162,150596,4276,83283,2622,14531,1209,68752,2480
0400000US50,50,Vermont,624636,*****,590499,386,7921,334,2072,311,9680,406,206,103,2197,374,12061,589,418,103,11643,590
0400000US51,51,Virginia,8365952,*****,5720209,6499,1605447,4024,22499,1303,520119,2743,5469,439,200265,6140,291944,5308,30558,1760,261386,5003
0400000US53,53,Washington,7169967,*****,5500837,7360,261743,3295,94754,1927,578822,3521,46071,1047,293007,7508,394733,5291,36006,2088,358727,5204
0400000US54,54,West Virginia,1836843,*****,1714591,1295,65300,1310,3322,506,14096,548,541,192,7193,1064,31800,1471,1712,340,30088,1468
0400000US55,55,Wisconsin,5763217,*****,4950577,3537,365884,2046,50094,1055,152325,1244,1811,357,111435,3698,131091,2997,16031,1465,115060,2732
0400000US56,56,Wyoming,583200,*****,532394,1178,6121,605,13549,839,5102,423,470,268,10247,1136,15317,1046,2113,432,13204,971
0400000US72,72,Puerto Rico,3468963,*****,2389446,10023,338939,6609,10849,1246,7789,1066,136,70,511785,7836,210019,6143,18701,1156,191318,6069
